campaign_character_art_sets_tables	6
agent_type	art_set_id	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
general	wh2_dlc11_art_set_cst_admiral_vampires_01_rebel				false	true	wh2_dlc11_cst_admiral_rebel	1
general	wh2_dlc11_art_set_cst_admiral_vampires_02_rebel				false	true	wh2_dlc11_cst_admiral_rebel	1
general	wh2_dlc11_art_set_cst_admiral_vampires_03_rebel				false	true	wh2_dlc11_cst_admiral_rebel	1
general	wh2_dlc11_art_set_cst_admiral_vampires_04_rebel				false	true	wh2_dlc11_cst_admiral_rebel	1
general	wh2_dlc11_art_set_cst_admiral_death_01_rebel				false	true	wh2_dlc11_cst_admiral_death_rebel	1
general	wh2_dlc11_art_set_cst_admiral_death_02_rebel				false	true	wh2_dlc11_cst_admiral_death_rebel	1
general	wh2_dlc11_art_set_cst_admiral_death_03_rebel				false	true	wh2_dlc11_cst_admiral_death_rebel	1
general	wh2_dlc11_art_set_cst_admiral_death_04_rebel				false	true	wh2_dlc11_cst_admiral_death_rebel	1
general	wh2_dlc11_art_set_cst_barron_von_heastie_rebel				false	true	wh2_dlc11_cst_admiral_death_rebel	1
general	wh2_dlc11_art_set_cst_admiral_deep_01_rebel	wh2_dlc11_cst_vampire_coast			false	true	wh2_dlc11_cst_admiral_deep_rebel	1
general	wh2_dlc11_art_set_cst_admiral_deep_02_rebel	wh2_dlc11_cst_vampire_coast			false	true	wh2_dlc11_cst_admiral_deep_rebel	1
general	wh2_dlc11_art_set_cst_admiral_deep_03_rebel	wh2_dlc11_cst_vampire_coast			false	true	wh2_dlc11_cst_admiral_deep_rebel	1
general	wh2_dlc11_art_set_cst_admiral_deep_04_rebel	wh2_dlc11_cst_vampire_coast			false	true	wh2_dlc11_cst_admiral_deep_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_vampires_01_rebel				false	true	wh2_dlc11_cst_admiral_fem_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_vampires_02_rebel				false	true	wh2_dlc11_cst_admiral_fem_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_vampires_03_rebel				false	true	wh2_dlc11_cst_admiral_fem_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_vampires_04_rebel				false	true	wh2_dlc11_cst_admiral_fem_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_death_01_rebel				false	true	wh2_dlc11_cst_admiral_fem_death_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_death_02_rebel				false	true	wh2_dlc11_cst_admiral_fem_death_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_death_03_rebel				false	true	wh2_dlc11_cst_admiral_fem_death_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_death_04_rebel				false	true	wh2_dlc11_cst_admiral_fem_death_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_deep_01_rebel				false	true	wh2_dlc11_cst_admiral_fem_deep_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_deep_02_rebel				false	true	wh2_dlc11_cst_admiral_fem_deep_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_deep_03_rebel				false	true	wh2_dlc11_cst_admiral_fem_deep_rebel	1
general	wh2_dlc11_art_set_cst_admiral_female_deep_04_rebel				false	true	wh2_dlc11_cst_admiral_fem_deep_rebel	1
general	wh2_dlc11_art_set_cst_admiral_tech_01_rebel	wh2_dlc11_cst_vampire_coast			false	true	wh2_dlc11_cst_admiral_tech_01_rebel	1
general	wh2_dlc11_art_set_cst_admiral_tech_02_rebel	wh2_dlc11_cst_vampire_coast			false	true	wh2_dlc11_cst_admiral_tech_02_rebel	1
general	wh2_dlc11_art_set_cst_admiral_tech_03_rebel	wh2_dlc11_cst_vampire_coast			false	true	wh2_dlc11_cst_admiral_tech_03_rebel	1
general	wh2_dlc11_art_set_cst_admiral_tech_04_female_rebel	wh2_dlc11_cst_vampire_coast			false	true	wh2_dlc11_cst_admiral_tech_04_rebel	1
general	wh_dlc03_art_set_bst_beastlord_01_rebel				false	true	dlc03_bst_beastlord_rebel	1
general	wh_dlc03_art_set_bst_beastlord_02_rebel				false	true	dlc03_bst_beastlord_rebel	1
general	wh_dlc03_art_set_bst_beastlord_03_rebel				false	true	dlc03_bst_beastlord_rebel	1
general	wh_dlc03_art_set_bst_beastlord_04_rebel				false	true	dlc03_bst_beastlord_rebel	1
general	wh_main_art_set_chs_lord_01_rebel				false	true	chs_lord_rebel	1
general	wh_main_art_set_chs_lord_02_rebel				false	true	chs_lord_rebel	1
general	wh_main_art_set_chs_lord_03_rebel				false	true	chs_lord_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_death_01_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_death_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_death_02_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_death_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_death_03_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_death_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_death_04_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_death_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_fire_01_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_fire_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_fire_02_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_fire_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_fire_03_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_fire_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_fire_04_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_fire_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_metal_01_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_metal_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_metal_02_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_metal_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_metal_03_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_metal_rebel	1
general	wh_main_art_set_chs_sorcerer_lord_metal_04_rebel		wh_main_sc_chs_chaos		false	true	chs_sorcerer_lord_metal_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_beasts_01_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_beasts_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_beasts_02_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_beasts_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_beasts_03_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_beasts_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_beasts_04_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_beasts_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_beasts_05_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_beasts_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_dark_01_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_dark_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_dark_02_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_dark_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_dark_03_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_dark_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_dark_04_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_dark_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_dark_05_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_dark_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_death_01_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_death_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_death_02_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_death_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_death_03_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_death_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_death_04_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_death_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_death_05_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_death_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_fire_01_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_fire_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_fire_02_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_fire_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_fire_03_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_fire_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_fire_04_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_fire_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_fire_05_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_fire_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_shadow_01_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_shadow_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_shadow_02_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_shadow_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_shadow_03_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_shadow_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_shadow_04_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_shadow_rebel	1
general	wh2_dlc10_art_set_def_supreme_sorceress_shadow_05_rebel	wh2_main_def_dark_elves			false	true	wh2_dlc10_def_supreme_sorceress_shadow_rebel	1
general	wh2_main_art_set_def_black_ark_rebel	wh2_main_def_dark_elves			false	true	wh2_main_def_black_ark_rebel	1
general	wh2_main_art_set_def_black_ark_lokhir_1_rebel	wh2_main_def_dark_elves		wh2_dlc11_def_the_blessed_dread	false	true	wh2_main_def_black_ark_rebel	1
general	wh2_main_art_set_def_black_ark_lokhir_2_rebel	wh2_main_def_dark_elves		wh2_dlc11_def_the_blessed_dread	false	true	wh2_main_def_black_ark_rebel	1
general	wh2_main_art_set_def_black_ark_lokhir_3_rebel	wh2_main_def_dark_elves		wh2_dlc11_def_the_blessed_dread	false	true	wh2_main_def_black_ark_rebel	1
general	wh2_main_art_set_def_dreadlord_01_rebel				false	true	wh2_main_def_dreadlord_rebel	1
general	wh2_main_art_set_def_dreadlord_02_rebel				false	true	wh2_main_def_dreadlord_rebel	1
general	wh2_main_art_set_def_dreadlord_03_rebel				false	true	wh2_main_def_dreadlord_rebel	1
general	wh2_main_art_set_def_dreadlord_fem_01_rebel				false	true	wh2_main_def_dreadlord_fem_rebel	1
