campaign_character_arts_tables	7
art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
wh2_main_art_set_hef_prince_01_mid	0	0		none	wh2_main_uniform_hef_prince_01			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	2310098		0	0	0
wh2_main_art_set_hef_prince_02_mid	0	0		none	wh2_main_uniform_hef_prince_02			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	2310099		0	0	0
wh2_main_art_set_hef_prince_03_mid	0	0		none	wh2_main_uniform_hef_prince_03			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	23100100		0	0	0
wh2_main_art_set_hef_prince_04_mid	0	0		none	wh2_main_uniform_hef_prince_04			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	23100101		0	0	0
wh2_main_art_set_hef_princess_01_mid	0	0		none	wh2_main_uniform_hef_princess_01			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_lord_hu1b_elf_sword_and_bow	cam_medium_ship_05	cam_medium_ship_05	23100102		0	0	0
wh2_main_art_set_hef_princess_02_mid	0	0		none	wh2_main_uniform_hef_princess_02			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_lord_hu1b_elf_sword_and_bow	cam_medium_ship_05	cam_medium_ship_05	23100103		0	0	0
wh2_main_art_set_hef_princess_03_mid	0	0		none	wh2_main_uniform_hef_princess_03			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_lord_hu1b_elf_sword_and_bow	cam_medium_ship_05	cam_medium_ship_05	23100104		0	0	0
wh2_main_art_set_hef_prince_01_high	0	0		none	wh2_main_uniform_hef_prince_01			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	2311098		0	0	0
wh2_main_art_set_hef_prince_02_high	0	0		none	wh2_main_uniform_hef_prince_02			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	2311099		0	0	0
wh2_main_art_set_hef_prince_03_high	0	0		none	wh2_main_uniform_hef_prince_03			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	23110100		0	0	0
wh2_main_art_set_hef_prince_04_high	0	0		none	wh2_main_uniform_hef_prince_04			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	23110101		0	0	0
wh2_main_art_set_hef_princess_01_high	0	0		none	wh2_main_uniform_hef_princess_01			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_lord_hu1b_elf_sword_and_bow	cam_medium_ship_05	cam_medium_ship_05	23110102		0	0	0
wh2_main_art_set_hef_princess_02_high	0	0		none	wh2_main_uniform_hef_princess_02			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_lord_hu1b_elf_sword_and_bow	cam_medium_ship_05	cam_medium_ship_05	23110103		0	0	0
wh2_main_art_set_hef_princess_03_high	0	0		none	wh2_main_uniform_hef_princess_03			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_lord_hu1b_elf_sword_and_bow	cam_medium_ship_05	cam_medium_ship_05	23110104		0	0	0
wh2_main_art_set_hef_prince_01_low	0	0		none	wh2_main_uniform_hef_prince_01			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	2312098		0	0	0
wh2_main_art_set_hef_prince_02_low	0	0		none	wh2_main_uniform_hef_prince_02			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	2312099		0	0	0
wh2_main_art_set_hef_prince_03_low	0	0		none	wh2_main_uniform_hef_prince_03			wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_sword_and_shield	cam_medium_ship_05	cam_medium_ship_05	23120100		0	0	0
