campaign_character_arts_tables	7
art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
wh2_dlc11_art_set_cst_admiral_vampires_01_rebel	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_male_01			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1_cst_admiral_halberd	cam_cst_transport_ship_01	cam_heavy_ship_01	231900		0	0	0
wh2_dlc11_art_set_cst_admiral_vampires_02_rebel	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_male_02			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1_cst_admiral_halberd	cam_cst_transport_ship_01	cam_heavy_ship_01	231901		0	0	0
wh2_dlc11_art_set_cst_admiral_vampires_03_rebel	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_male_03			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1_cst_admiral_halberd	cam_cst_transport_ship_01	cam_heavy_ship_01	231902		0	0	0
wh2_dlc11_art_set_cst_admiral_vampires_04_rebel	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_male_04			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1_cst_admiral_halberd	cam_cst_transport_ship_01	cam_heavy_ship_01	231903		0	0	0
wh2_dlc11_art_set_cst_admiral_death_01_rebel	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_male_01			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1_cst_admiral_halberd	cam_cst_transport_ship_01	cam_heavy_ship_01	231904		0	0	0
wh2_dlc11_art_set_cst_admiral_death_02_rebel	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_male_02			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1_cst_admiral_halberd	cam_cst_transport_ship_01	cam_heavy_ship_01	231905		0	0	0
wh2_dlc11_art_set_cst_admiral_death_03_rebel	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_male_03			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1_cst_admiral_halberd	cam_cst_transport_ship_01	cam_heavy_ship_01	231906		0	0	0
wh2_dlc11_art_set_cst_admiral_death_04_rebel	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_male_04			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1_cst_admiral_halberd	cam_cst_transport_ship_01	cam_heavy_ship_01	231907		0	0	0
wh2_dlc11_art_set_cst_barron_von_heastie_rebel	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_male_01			wh2_dlc11_campaign_cst_ship_ghost	wh2_dlc11_campaign_cst_ship_ghost	cam_lord_hu1_cst_admiral_halberd	cam_cst_transport_ship_01	cam_heavy_ship_01	231908		0	0	0
wh2_dlc11_art_set_cst_admiral_deep_01_rebel	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_male_01			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1_cst_admiral_halberd	cam_cst_transport_ship_01	cam_heavy_ship_01	231909		0	0	0
wh2_dlc11_art_set_cst_admiral_deep_02_rebel	0	0		none	wh2_dlc11_uniform_cst_vampire_fleet_admiral_male_02			wh2_dlc11_campaign_cst_ship_transport	wh2_dlc11_campaign_cst_ship_transport	cam_lord_hu1_cst_admiral_halberd	cam_cst_transport_ship_01	cam_heavy_ship_01	2319010		0	0	0
