character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh_main_skill_all_lord_battle_inspiring_presence	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_0	0		0	0	true
	wh2_main_skill_def_army_buff_basic_infantry	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_1_1	1		0	0	true
	wh2_main_skill_def_army_buff_missile	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_1_2	2		0	0	true
	wh2_main_skill_def_army_buff_shades_riders	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_1_3	3		0	0	true
	wh2_main_skill_def_army_buff_beasts	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_1_4	4		0	0	true
	wh2_main_skill_def_army_buff_coldones	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_1_5	5		0	0	true
	wh2_main_skill_def_army_buff_elites	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_1_6	6		0	0	true
	wh2_main_skill_hef_def_fire_at_will	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_2	7		0	6	true
	wh2_main_skill_def_army_buff_cull_the_unworthy	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_3_1	8		0	0	true
	wh2_main_skill_def_army_buff_rewards_for_ravagers	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_3_2	9		0	0	true
	wh2_main_skill_def_army_buff_favour_the_fortunate	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_3_3	10		0	0	true
	wh2_main_skill_def_army_buff_confer_bloodlust	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_3_4	11		0	0	true
	wh2_main_skill_hef_def_darken_the_skies	wh2_main_skill_node_set_def_dreadlord_rebel		4	rebel_wh2_main_skill_node_def_dreadlord_army_4	12		0	1	true
	wh_main_skill_all_lord_campaign_route_marcher	wh2_main_skill_node_set_def_dreadlord_rebel		5	rebel_wh2_main_skill_node_def_dreadlord_campaign_0	0		0	0	true
	wh_main_skill_emp_lord_campaign_iron_disciplinarian	wh2_main_skill_node_set_def_dreadlord_rebel		5	rebel_wh2_main_skill_node_def_dreadlord_campaign_1_1	1		0	0	true
	wh2_main_skill_def_campaign_dreaded_slaver	wh2_main_skill_node_set_def_dreadlord_rebel		5	rebel_wh2_main_skill_node_def_dreadlord_campaign_1_2	2		0	0	true
	wh_main_skill_chs_lord_campaign_serve_or_die	wh2_main_skill_node_set_def_dreadlord_rebel		5	rebel_wh2_main_skill_node_def_dreadlord_campaign_1_3	3		0	0	true
	wh2_main_skill_def_campaign_infamous_raider	wh2_main_skill_node_set_def_dreadlord_rebel		5	rebel_wh2_main_skill_node_def_dreadlord_campaign_1_4	4		0	0	true
	wh2_main_skill_def_campaign_draftmaster	wh2_main_skill_node_set_def_dreadlord_rebel		5	rebel_wh2_main_skill_node_def_dreadlord_campaign_2	5		0	4	true
	wh_main_skill_all_lord_campaign_lightning_strike	wh2_main_skill_node_set_def_dreadlord_rebel		5	rebel_wh2_main_skill_node_def_dreadlord_campaign_3_1	6		0	0	true
	wh_main_skill_emp_lord_campaign_quartermaster	wh2_main_skill_node_set_def_dreadlord_rebel		5	rebel_wh2_main_skill_node_def_dreadlord_campaign_3_2	7		0	0	true
	wh2_main_skill_def_campaign_fleeting_shadow	wh2_main_skill_node_set_def_dreadlord_rebel		5	rebel_wh2_main_skill_node_def_dreadlord_campaign_3_3	8		0	0	true
	wh2_main_skill_hef_campaign_elven_healing	wh2_main_skill_node_set_def_dreadlord_rebel		5	rebel_wh2_main_skill_node_def_dreadlord_campaign_3_4	9		0	0	true
	wh2_main_skill_LL_self_defense	wh2_main_skill_node_set_def_dreadlord_rebel		5	rebel_wh2_main_skill_node_def_dreadlord_campaign_4	10		0	4	true
	wh2_main_skill_def_combat_sea_dragon_cloak	wh2_main_skill_node_set_def_dreadlord_rebel		2	rebel_wh2_main_skill_node_def_dreadlord_combat_0	0		0	0	true
	wh_main_skill_all_all_self_devastating_charge	wh2_main_skill_node_set_def_dreadlord_rebel		2	rebel_wh2_main_skill_node_def_dreadlord_combat_1_1	1		0	0	true
	wh2_main_skill_def_combat_deadeye	wh2_main_skill_node_set_def_dreadlord_rebel		2	rebel_wh2_main_skill_node_def_dreadlord_combat_1_2	2		0	0	true
	wh_main_skill_all_all_self_blade_master	wh2_main_skill_node_set_def_dreadlord_rebel		2	rebel_wh2_main_skill_node_def_dreadlord_combat_1_3	3		0	0	true
	wh_main_skill_all_all_self_indomitable	wh2_main_skill_node_set_def_dreadlord_rebel		2	rebel_wh2_main_skill_node_def_dreadlord_combat_1_4	4		0	0	true
	wh_main_skill_all_all_self_foe-seeker	wh2_main_skill_node_set_def_dreadlord_rebel		2	rebel_wh2_main_skill_node_def_dreadlord_combat_2	5		0	4	true
	wh_main_skill_all_all_self_wound-maker	wh2_main_skill_node_set_def_dreadlord_rebel		2	rebel_wh2_main_skill_node_def_dreadlord_combat_3_1	6		0	0	true
	wh_main_skill_all_lord_self_full_plate_armour	wh2_main_skill_node_set_def_dreadlord_rebel		2	rebel_wh2_main_skill_node_def_dreadlord_combat_3_2	7		0	0	true
	wh_dlc05_skill_wef_general_personal_buff_missile_damage	wh2_main_skill_node_set_def_dreadlord_rebel		2	rebel_wh2_main_skill_node_def_dreadlord_combat_3_3	8		0	0	true
	wh_dlc05_skill_wef_general_personal_buff_battle_speed	wh2_main_skill_node_set_def_dreadlord_rebel		2	rebel_wh2_main_skill_node_def_dreadlord_combat_3_4	9		0	0	true
	wh2_main_skill_def_volley_of_dark_arrows	wh2_main_skill_node_set_def_dreadlord_rebel		2	rebel_wh2_main_skill_node_def_dreadlord_combat_4	10		0	4	true
