character_trait_levels_tables	0
key	level	trait	threshold_points
wh2_dlc09_skill_innate_skv_tretch_craventail	1	wh2_dlc09_skill_innate_skv_tretch_craventail	0
wh2_dlc09_skill_innate_tmb_arkhan	1	wh2_dlc09_skill_innate_tmb_arkhan	0
wh2_dlc09_skill_innate_tmb_cavalry_master	1	wh2_dlc09_skill_innate_tmb_cavalry_master	0
wh2_dlc09_skill_innate_tmb_channeller	1	wh2_dlc09_skill_innate_tmb_channeller	0
wh2_dlc09_skill_innate_tmb_chariot_master	1	wh2_dlc09_skill_innate_tmb_chariot_master	0
wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	1	wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	0
wh2_dlc09_skill_innate_tmb_dynasty_lahmizzash	1	wh2_dlc09_skill_innate_tmb_dynasty_lahmizzash	0
wh2_dlc09_skill_innate_tmb_dynasty_rakhash	1	wh2_dlc09_skill_innate_tmb_dynasty_rakhash	0
wh2_dlc09_skill_innate_tmb_dynasty_setep	1	wh2_dlc09_skill_innate_tmb_dynasty_setep	0
wh2_dlc09_skill_innate_tmb_dynasty_thutep	1	wh2_dlc09_skill_innate_tmb_dynasty_thutep	0
wh2_dlc09_skill_innate_tmb_dynasty_wakhaf	1	wh2_dlc09_skill_innate_tmb_dynasty_wakhaf	0
wh2_dlc09_skill_innate_tmb_eternal	1	wh2_dlc09_skill_innate_tmb_eternal	0
wh2_dlc09_skill_innate_tmb_imbuer	1	wh2_dlc09_skill_innate_tmb_imbuer	0
wh2_dlc09_skill_innate_tmb_infantry_master	1	wh2_dlc09_skill_innate_tmb_infantry_master	0
wh2_dlc09_skill_innate_tmb_khalida	1	wh2_dlc09_skill_innate_tmb_khalida	0
wh2_dlc09_skill_innate_tmb_khatep	1	wh2_dlc09_skill_innate_tmb_khatep	0
wh2_dlc09_skill_innate_tmb_master_of_ceremony	1	wh2_dlc09_skill_innate_tmb_master_of_ceremony	0
wh2_dlc09_skill_innate_tmb_prepared	1	wh2_dlc09_skill_innate_tmb_prepared	0
wh2_dlc09_skill_innate_tmb_proficient_caster	1	wh2_dlc09_skill_innate_tmb_proficient_caster	0
wh2_dlc09_skill_innate_tmb_scavenger	1	wh2_dlc09_skill_innate_tmb_scavenger	0
wh2_dlc09_skill_innate_tmb_scorpion_carver	1	wh2_dlc09_skill_innate_tmb_scorpion_carver	0
wh2_dlc09_skill_innate_tmb_serpent_carver	1	wh2_dlc09_skill_innate_tmb_serpent_carver	0
