character_traits_tables	2
key	no_going_back_level	hidden	precedence	icon	ui_priority	pre_battle_speech_parameter
wh2_dlc09_skill_innate_skv_tretch_craventail	1	false	1	skaven	1	
wh2_dlc09_skill_innate_tmb_arkhan	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_cavalry_master	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_channeller	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_chariot_master	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_dynasty_lahmizzash	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_dynasty_rakhash	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_dynasty_setep	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_dynasty_thutep	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_dynasty_wakhaf	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_eternal	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_imbuer	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_infantry_master	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_khalida	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_khatep	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_master_of_ceremony	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_prepared	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_proficient_caster	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_scavenger	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_scorpion_carver	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_serpent_carver	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_settra	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_sphinx_carver	1	false	1	tomb_kings	1	
wh2_dlc09_skill_innate_tmb_treacherous	1	false	1	tomb_kings	1	
