Loc PackedFile
Key	Text	Tooltip
agent_subtypes_onscreen_name_override_vmp_lord_replacement	Vampire Lord	true
agent_subtypes_description_text_override_vmp_lord_replacement		true
agent_subtypes_onscreen_name_override_wh2_main_hef_princess_mid	Princess	true
agent_subtypes_description_text_override_wh2_main_hef_prince_mid		true
agent_subtypes_description_text_override_wh2_main_hef_princess_mid		true
agent_subtypes_onscreen_name_override_wh2_main_hef_prince_mid	Prince	true
agent_subtypes_onscreen_name_override_wh2_main_hef_princess_high	Princess	true
agent_subtypes_description_text_override_wh2_main_hef_prince_high		true
agent_subtypes_description_text_override_wh2_main_hef_princess_high		true
agent_subtypes_onscreen_name_override_wh2_main_hef_prince_high	Prince	true
