faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
colonel	wh2_dlc11_vmp_the_barrow_legion	vmp_lord_replacement
general	wh2_dlc11_vmp_the_barrow_legion	vmp_lord_replacement
colonel	wh2_main_rogue_scourge_of_aquitaine	vmp_lord_replacement
general	wh2_main_rogue_scourge_of_aquitaine	vmp_lord_replacement
colonel	wh2_main_vmp_necrarch_brotherhood	vmp_lord_replacement
general	wh2_main_vmp_necrarch_brotherhood	vmp_lord_replacement
colonel	wh2_main_vmp_strygos_empire	vmp_lord_replacement
general	wh2_main_vmp_strygos_empire	vmp_lord_replacement
colonel	wh2_main_vmp_the_silver_host	vmp_lord_replacement
general	wh2_main_vmp_the_silver_host	vmp_lord_replacement
colonel	wh_main_vmp_mousillon	vmp_lord_replacement
general	wh_main_vmp_mousillon	vmp_lord_replacement
colonel	wh_main_vmp_rival_sylvanian_vamps	vmp_lord_replacement
general	wh_main_vmp_rival_sylvanian_vamps	vmp_lord_replacement
colonel	wh_main_vmp_schwartzhafen	vmp_lord_replacement
general	wh_main_vmp_schwartzhafen	vmp_lord_replacement
colonel	wh_main_vmp_vampire_counts_qb1	vmp_lord_replacement
general	wh_main_vmp_vampire_counts_qb1	vmp_lord_replacement
colonel	wh_main_vmp_vampire_counts_qb2	vmp_lord_replacement
general	wh_main_vmp_vampire_counts_qb2	vmp_lord_replacement
colonel	wh_main_vmp_vampire_counts_qb3	vmp_lord_replacement
general	wh_main_vmp_vampire_counts_qb3	vmp_lord_replacement
colonel	wh_main_vmp_vampire_counts	vmp_lord_replacement
general	wh_main_vmp_vampire_counts	vmp_lord_replacement
colonel	wh_main_vmp_vampire_rebels	vmp_lord_replacement
general	wh_main_vmp_vampire_rebels	vmp_lord_replacement
colonel	wh_main_vmp_waldenhof	vmp_lord_replacement
general	wh_main_vmp_waldenhof	vmp_lord_replacement
