Loc PackedFile
Key	Text	Tooltip
character_trait_levels_colour_text_wh2_dlc09_skill_innate_skv_tretch_craventail	An audacious surprise attack on his predecessor has led to a new title for Tretch and an army to do his bidding.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_skv_tretch_craventail	Grand Chieftain	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_arkhan	The monarch of the Undead, the liege of the Unliving.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_arkhan	The Liche King	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_cavalry_master	The ties that hold man and beast together cannot be broken by death alone.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_cavalry_master	Cavalry Master	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_channeller	This Liche Priest is so powerful he can tap energy directly from the Realm of Souls and direct it at will.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_channeller	Channeller	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_chariot_master	Effective chariot warfare requires precise control - choreography, almost, if you will - if the victories sought by Unliving generals are to be achieved.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_chariot_master	Chariot Master	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	This warrior-king was unmatched in chariot tactics. Only the finest crews served under him - and will again, of course…	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	Alkhazzar II of the Sixth Dynasty	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_dynasty_lahmizzash	Lahmizzash continued the fight against Nagash, retaking sacred Khemri with the aid of his potent Ushabti.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_dynasty_lahmizzash	Lahmizzash of the Fourth Dynasty	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_dynasty_rakhash	Conquering lands beyond the mountains east of Nehekhara, Rakhash was a bringer of great prosperity.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_dynasty_rakhash	Rakhash of the Second Dynasty	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_dynasty_setep	Ruling in the wake of the war with Nagash, Setep restored the Necropolis and the Priesthood to their former glory.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_dynasty_setep	Setep of the Fifth Dynasty	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_dynasty_thutep	The son of Khetep ruled only briefly before his death, but his grasp of engineering and urban development were legendary.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_dynasty_thutep	Thutep of the Third Dynasty	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_dynasty_wakhaf	Wakhaf repelled the nomads and secured the borders. He is a peerless master of desert warfare.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_dynasty_wakhaf	Wakhaf of the First Dynasty	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_eternal	Time itself cannot harm those who have defied death.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_eternal	Eternal	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_imbuer	This Necrotect knows all the secret hieroglyphic inscriptions required to strengthen his statuary constructs.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_imbuer	Imbuer	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_infantry_master	The myriad Undead legions respond to their master's will without question.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_infantry_master	Infantry Master	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_khalida	As the embodiment of the Asp Goddess in full fury, a wave of pure terror rolls over those who look upon her.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_khalida	Beloved of Asaph	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_khatep	The oldest and wisest of the Liche Priests is the head of the Mortuary Cult's hieratic council.	true
character_trait_levels_onscreen_name_wh2_dlc09_skill_innate_tmb_khatep	Grand Hierophant	true
character_trait_levels_colour_text_wh2_dlc09_skill_innate_tmb_master_of_ceremony	"Revered One, Venerable One, Lord of Secrets, High Priest of the Temple of Years…"	true
