trait_level_effects_tables	0
trait_level	effect	effect_scope	value
wh2_dlc09_skill_innate_skv_tretch_craventail	wh2_dlc09_effect_force_army_battle_unit_melee_attack_during_ambushes	general_to_force_own	13
wh2_dlc09_skill_innate_skv_tretch_craventail	wh2_dlc09_effect_force_unit_stat_melee_attack_when_retreating_dummy	general_to_force_own	13
wh2_dlc09_skill_innate_skv_tretch_craventail	wh_main_effect_unit_enable_attribute_guerrilla_deployment	character_to_force_own	1
wh2_dlc09_skill_innate_tmb_arkhan	wh2_dlc09_effect_melee_attack_tmb_characters	general_to_force_own	5
wh2_dlc09_skill_innate_tmb_arkhan	wh2_dlc09_effect_melee_defence_tmb_characters	general_to_force_own	5
wh2_dlc09_skill_innate_tmb_cavalry_master	wh2_dlc09_effect_melee_attack_tmb_tomb_prince_steed	character_to_character_own	8
wh2_dlc09_skill_innate_tmb_cavalry_master	wh2_dlc09_effect_melee_defence_tmb_tomb_prince_steed	character_to_character_own	8
wh2_dlc09_skill_innate_tmb_cavalry_master	wh2_dlc09_effect_tech_unit_xp_levels_tmb_all_horsemen_serpent_cavalry	agent_to_parent_army_own	1
wh2_dlc09_skill_innate_tmb_channeller	wh2_dlc09_effect_ability_mod_cooldown_arcane_conduit	character_to_character_own	-25
wh2_dlc09_skill_innate_tmb_chariot_master	wh2_dlc09_effect_melee_attack_tmb_tomb_prince_chariot	character_to_character_own	8
wh2_dlc09_skill_innate_tmb_chariot_master	wh2_dlc09_effect_melee_defence_tmb_tomb_prince_chariot	character_to_character_own	8
wh2_dlc09_skill_innate_tmb_chariot_master	wh2_dlc09_effect_tech_unit_xp_levels_tmb_all_chariots	agent_to_parent_army_own	1
wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	wh2_dlc09_effect_tech_melee_damage_increase_tmb_chariots	general_to_force_own	20
wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	wh2_dlc09_effect_tech_missile_damage_increase_archer_chariots	general_to_force_own	20
wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	wh2_dlc09_effect_unit_cap_tmb_veh_skeleton_archer_chariot_0	character_to_faction_unseen	2
wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	wh2_dlc09_effect_unit_cap_tmb_veh_skeleton_chariot_0	character_to_faction_unseen	2
wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	wh2_dlc09_title_king	character_to_character_own	1
wh2_dlc09_skill_innate_tmb_dynasty_alkhazzar_ii	wh_main_effect_force_army_battle_movement_speed	general_to_force_own	5
wh2_dlc09_skill_innate_tmb_dynasty_lahmizzash	wh2_dlc09_effect_missile_damage_tmb_ushabti	general_to_force_own	10
wh2_dlc09_skill_innate_tmb_dynasty_lahmizzash	wh2_dlc09_effect_tech_melee_attack_increase_tmb_ushabti	general_to_force_own	6
wh2_dlc09_skill_innate_tmb_dynasty_lahmizzash	wh2_dlc09_effect_unit_cap_tmb_mon_ushabti_0	character_to_faction_unseen	2
wh2_dlc09_skill_innate_tmb_dynasty_lahmizzash	wh2_dlc09_title_king	character_to_character_own	1
wh2_dlc09_skill_innate_tmb_dynasty_lahmizzash	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	8
wh2_dlc09_skill_innate_tmb_dynasty_rakhash	wh2_dlc09_title_king	character_to_character_own	1
wh2_dlc09_skill_innate_tmb_dynasty_rakhash	wh2_main_effect_public_order_characters_factionwide	character_to_province_own_factionwide	1
wh2_dlc09_skill_innate_tmb_dynasty_rakhash	wh_main_effect_character_stat_mod_personal_aura_morale_effect	character_to_character_own	5
wh2_dlc09_skill_innate_tmb_dynasty_rakhash	wh_main_effect_character_stat_mod_personal_aura_size	character_to_character_own	20
wh2_dlc09_skill_innate_tmb_dynasty_rakhash	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	5
wh2_dlc09_skill_innate_tmb_dynasty_rakhash	wh_main_effect_economy_tax_mod	faction_to_faction_own	5
wh2_dlc09_skill_innate_tmb_dynasty_setep	wh2_dlc09_effect_agent_action_success_chance_wizard_tmb	faction_to_character_own	5
wh2_dlc09_skill_innate_tmb_dynasty_setep	wh2_dlc09_effect_agent_recruitment_xp_tmb_liche_priest	faction_to_province_own_factionwide	2
wh2_dlc09_skill_innate_tmb_dynasty_setep	wh2_dlc09_title_king	character_to_character_own	1
wh2_dlc09_skill_innate_tmb_dynasty_setep	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	20
wh2_dlc09_skill_innate_tmb_dynasty_setep	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	faction_to_force_own	5
wh2_dlc09_skill_innate_tmb_dynasty_setep	wh_main_effect_religion_conversion_untainted	character_to_character_own_provincetext	5
wh2_dlc09_skill_innate_tmb_dynasty_thutep	wh2_dlc09_effect_tech_armour_increase_tmb_sphinxes	general_to_force_own	5
wh2_dlc09_skill_innate_tmb_dynasty_thutep	wh2_dlc09_effect_unit_cap_tmb_veh_khemrian_warsphinx_0	faction_to_faction_own_unseen	1
wh2_dlc09_skill_innate_tmb_dynasty_thutep	wh2_dlc09_title_king	character_to_character_own	1
wh2_dlc09_skill_innate_tmb_dynasty_thutep	wh2_main_effect_building_construction_time_mod_all	character_to_region_own_provincewide	-35
wh2_dlc09_skill_innate_tmb_dynasty_thutep	wh_main_effect_character_stat_mod_armour	character_to_character_own	10
wh2_dlc09_skill_innate_tmb_dynasty_thutep	wh_main_effect_economy_trade_good_commodity_mod	character_to_faction	10
wh2_dlc09_skill_innate_tmb_dynasty_wakhaf	wh2_dlc09_title_king	character_to_character_own	1
wh2_dlc09_skill_innate_tmb_dynasty_wakhaf	wh2_main_effect_force_unit_stat_melee_attack_in_desert_terrain	general_to_force_own	8
wh2_dlc09_skill_innate_tmb_dynasty_wakhaf	wh_main_effect_character_stat_mod_charge_add	character_to_character_own	16
wh2_dlc09_skill_innate_tmb_dynasty_wakhaf	wh_main_effect_force_army_campaign_ambush_attack_success_chance	general_to_force_own_unseen	20
wh2_dlc09_skill_innate_tmb_dynasty_wakhaf	wh_main_effect_force_unit_stat_missile_range	general_to_force_own	10
wh2_dlc09_skill_innate_tmb_dynasty_wakhaf	wh_main_effect_unit_enable_attribute_stalk	character_to_character_own	1
wh2_dlc09_skill_innate_tmb_eternal	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	5
wh2_dlc09_skill_innate_tmb_imbuer	wh2_dlc09_effect_unit_xp_levels_tmb_sphinxes	character_to_province_own	1
wh2_dlc09_skill_innate_tmb_imbuer	wh2_dlc09_effect_unit_xp_levels_tmb_ushabti	character_to_province_own	1
wh2_dlc09_skill_innate_tmb_infantry_master	wh2_dlc09_effect_melee_attack_tmb_tomb_prince_foot	character_to_character_own	8
wh2_dlc09_skill_innate_tmb_infantry_master	wh2_dlc09_effect_melee_defence_tmb_tomb_prince_foot	character_to_character_own	8
wh2_dlc09_skill_innate_tmb_infantry_master	wh2_dlc09_effect_unit_xp_tmb_all_skeleton	agent_to_parent_army_own	1
wh2_dlc09_skill_innate_tmb_khalida	wh_main_effect_character_stat_enable_poison_attacks	general_to_force_own	1
wh2_dlc09_skill_innate_tmb_khalida	wh_main_effect_force_army_campaign_attrition_all_resistance	general_to_force_own	-50
wh2_dlc09_skill_innate_tmb_khalida	wh_main_effect_religion_conversion_untainted	character_to_character_own_provincetext	3
wh2_dlc09_skill_innate_tmb_khatep	wh2_dlc09_effect_agent_cap_increase_tmb_liche_priest	character_to_faction_unseen	2
wh2_dlc09_skill_innate_tmb_khatep	wh2_dlc09_effect_agent_recruitment_xp_tmb_liche_priest	faction_to_province_own_unseen	3
wh2_dlc09_skill_innate_tmb_master_of_ceremony	wh_main_effect_religion_conversion_untainted	character_to_character_own_provincetext	2
wh2_dlc09_skill_innate_tmb_prepared	wh_main_effect_force_unit_stat_ammunition	army_to_army_own	20
wh2_dlc09_skill_innate_tmb_prepared	wh_main_effect_force_unit_stat_missile_damage	general_to_force_own	5
wh2_dlc09_skill_innate_tmb_proficient_caster	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	-10
wh2_dlc09_skill_innate_tmb_scavenger	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	3
wh2_dlc09_skill_innate_tmb_scavenger	wh_main_effect_character_mod_ancillary_steal	character_to_character_own	20
wh2_dlc09_skill_innate_tmb_scavenger	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	10
wh2_dlc09_skill_innate_tmb_scorpion_carver	wh2_dlc09_effect_unit_cap_tmb_mon_tomb_scorpion_0	faction_to_faction_own_unseen	2
wh2_dlc09_skill_innate_tmb_serpent_carver	wh2_dlc09_effect_unit_cap_tmb_mon_sepulchral_stalkers_0	faction_to_faction_own_unseen	2
wh2_dlc09_skill_innate_tmb_settra	wh2_dlc09_effect_replenishment_tomb_guard_chariots	general_to_force_own	10
wh2_dlc09_skill_innate_tmb_settra	wh_main_effect_character_stat_mod_personal_aura_size	character_to_character_own	100
wh2_dlc09_skill_innate_tmb_sphinx_carver	wh2_dlc09_effect_unit_cap_tmb_veh_khemrian_warsphinx_0	faction_to_faction_own_unseen	1
wh2_dlc09_skill_innate_tmb_treacherous	wh2_dlc09_effect_tech_melee_attack_increase_tmb_scorpions	general_to_force_own	5
wh2_dlc09_skill_innate_tmb_treacherous	wh2_dlc09_effect_tech_melee_defence_increase_tmb_scorpions	general_to_force_own	5
wh2_dlc09_skill_innate_tmb_treacherous	wh_main_effect_agent_action_success_chance	character_to_character_provincewide	5
wh2_dlc09_skill_innate_tmb_trustworthy	wh2_dlc09_faction_political_diplomacy_mod	faction_to_faction_own_unseen	5
wh2_dlc09_skill_innate_tmb_trustworthy	wh_main_effect_public_order_characters	character_to_province_own	1
wh2_dlc09_skill_innate_tmb_ushabti_carver	wh2_dlc09_effect_unit_cap_tmb_mon_ushabti_0	faction_to_faction_own_unseen	1
