character_skill_node_links_tables	3
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
wwl_upgraded_wizard_level_brt_damsel_beasts	0	wh_dlc07_skill_node_brt_damsel_beasts_magic1_01	1	1	0	0	SUBSET_REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_01	0	wwl_default_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_02	0	wwl_default_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wwl_upgraded_wizard_level_brt_damsel_beasts	0	wh_dlc07_skill_node_brt_damsel_beasts_magic1_02	1	1	0	0	SUBSET_REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_02	0	wwl_default_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_03	0	wwl_default_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wwl_upgraded_wizard_level_brt_damsel_beasts	0	wh_dlc07_skill_node_brt_damsel_beasts_magic1_03	1	1	0	0	SUBSET_REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_03	0	wwl_default_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_04	0	wwl_default_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wwl_upgraded_wizard_level_brt_damsel_beasts	0	wh_dlc07_skill_node_brt_damsel_beasts_magic1_04	1	1	0	0	SUBSET_REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_04	0	wwl_default_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_05	0	wwl_default_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wwl_upgraded_wizard_level_brt_damsel_beasts	0	wh_dlc07_skill_node_brt_damsel_beasts_magic1_05	1	1	0	0	SUBSET_REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_05	0	wwl_default_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_06	0	wwl_upgraded_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_07	0	wwl_upgraded_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_08	0	wwl_upgraded_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_09	0	wwl_upgraded_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
wh_dlc07_skill_node_brt_damsel_beasts_magic1_10	0	wwl_upgraded_wizard_level_brt_damsel_beasts	1	1	0	0	REQUIRED
