character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wwl_skill_wizard_level_01	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wwwl_default_wizard_level_brt_damsel_beasts	0		1	0	true
	wwl_skill_wizard_level_02	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wwwl_upgraded_wizard_level_brt_damsel_beasts	6		1	0	true
	wh_dlc03_skill_magic_beasts_wyssans_wildform	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wh_dlc07_skill_node_brt_damsel_beasts_magic1_01	2		0	1	true
	wh_dlc03_skill_magic_beasts_wild_heart	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wh_dlc07_skill_node_brt_damsel_beasts_magic1_02	1		1	1	true
	wh_dlc03_skill_magic_beasts_flock_of_doom	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wh_dlc07_skill_node_brt_damsel_beasts_magic1_03	3		1	1	true
	wh_dlc03_skill_magic_beasts_panns_impenetrable_pelt	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wh_dlc07_skill_node_brt_damsel_beasts_magic1_04	4		1	1	true
	wh_dlc03_skill_magic_beasts_the_amber_spear	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wh_dlc07_skill_node_brt_damsel_beasts_magic1_05	5		1	1	true
	wh_main_skill_all_magic_all_06_evasion	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wh_dlc07_skill_node_brt_damsel_beasts_magic1_06	7		0	4	true
	wh_main_skill_all_magic_all_07_earthing	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wh_dlc07_skill_node_brt_damsel_beasts_magic1_07	10		0	0	true
	wh_main_skill_all_magic_all_08_power_drain	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wh_dlc07_skill_node_brt_damsel_beasts_magic1_08	11		0	0	true
	wh_dlc03_skill_magic_beasts_the_curse_of_anraheir	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wh_dlc07_skill_node_brt_damsel_beasts_magic1_09	8		0	1	true
	wh_dlc03_skill_magic_beasts_transformation_of_kadon	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wh_dlc07_skill_node_brt_damsel_beasts_magic1_10	9		0	1	true
	wh_main_skill_all_magic_all_11_arcane_conduit	wh_dlc07_skill_node_set_brt_damsel_beasts		2	wh_dlc07_skill_node_brt_damsel_beasts_magic1_11	12		0	4	true
