character_trait_levels_tables	0
key	level	trait	threshold_points
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_disable	1	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_disable	0
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_enable	1	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_enable	0
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_disable	1	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_disable	0
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_enable	1	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_enable	0
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_disable	1	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_disable	0
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_enable	1	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_enable	0
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_disable	1	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_disable	0
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_enable	1	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_enable	0
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_disable	1	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_disable	0
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_enable	1	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_enable	0
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_disable	1	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_disable	0
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_enable	1	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_enable	0
wh2_dlc11_spell_deep_denizens_of_the_deep_disable	1	wh2_dlc11_spell_deep_denizens_of_the_deep_disable	0
wh2_dlc11_spell_deep_denizens_of_the_deep_enable	1	wh2_dlc11_spell_deep_denizens_of_the_deep_enable	0
wh2_dlc11_spell_deep_fog_of_the_damned_disable	1	wh2_dlc11_spell_deep_fog_of_the_damned_disable	0
wh2_dlc11_spell_deep_fog_of_the_damned_enable	1	wh2_dlc11_spell_deep_fog_of_the_damned_enable	0
wh2_dlc11_spell_deep_ghost_ship_disable	1	wh2_dlc11_spell_deep_ghost_ship_disable	0
