effect_bundles_to_effects_junctions_tables	2
effect_bundle_key	effect_key	effect_scope	value	advancement_stage
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_disable	wh2_dlc09_spell_nehekhara_disable_djafs_incantation_of_cursed_blades	force_to_general_own	1	start_turn_completed
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_enable	wh2_dlc09_spell_nehekhara_enable_djafs_incantation_of_cursed_blades	force_to_general_own	1	start_turn_completed
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_disable	wh2_dlc09_spell_nehekhara_disable_nerus_incantation_of_protection	force_to_general_own	1	start_turn_completed
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_enable	wh2_dlc09_spell_nehekhara_enable_nerus_incantation_of_protection	force_to_general_own	1	start_turn_completed
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_disable	wh2_dlc09_spell_nehekhara_disable_ptras_incantation_of_righteous_smiting	force_to_general_own	1	start_turn_completed
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_enable	wh2_dlc09_spell_nehekhara_enable_ptras_incantation_of_righteous_smiting	force_to_general_own	1	start_turn_completed
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_disable	wh2_dlc09_spell_nehekhara_disable_sakhmets_incantation_of_the_skullstorm	force_to_general_own	1	start_turn_completed
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_enable	wh2_dlc09_spell_nehekhara_enable_sakhmets_incantation_of_the_skullstorm	force_to_general_own	1	start_turn_completed
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_disable	wh2_dlc09_spell_nehekhara_disable_usekhps_incantation_of_desiccation	force_to_general_own	1	start_turn_completed
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_enable	wh2_dlc09_spell_nehekhara_enable_usekhps_incantation_of_desiccation	force_to_general_own	1	start_turn_completed
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_disable	wh2_dlc09_spell_nehekhara_disable_usirians_incantation_of_vengeance	force_to_general_own	1	start_turn_completed
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_enable	wh2_dlc09_spell_nehekhara_enable_usirians_incantation_of_vengeance	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_denizens_of_the_deep_disable	wh2_dlc11_ability_disable_denizens_of_the_deep	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_denizens_of_the_deep_enable	wh2_dlc11_ability_enable_denizens_of_the_deep	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_fog_of_the_damned_disable	wh2_dlc11_ability_disable_fog_of_the_damned	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_fog_of_the_damned_enable	wh2_dlc11_ability_enable_fog_of_the_damned	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_ghost_ship_disable	wh2_dlc11_ability_disable_ghost_ship	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_ghost_ship_enable	wh2_dlc11_ability_enable_ghost_ship	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_krakens_pull_disable	wh2_dlc11_ability_disable_krakens_pull	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_krakens_pull_enable	wh2_dlc11_ability_enable_krakens_pull	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_spiteful_shot_disable	wh2_dlc11_ability_disable_spiteful_shot	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_spiteful_shot_enable	wh2_dlc11_ability_enable_spiteful_shot	force_to_general_own	1	start_turn_completed
wh2_dlc11_hero_abilities_bomb_throw_disable	wh2_dlc11_ability_disable_throw_bombs_hidden	force_to_general_own	1	start_turn_completed
wh2_dlc11_hero_abilities_bomb_throw_enable	wh2_dlc11_ability_enable_throw_bombs_hidden	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_tidecall_disable	wh2_dlc11_ability_disable_tidecall	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_deep_tidecall_enable	wh2_dlc11_ability_enable_tidecall	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_beasts_transformation_of_kadon_disable	wh2_dlc11_effect_magic_beasts_disable_transformation_of_kadon_varghulf	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_beasts_transformation_of_kadon_enable	wh2_dlc11_effect_magic_beasts_enable_transformation_of_kadon_varghulf	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_vampires_drowned_dead_disable	wh2_dlc11_effect_magic_vampires_disable_drowned_dead	force_to_general_own	1	start_turn_completed
wh2_dlc11_spell_vampires_drowned_dead_enable	wh2_dlc11_effect_magic_vampires_enable_drowned_dead	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_bladewind_disable	wh2_main_effect_magic_dark_disable_bladewind	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_bladewind_enable	wh2_main_effect_magic_dark_enable_bladewind	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_chillwind_disable	wh2_main_effect_magic_dark_disable_chillwind	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_chillwind_enable	wh2_main_effect_magic_dark_enable_chillwind	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_doombolt_disable	wh2_main_effect_magic_dark_disable_doombolt	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_doombolt_enable	wh2_main_effect_magic_dark_enable_doombolt	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_power_of_darkness_disable	wh2_main_effect_magic_dark_disable_power_of_darkness	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_power_of_darkness_enable	wh2_main_effect_magic_dark_enable_power_of_darkness	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_power_of_darkness_disable	wh2_main_effect_magic_dark_disable_power_of_darkness_hidden	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_power_of_darkness_enable	wh2_main_effect_magic_dark_enable_power_of_darkness_hidden	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_soul_stealer_disable	wh2_main_effect_magic_dark_disable_soul_stealer	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_soul_stealer_enable	wh2_main_effect_magic_dark_enable_soul_stealer	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_word_of_pain_disable	wh2_main_effect_magic_dark_disable_word_of_pain	force_to_general_own	1	start_turn_completed
wh2_main_spell_dark_magic_word_of_pain_enable	wh2_main_effect_magic_dark_enable_word_of_pain	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_apotheosis_disable	wh2_main_effect_magic_high_disable_apotheosis	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_apotheosis_enable	wh2_main_effect_magic_high_enable_apotheosis	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_arcane_unforging_disable	wh2_main_effect_magic_high_disable_arcane_unforging	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_arcane_unforging_enable	wh2_main_effect_magic_high_enable_arcane_unforging	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_fiery_convocation_disable	wh2_main_effect_magic_high_disable_fiery_convocation	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_fiery_convocation_enable	wh2_main_effect_magic_high_enable_fiery_convocation	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_hand_of_glory_disable	wh2_main_effect_magic_high_disable_hand_of_glory	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_hand_of_glory_enable	wh2_main_effect_magic_high_enable_hand_of_glory	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_soul_quench_disable	wh2_main_effect_magic_high_disable_soul_quench	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_soul_quench_enable	wh2_main_effect_magic_high_enable_soul_quench	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_tempest_disable	wh2_main_effect_magic_high_disable_tempest	force_to_general_own	1	start_turn_completed
wh2_main_spell_high_magic_tempest_enable	wh2_main_effect_magic_high_enable_tempest	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_bless_with_filth_disable	wh2_main_effect_magic_plague_disable_bless_with_filth	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_bless_with_filth_enable	wh2_main_effect_magic_plague_enable_bless_with_filth	force_to_general_own	1	start_turn_completed
wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell_disable	wh2_main_effect_magic_plague_disable_dreaded_thirteenth	force_to_general_own	1	start_turn_completed
wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell_enable	wh2_main_effect_magic_plague_enable_dreaded_thirteenth	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_pestilent_birth_disable	wh2_main_effect_magic_plague_disable_pestilent_birth	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_pestilent_birth_enable	wh2_main_effect_magic_plague_enable_pestilent_birth	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_pestilent_breath_disable	wh2_main_effect_magic_plague_disable_pestilent_breath	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_pestilent_breath_enable	wh2_main_effect_magic_plague_enable_pestilent_breath	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_plague_disable	wh2_main_effect_magic_plague_disable_plague	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_plague_enable	wh2_main_effect_magic_plague_enable_plague	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_vermintide_disable	wh2_main_effect_magic_plague_disable_vermintide	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_vermintide_enable	wh2_main_effect_magic_plague_enable_vermintide	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_wither_disable	wh2_main_effect_magic_plague_disable_wither	force_to_general_own	1	start_turn_completed
wh2_main_spell_plague_wither_enable	wh2_main_effect_magic_plague_enable_wither	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_cracks_call_disable	wh2_main_effect_magic_ruin_disable_cracks_call	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_cracks_call_enable	wh2_main_effect_magic_ruin_enable_cracks_call	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_death_frenzy_disable	wh2_main_effect_magic_ruin_disable_death_frenzy	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_death_frenzy_enable	wh2_main_effect_magic_ruin_enable_death_frenzy	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_howling_warpgale_disable	wh2_main_effect_magic_ruin_disable_howling_warpgale	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_howling_warpgale_enable	wh2_main_effect_magic_ruin_enable_howling_warpgale	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_scorch_disable	wh2_main_effect_magic_ruin_disable_skaven_scorch	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_scorch_enable	wh2_main_effect_magic_ruin_enable_skaven_scorch	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_skitterleap_disable	wh2_main_effect_magic_ruin_disable_skitterleap	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_skitterleap_enable	wh2_main_effect_magic_ruin_enable_skitterleap	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_warp_lightning_disable	wh2_main_effect_magic_ruin_disable_warp_lightning	force_to_general_own	1	start_turn_completed
wh2_main_spell_ruin_warp_lightning_enable	wh2_main_effect_magic_ruin_enable_warp_lightning	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_flock_of_doom_disable	wh_dlc03_effect_magic_beasts_disable_flock_of_doom	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_flock_of_doom_enable	wh_dlc03_effect_magic_beasts_enable_flock_of_doom	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_panns_impenetrable_pelt_disable	wh_dlc03_effect_magic_beasts_disable_panns_impenetrable_pelt	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_panns_impenetrable_pelt_enable	wh_dlc03_effect_magic_beasts_enable_panns_impenetrable_pelt	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_the_amber_spear_disable	wh_dlc03_effect_magic_beasts_disable_the_amber_spear	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_the_amber_spear_enable	wh_dlc03_effect_magic_beasts_enable_the_amber_spear	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_the_curse_of_anraheir_disable	wh_dlc03_effect_magic_beasts_disable_the_curse_of_anraheir	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_the_curse_of_anraheir_enable	wh_dlc03_effect_magic_beasts_enable_the_curse_of_anraheir	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_transformation_of_kadon_disable	wh_dlc03_effect_magic_beasts_disable_transformation_of_kadon	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_transformation_of_kadon_enable	wh_dlc03_effect_magic_beasts_enable_transformation_of_kadon	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_wyssans_wildform_disable	wh_dlc03_effect_magic_beasts_disable_wyssans_wildform	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_beasts_wyssans_wildform_enable	wh_dlc03_effect_magic_beasts_enable_wyssans_wildform	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_wild_bray_scream_disable	wh_dlc03_effect_magic_wild_disable_bray_scream	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_wild_bray_scream_enable	wh_dlc03_effect_magic_wild_enable_bray_scream	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_wild_devolve_disable	wh_dlc03_effect_magic_wild_disable_devolve	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_wild_devolve_enable	wh_dlc03_effect_magic_wild_enable_devolve	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_wild_mantle_of_ghorok_disable	wh_dlc03_effect_magic_wild_disable_mantle_of_ghorok	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_wild_mantle_of_ghorok_enable	wh_dlc03_effect_magic_wild_enable_mantle_of_ghorok	force_to_general_own	1	start_turn_completed
wh_dlc03_spell_wild_savage_dominion_disable	wh_dlc03_effect_magic_wild_disable_savage_dominion	force_to_general_own	1	start_turn_completed
