effects_tables	3
effect	icon	priority	icon_negative	category	is_positive_value_good
wh2_dlc09_spell_nehekhara_disable_djafs_incantation_of_cursed_blades	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc09_spell_nehekhara_disable_nerus_incantation_of_protection	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc09_spell_nehekhara_disable_ptras_incantation_of_righteous_smiting	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc09_spell_nehekhara_disable_sakhmets_incantation_of_the_skullstorm	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc09_spell_nehekhara_disable_usekhps_incantation_of_desiccation	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc09_spell_nehekhara_disable_usirians_incantation_of_vengeance	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc11_ability_disable_denizens_of_the_deep	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc11_ability_disable_fog_of_the_damned	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc11_ability_disable_ghost_ship	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc11_ability_disable_krakens_pull	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc11_ability_disable_spiteful_shot	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc11_ability_disable_throw_bombs_hidden	general_ability.png	0	general_ability.png	battle	true
wh2_dlc11_ability_disable_tidecall	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc11_effect_magic_beasts_disable_transformation_of_kadon_varghulf	spell_ability.png	3	spell_ability.png	battle	true
wh2_dlc11_effect_magic_vampires_disable_drowned_dead	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_dark_disable_bladewind	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_dark_disable_chillwind	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_dark_disable_doombolt	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_dark_disable_power_of_darkness	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_dark_disable_power_of_darkness_hidden	spell_ability.png	0	spell_ability.png	battle	true
wh2_main_effect_magic_dark_disable_soul_stealer	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_dark_disable_word_of_pain	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_high_disable_apotheosis	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_high_disable_arcane_unforging	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_high_disable_fiery_convocation	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_high_disable_hand_of_glory	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_high_disable_soul_quench	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_high_disable_tempest	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_plague_disable_bless_with_filth	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_plague_disable_dreaded_thirteenth	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_plague_disable_pestilent_birth	spell_ability.png	3	spell_ability.png	battle	true
wh2_main_effect_magic_plague_disable_pestilent_breath	spell_ability.png	3	spell_ability.png	battle	true
