trait_level_effects_tables	0
trait_level	effect	effect_scope	value
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_disable	wh2_dlc09_spell_nehekhara_disable_djafs_incantation_of_cursed_blades	character_to_character_own	1
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_enable	wh2_dlc09_spell_nehekhara_enable_djafs_incantation_of_cursed_blades	character_to_character_own	1
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_disable	wh2_dlc09_spell_nehekhara_disable_nerus_incantation_of_protection	character_to_character_own	1
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_enable	wh2_dlc09_spell_nehekhara_enable_nerus_incantation_of_protection	character_to_character_own	1
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_disable	wh2_dlc09_spell_nehekhara_disable_ptras_incantation_of_righteous_smiting	character_to_character_own	1
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_enable	wh2_dlc09_spell_nehekhara_enable_ptras_incantation_of_righteous_smiting	character_to_character_own	1
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_disable	wh2_dlc09_spell_nehekhara_disable_sakhmets_incantation_of_the_skullstorm	character_to_character_own	1
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_enable	wh2_dlc09_spell_nehekhara_enable_sakhmets_incantation_of_the_skullstorm	character_to_character_own	1
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_disable	wh2_dlc09_spell_nehekhara_disable_usekhps_incantation_of_desiccation	character_to_character_own	1
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_enable	wh2_dlc09_spell_nehekhara_enable_usekhps_incantation_of_desiccation	character_to_character_own	1
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_disable	wh2_dlc09_spell_nehekhara_disable_usirians_incantation_of_vengeance	character_to_character_own	1
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_enable	wh2_dlc09_spell_nehekhara_enable_usirians_incantation_of_vengeance	character_to_character_own	1
wh2_dlc11_spell_deep_denizens_of_the_deep_disable	wh2_dlc11_ability_disable_denizens_of_the_deep	character_to_character_own	1
wh2_dlc11_spell_deep_denizens_of_the_deep_enable	wh2_dlc11_ability_enable_denizens_of_the_deep	character_to_character_own	1
wh2_dlc11_spell_deep_fog_of_the_damned_disable	wh2_dlc11_ability_disable_fog_of_the_damned	character_to_character_own	1
wh2_dlc11_spell_deep_fog_of_the_damned_enable	wh2_dlc11_ability_enable_fog_of_the_damned	character_to_character_own	1
wh2_dlc11_spell_deep_ghost_ship_disable	wh2_dlc11_ability_disable_ghost_ship	character_to_character_own	1
wh2_dlc11_spell_deep_ghost_ship_enable	wh2_dlc11_ability_enable_ghost_ship	character_to_character_own	1
wh2_dlc11_spell_deep_krakens_pull_disable	wh2_dlc11_ability_disable_krakens_pull	character_to_character_own	1
wh2_dlc11_spell_deep_krakens_pull_enable	wh2_dlc11_ability_enable_krakens_pull	character_to_character_own	1
wh2_dlc11_spell_deep_spiteful_shot_disable	wh2_dlc11_ability_disable_spiteful_shot	character_to_character_own	1
wh2_dlc11_spell_deep_spiteful_shot_enable	wh2_dlc11_ability_enable_spiteful_shot	character_to_character_own	1
wh2_dlc11_hero_abilities_bomb_throw_disable	wh2_dlc11_ability_disable_throw_bombs_hidden	character_to_character_own	1
wh2_dlc11_hero_abilities_bomb_throw_enable	wh2_dlc11_ability_enable_throw_bombs_hidden	character_to_character_own	1
wh2_dlc11_spell_deep_tidecall_disable	wh2_dlc11_ability_disable_tidecall	character_to_character_own	1
wh2_dlc11_spell_deep_tidecall_enable	wh2_dlc11_ability_enable_tidecall	character_to_character_own	1
wh2_dlc11_spell_beasts_transformation_of_kadon_disable	wh2_dlc11_effect_magic_beasts_disable_transformation_of_kadon_varghulf	character_to_character_own	1
wh2_dlc11_spell_beasts_transformation_of_kadon_enable	wh2_dlc11_effect_magic_beasts_enable_transformation_of_kadon_varghulf	character_to_character_own	1
wh2_dlc11_spell_vampires_drowned_dead_disable	wh2_dlc11_effect_magic_vampires_disable_drowned_dead	character_to_character_own	1
wh2_dlc11_spell_vampires_drowned_dead_enable	wh2_dlc11_effect_magic_vampires_enable_drowned_dead	character_to_character_own	1
wh2_main_spell_dark_magic_bladewind_disable	wh2_main_effect_magic_dark_disable_bladewind	character_to_character_own	1
wh2_main_spell_dark_magic_bladewind_enable	wh2_main_effect_magic_dark_enable_bladewind	character_to_character_own	1
wh2_main_spell_dark_magic_chillwind_disable	wh2_main_effect_magic_dark_disable_chillwind	character_to_character_own	1
wh2_main_spell_dark_magic_chillwind_enable	wh2_main_effect_magic_dark_enable_chillwind	character_to_character_own	1
wh2_main_spell_dark_magic_doombolt_disable	wh2_main_effect_magic_dark_disable_doombolt	character_to_character_own	1
wh2_main_spell_dark_magic_doombolt_enable	wh2_main_effect_magic_dark_enable_doombolt	character_to_character_own	1
wh2_main_spell_dark_magic_power_of_darkness_disable	wh2_main_effect_magic_dark_disable_power_of_darkness	character_to_character_own	1
wh2_main_spell_dark_magic_power_of_darkness_enable	wh2_main_effect_magic_dark_enable_power_of_darkness	character_to_character_own	1
wh2_main_spell_dark_magic_power_of_darkness_disable	wh2_main_effect_magic_dark_disable_power_of_darkness_hidden	character_to_character_own	1
wh2_main_spell_dark_magic_power_of_darkness_enable	wh2_main_effect_magic_dark_enable_power_of_darkness_hidden	character_to_character_own	1
wh2_main_spell_dark_magic_soul_stealer_disable	wh2_main_effect_magic_dark_disable_soul_stealer	character_to_character_own	1
wh2_main_spell_dark_magic_soul_stealer_enable	wh2_main_effect_magic_dark_enable_soul_stealer	character_to_character_own	1
