Loc PackedFile
Key	Text	Tooltip
units_custom_battle_mounts_mount_name_wh2_mixu_emp_cha_wizard_deathwh2_mixu_emp_cha_wizard_death_warhorse	Warhorse	true
units_custom_battle_mounts_localised_description_wh2_mixu_emp_cha_wizard_deathwh2_mixu_emp_cha_wizard_death_warhorse	Should a Battle Wizard need a mount, then his station would ensure he receives a warhorse of good breed.	true
units_custom_battle_mounts_mount_name_wh2_mixu_emp_cha_wizard_metalwh2_mixu_emp_cha_wizard_metal_warhorse	Warhorse	true
units_custom_battle_mounts_localised_description_wh2_mixu_emp_cha_wizard_metalwh2_mixu_emp_cha_wizard_metal_warhorse	Should a Battle Wizard need a mount, then his station would ensure he receives a warhorse of good breed.	true
units_custom_battle_mounts_mount_name_wh2_mixu_emp_cha_wizard_metalwh2_mixu_emp_cha_wizard_metal_barded_warhorse	Barded Warhorse	true
units_custom_battle_mounts_localised_description_wh2_mixu_emp_cha_wizard_metalwh2_mixu_emp_cha_wizard_metal_barded_warhorse	Battle Wizards are rarely armoured for it interferes with their casting, yet a steed can and should be barded to add a level of protection.	true
units_custom_battle_mounts_mount_name_wh2_mixu_emp_cha_wizard_deathwh2_mixu_emp_cha_wizard_death_barded_warhorse	Barded Warhorse	true
units_custom_battle_mounts_localised_description_wh2_mixu_emp_cha_wizard_deathwh2_mixu_emp_cha_wizard_death_barded_warhorse	Battle Wizards are rarely armoured for it interferes with their casting, yet a steed can and should be barded to add a level of protection.	true
units_custom_battle_mounts_mount_name_wh2_mixu_emp_cha_wizard_deathwh2_mixu_emp_cha_wizard_death_pegasus	Imperial Pegasus	true
units_custom_battle_mounts_localised_description_wh2_mixu_emp_cha_wizard_deathwh2_mixu_emp_cha_wizard_death_pegasus	Imperial pegasi are found in Grey Mountains where Bretonnian and Empire hunters fight over capturing the foals.	true
units_custom_battle_mounts_mount_name_wh2_mixu_emp_cha_wizard_metalwh2_mixu_emp_cha_wizard_metal_pegasus	Imperial Pegasus	true
units_custom_battle_mounts_localised_description_wh2_mixu_emp_cha_wizard_metalwh2_mixu_emp_cha_wizard_metal_pegasus	Imperial pegasi are found in Grey Mountains where Bretonnian and Empire hunters fight over capturing the foals.	true
units_custom_battle_mounts_mount_name_wh2_mixu_wef_cha_spellweaver_beastswh2_mixu_wef_cha_spellweaver_beasts_elven_steed	Elven Steed	true
units_custom_battle_mounts_localised_description_wh2_mixu_wef_cha_spellweaver_beastswh2_mixu_wef_cha_spellweaver_beasts_elven_steed	The bond between rider and steed goes beyond friendship or family; they act as one.	true
units_custom_battle_mounts_mount_name_wh2_mixu_wef_cha_spellweaver_beastswh2_mixu_wef_cha_spellweaver_beasts_unicorn	Unicorn	true
units_custom_battle_mounts_localised_description_wh2_mixu_wef_cha_spellweaver_beastswh2_mixu_wef_cha_spellweaver_beasts_unicorn	Its forehead adorned with a spiral horn, this noble mount carries the Spellsinger where their magical gifts are needed most.	true
units_custom_battle_mounts_mount_name_wh2_mixu_wef_cha_spellweaver_beastswh2_mixu_wef_cha_spellweaver_beasts_great_eagle	Great Eagle	true
units_custom_battle_mounts_localised_description_wh2_mixu_wef_cha_spellweaver_beastswh2_mixu_wef_cha_spellweaver_beasts_great_eagle	Fly on your wings, like an eagle. Touch the sun. Track the foe, ambush, and defeat.	true
units_custom_battle_mounts_mount_name_wh2_mixu_wef_cha_spellweaver_lifewh2_mixu_wef_cha_spellweaver_life_elven_steed	Elven Steed	true
units_custom_battle_mounts_localised_description_wh2_mixu_wef_cha_spellweaver_lifewh2_mixu_wef_cha_spellweaver_life_elven_steed	The bond between rider and steed goes beyond friendship or family; they act as one.	true
units_custom_battle_mounts_mount_name_wh2_mixu_wef_cha_spellweaver_lifewh2_mixu_wef_cha_spellweaver_life_unicorn	Unicorn	true
units_custom_battle_mounts_localised_description_wh2_mixu_wef_cha_spellweaver_lifewh2_mixu_wef_cha_spellweaver_life_unicorn	Its forehead adorned with a spiral horn, this noble mount carries the Spellsinger where their magical gifts are needed most.	true
units_custom_battle_mounts_mount_name_wh2_mixu_wef_cha_spellweaver_lifewh2_mixu_wef_cha_spellweaver_life_great_eagle	Great Eagle	true
units_custom_battle_mounts_localised_description_wh2_mixu_wef_cha_spellweaver_lifewh2_mixu_wef_cha_spellweaver_life_great_eagle	Fly on your wings, like an eagle. Touch the sun. Track the foe, ambush, and defeat.	true
units_custom_battle_mounts_mount_name_wh2_mixu_wef_cha_spellweaver_shadowswh2_mixu_wef_cha_spellweaver_shadows_elven_steed	Elven Steed	true
units_custom_battle_mounts_localised_description_wh2_mixu_wef_cha_spellweaver_shadowswh2_mixu_wef_cha_spellweaver_shadows_elven_steed	The bond between rider and steed goes beyond friendship or family; they act as one.	true
units_custom_battle_mounts_mount_name_wh2_mixu_wef_cha_spellweaver_shadowswh2_mixu_wef_cha_spellweaver_shadows_unicorn	Unicorn	true
units_custom_battle_mounts_localised_description_wh2_mixu_wef_cha_spellweaver_shadowswh2_mixu_wef_cha_spellweaver_shadows_unicorn	Its forehead adorned with a spiral horn, this noble mount carries the Spellsinger where their magical gifts are needed most.	true
units_custom_battle_mounts_mount_name_wh2_mixu_wef_cha_spellweaver_shadowswh2_mixu_wef_cha_spellweaver_shadows_great_eagle	Great Eagle	true
units_custom_battle_mounts_localised_description_wh2_mixu_wef_cha_spellweaver_shadowswh2_mixu_wef_cha_spellweaver_shadows_great_eagle	Fly on your wings, like an eagle. Touch the sun. Track the foe, ambush, and defeat.	true
units_custom_battle_mounts_mount_name_wh2_mixu_emp_cha_wizard_lord_beastswh2_mixu_emp_cha_wizard_lord_beasts_warhorse	Warhorse	true
units_custom_battle_mounts_localised_description_wh2_mixu_emp_cha_wizard_lord_beastswh2_mixu_emp_cha_wizard_lord_beasts_warhorse	Should a Battle Wizard need a mount, then his station would ensure he receives a warhorse of good breed.	true
units_custom_battle_mounts_mount_name_wh2_mixu_emp_cha_wizard_lord_lightwh2_mixu_emp_cha_wizard_lord_light_warhorse	Warhorse	true
units_custom_battle_mounts_localised_description_wh2_mixu_emp_cha_wizard_lord_lightwh2_mixu_emp_cha_wizard_lord_light_warhorse	Should a Battle Wizard need a mount, then his station would ensure he receives a warhorse of good breed.	true
units_custom_battle_mounts_mount_name_wh2_mixu_emp_cha_wizard_lord_beastswh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse	Barded Warhorse	true
units_custom_battle_mounts_localised_description_wh2_mixu_emp_cha_wizard_lord_beastswh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse	Battle Wizards are rarely armoured for it interferes with their casting, yet a steed can and should be barded to add a level of protection.	true
units_custom_battle_mounts_mount_name_wh2_mixu_emp_cha_wizard_lord_lightwh2_mixu_emp_cha_wizard_lord_light_barded_warhorse	Barded Warhorse	true
units_custom_battle_mounts_localised_description_wh2_mixu_emp_cha_wizard_lord_lightwh2_mixu_emp_cha_wizard_lord_light_barded_warhorse	Battle Wizards are rarely armoured for it interferes with their casting, yet a steed can and should be barded to add a level of protection.	true
units_custom_battle_mounts_mount_name_wh2_mixu_emp_cha_wizard_lord_beastswh2_mixu_emp_cha_wizard_lord_beasts_pegasus	Imperial Pegasus	true
