ancillaries_included_agent_subtypes_tables	0
agent_subtype	ancillary
emp_wizard_death	wh_main_anc_mount_emp_cha_wizard_death_warhorse
emp_wizard_death	wh_main_anc_mount_emp_cha_wizard_death_pegasus
emp_wizard_death	wh_main_anc_mount_emp_cha_wizard_death_barded_warhorse
emp_wizard_metal	wh_main_anc_mount_emp_cha_wizard_metal_warhorse
emp_wizard_metal	wh_main_anc_mount_emp_cha_wizard_metal_pegasus
emp_wizard_metal	wh_main_anc_mount_emp_cha_wizard_metal_barded_warhorse
wef_spellweaver_beasts	wh_main_anc_mount_wef_spellweaver_elven_steed
wef_spellweaver_beasts	wh_main_anc_mount_wef_spellweaver_unicorn
wef_spellweaver_beasts	wh_main_anc_mount_wef_spellweaver_great_eagle
wef_spellweaver_life	wh_main_anc_mount_wef_spellweaver_elven_steed
wef_spellweaver_life	wh_main_anc_mount_wef_spellweaver_unicorn
wef_spellweaver_life	wh_main_anc_mount_wef_spellweaver_great_eagle
wef_spellweaver_shadows	wh_main_anc_mount_wef_spellweaver_elven_steed
wef_spellweaver_shadows	wh_main_anc_mount_wef_spellweaver_unicorn
wef_spellweaver_shadows	wh_main_anc_mount_wef_spellweaver_great_eagle
emp_wizard_lord_beasts	wh_main_anc_mount_emp_cha_wizard_lord_beasts_warhorse
emp_wizard_lord_beasts	wh_main_anc_mount_emp_cha_wizard_lord_beasts_barded_warhorse
emp_wizard_lord_beasts	wh_main_anc_mount_emp_cha_wizard_lord_beasts_griffon
emp_wizard_lord_beasts	wh_main_anc_mount_emp_cha_wizard_lord_beasts_pegasus
emp_wizard_lord_light	wh_main_anc_mount_emp_cha_wizard_lord_light_warhorse
emp_wizard_lord_light	wh_main_anc_mount_emp_cha_wizard_lord_light_pegasus
emp_wizard_lord_light	wh_main_anc_mount_emp_cha_wizard_lord_light_barded_warhorse
emp_wizard_lord_light	wh_main_anc_mount_emp_cha_wizard_lord_light_luminark
emp_wizard_lord_fire	wh_main_anc_mount_emp_cha_wizard_lord_light_warhorse
emp_wizard_lord_fire	wh_main_anc_mount_emp_cha_wizard_lord_light_pegasus
emp_wizard_lord_fire	wh_main_anc_mount_emp_cha_wizard_lord_light_barded_warhorse
grn_savage_orc_warboss	wh_main_anc_mount_grn_savage_orc_warboss_wyvern
grn_savage_orc_warboss	wh_main_anc_mount_grn_savage_orc_warboss_boar
grn_savage_orc_shaman	wh_main_anc_mount_grn_savage_orc_shaman_wyvern
grn_savage_orc_shaman	wh_main_anc_mount_grn_savage_orc_shaman_boar
grn_orc_great_shaman	wh_main_anc_mount_grn_orc_great_shaman_boar
grn_orc_great_shaman	wh_main_anc_mount_grn_orc_great_shaman_wyvern
dwf_giant_slayer	wh_main_anc_dwf_slayer_special_daemon_slayer
dwf_giant_slayer	wh_main_anc_dwf_slayer_special_giant_slayer
dwf_giant_slayer	wh_main_anc_dwf_slayer_special_dragon_slayer
bst_doombull	wh_main_anc_bst_doombull_weapon_choice_shield
bst_doombull	wh_main_anc_bst_doombull_weapon_choice_dual_wield
wef_darkweaver	wh_main_anc_mount_wef_darkweaver_elven_steed
wef_darkweaver	wh_main_anc_mount_wef_darkweaver_unicorn
wef_darkweaver	wh_main_anc_mount_wef_darkweaver_great_eagle
wef_highweaver	wh_main_anc_mount_wef_highweaver_elven_steed
wef_highweaver	wh_main_anc_mount_wef_highweaver_unicorn
wef_highweaver	wh_main_anc_mount_wef_highweaver_great_eagle
wef_spellweaver	wh_main_anc_mount_wef_spellweaver_elven_steed
wef_spellweaver	wh_main_anc_mount_wef_spellweaver_unicorn
wef_spellweaver	wh_main_anc_mount_wef_spellweaver_great_eagle
nor_shaman_sorcerer_lord_death	wh_main_anc_mount_nor_shaman_sorcerer_lord_death_norscan_warhorse
nor_shaman_sorcerer_lord_death	wh_main_anc_mount_nor_shaman_sorcerer_lord_death_marauder_chariot
nor_shaman_sorcerer_lord_death	wh_main_anc_mount_nor_shaman_sorcerer_lord_death_manticore
nor_shaman_sorcerer_lord_death	wh_main_anc_mount_nor_shaman_sorcerer_lord_death_mammoth_warshrine
nor_shaman_sorcerer_lord_fire	wh_main_anc_mount_nor_shaman_sorcerer_lord_fire_norscan_warhorse
nor_shaman_sorcerer_lord_fire	wh_main_anc_mount_nor_shaman_sorcerer_lord_fire_marauder_chariot
nor_shaman_sorcerer_lord_fire	wh_main_anc_mount_nor_shaman_sorcerer_lord_fire_manticore
nor_shaman_sorcerer_lord_fire	wh_main_anc_mount_nor_shaman_sorcerer_lord_fire_mammoth_warshrine
nor_shaman_sorcerer_lord_metal	wh_main_anc_mount_nor_shaman_sorcerer_lord_metal_norscan_warhorse
nor_shaman_sorcerer_lord_metal	wh_main_anc_mount_nor_shaman_sorcerer_lord_metal_marauder_chariot
nor_shaman_sorcerer_lord_metal	wh_main_anc_mount_nor_shaman_sorcerer_lord_metal_manticore
nor_shaman_sorcerer_lord_metal	wh_main_anc_mount_nor_shaman_sorcerer_lord_metal_mammoth_warshrine
emp_wizard_lord_shadow	wh_main_anc_mount_emp_cha_wizard_lord_shadow_warhorse
emp_wizard_lord_shadow	wh_main_anc_mount_emp_cha_wizard_lord_shadow_barded_warhorse
emp_wizard_lord_shadow	wh_main_anc_mount_emp_cha_wizard_lord_shadow_pegasus
emp_wizard_lord_heavens	wh_main_anc_mount_emp_cha_wizard_lord_heavens_warhorse
emp_wizard_lord_heavens	wh_main_anc_mount_emp_cha_wizard_lord_heavens_barded_warhorse
emp_wizard_lord_heavens	wh_main_anc_mount_emp_cha_wizard_lord_heavens_pegasus
