battle_personalities_tables	7
key	man_animations_table	type	missile_type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
wh_main_emp_wizard_lord_light_rider_0	hu1_wm_luminark_of_hysh_staff_and_crystal_ball	autonomous_rider		emp_wizard_light_luminark_1	wh_main_infantry_rider	ap_crewposition_0	wh_main_emp_cha_luminark_acolyte_rider	true
wh_main_emp_wizard_lord_light_rider_1	hu1_wm_luminark_of_hysh_scroll_and_candle	autonomous_rider		wh_emp_acolyte	wh_main_infantry_rider	ap_crewposition_1		false
wh2_mixu_grn_cha_savage_orc_warboss	hu2_orc_bi2_wyvern_wb_sword_and_shield	autonomous_rider		grn_savage_orc_warboss_1	wh_main_infantry_standard_large_hero_blood_dismembers			true
wh2_mixu_grn_cha_savage_orc_shaman	hu2_orc_bi2_wyvern_wb_sword_and_shield	autonomous_rider		grn_savage_orc_shaman_1	wh_main_infantry_standard_large_hero_blood_dismembers			true
wh2_mixu_vmp_cha_vampire_countess_banshee1	gh1_banshee_mortisengine	autonomous_rider		wh_vmp_ch_banshee	wh_main_infantry_rider	ap_banshee_0		false
wh2_mixu_vmp_cha_vampire_countess_banshee2	gh1_banshee_mortisengine	autonomous_rider		wh_vmp_ch_banshee	wh_main_infantry_rider	ap_banshee_1		false
wh2_mixu_vmp_cha_vampire_countess_banshee3	gh1_banshee_mortisengine	autonomous_rider		wh_vmp_ch_banshee	wh_main_infantry_rider	ap_banshee_2		false
wh2_mixu_vmp_cha_vampire_countess_cairn_wraith1	gh1_cairn_wraith	autonomous_rider		wh_vmp_ghost_cairnwraith_mortis	wh_main_infantry_rider	ap_cairn_wraith_0		false
wh2_mixu_vmp_cha_vampire_countess_cairn_wraith2	gh1_cairn_wraith	autonomous_rider		wh_vmp_ghost_cairnwraith_mortis	wh_main_infantry_rider	ap_cairn_wraith_1		false
wh2_mixu_vmp_cha_vampire_countess_horse1	hr1_vmp_skeletal_steed_mortisengine	autonomous_rider		wh_vmp_barded_skeletal_steed_mortis	wh_main_infantry_rider	ap_draughtposition_0		false
wh2_mixu_vmp_cha_vampire_countess_horse2	hr1_vmp_skeletal_steed_mortisengine	autonomous_rider		wh_vmp_barded_skeletal_steed_mortis	wh_main_infantry_rider	ap_draughtposition_1		false
wh2_mixu_vmp_cha_vampire_countess_horse3	hr1_vmp_skeletal_steed_mortisengine	autonomous_rider		wh_vmp_barded_skeletal_steed_mortis	wh_main_infantry_rider	ap_draughtposition_2		false
wh2_mixu_vmp_cha_vampire_countess_knight01	hu1_skeleton_hr1_skeletal_steed_mortis_engine	autonomous_rider		vmp_coven_throne_hexwraith	wh_main_infantry_rider	ap_riderposition_0		false
wh2_mixu_vmp_cha_vampire_countess_knight02	hu1_skeleton_hr1_skeletal_steed_mortis_engine	autonomous_rider		vmp_coven_throne_hexwraith	wh_main_infantry_rider	ap_riderposition_1		false
wh2_mixu_vmp_cha_vampire_countess_knight03	hu1_skeleton_hr1_skeletal_steed_mortis_engine	autonomous_rider		vmp_coven_throne_hexwraith	wh_main_infantry_rider	ap_riderposition_2		false
wh2_mixu_vmp_cha_vampire_countess_rider1	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	autonomous_rider		wh_vmp_ch_vampire_female	wh_main_infantry_rider	ap_crewposition_0		true
wh2_mixu_vmp_cha_vampire_countess_skeleton1	hu1_sk_mortisengine_left_00	autonomous_rider		vmp_coven_throne_grave_guard	wh_main_infantry_rider	ap_skeleton_0		false
wh2_mixu_vmp_cha_vampire_countess_skeleton2	hu1_sk_mortisengine_left_01	autonomous_rider		vmp_coven_throne_grave_guard	wh_main_infantry_rider	ap_skeleton_1		false
wh2_mixu_vmp_cha_vampire_countess_skeleton3	hu1_sk_mortisengine_left_02	autonomous_rider		vmp_coven_throne_grave_guard	wh_main_infantry_rider	ap_skeleton_2		false
wh2_mixu_vmp_cha_vampire_countess_skeleton4	hu1_sk_mortisengine_right_00	autonomous_rider		vmp_coven_throne_grave_guard	wh_main_infantry_rider	ap_skeleton_3		false
wh2_mixu_vmp_cha_vampire_countess_skeleton5	hu1_sk_mortisengine_right_01	autonomous_rider		vmp_coven_throne_grave_guard	wh_main_infantry_rider	ap_skeleton_4		false
wh2_mixu_vmp_cha_vampire_countess_skeleton6	hu1_sk_mortisengine_right_02	autonomous_rider		vmp_coven_throne_grave_guard	wh_main_infantry_rider	ap_skeleton_5		false
wh2_mixu_nor_cha_fimir_warlord	hu7d_fimir_ror_dual_axes	autonomous_rider		dummy_variant	wh_dlc08_nor_monster_fimir_blood			false
wh2_mixu_nor_cha_shaman_sorcerer_lord_death	hu1_empire_bc2_griffon_wb_staff_and_sword	autonomous_rider		nor_shaman_sorcerer_lord_1	wh_main_infantry_standard_large_hero_blood_dismembers			true
wh2_mixu_nor_cha_shaman_sorcerer_lord_warshrine	hu1_empire_staff_and_sword	autonomous_rider		nor_shaman_sorcerer_lord_1	wh_main_infantry_standard_large_hero_blood_dismembers	ap_warshrinecrew_0		true
