campaign_character_uniform_ancillary_junctions_tables	0
ancillary	art_set	uniform
wh_main_anc_mount_emp_cha_wizard_lord_light_luminark	wh2_main_art_set_emp_wizard_lord_light_1	wh2_uniform_emp_wizard_light_luminark_1
wh_main_anc_mount_emp_cha_wizard_lord_light_luminark	wh2_main_art_set_emp_wizard_lord_light_2	wh2_uniform_emp_wizard_light_luminark_2
wh_main_anc_mount_emp_cha_wizard_lord_light_luminark	wh2_main_art_set_emp_wizard_lord_light_3	wh2_uniform_emp_wizard_light_luminark_3
wh_main_anc_bst_doombull_weapon_choice_shield	wh2_main_art_set_bst_doombull_1	wh2_uniform_bst_doombull_shield_1
wh_main_anc_bst_doombull_weapon_choice_dual_wield	wh2_main_art_set_bst_doombull_1	wh2_uniform_bst_doombull_dual_wield_1
wh_main_anc_bst_doombull_weapon_choice_shield	wh2_main_art_set_bst_doombull_2	wh2_uniform_bst_doombull_shield_2
wh_main_anc_bst_doombull_weapon_choice_dual_wield	wh2_main_art_set_bst_doombull_2	wh2_uniform_bst_doombull_dual_wield_2
wh_main_anc_bst_doombull_weapon_choice_shield	wh2_main_art_set_bst_doombull_3	wh2_uniform_bst_doombull_shield_3
wh_main_anc_bst_doombull_weapon_choice_dual_wield	wh2_main_art_set_bst_doombull_3	wh2_uniform_bst_doombull_dual_wield_3
