campaign_map_attrition_unit_immunities_tables	0
attrition	unit
non_vampire_territory	wh2_mixu_emp_cha_wizard_death
non_vampire_territory	wh2_mixu_emp_cha_wizard_metal_warhorse
non_vampire_territory	wh2_mixu_emp_cha_wizard_death_warhorse
non_vampire_territory	wh2_mixu_emp_cha_wizard_metal_pegasus
non_vampire_territory	wh2_mixu_emp_cha_wizard_death_pegasus
non_vampire_territory	wh2_mixu_emp_cha_wizard_metal_barded_warhorse
non_vampire_territory	wh2_mixu_emp_cha_wizard_death_barded_warhorse
non_vampire_territory	wh2_mixu_emp_cha_wizard_metal
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_beasts
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_beasts_unicorn
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_life
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_life_elven_steed
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_life_great_eagle
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_life_unicorn
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_shadows
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle
non_vampire_territory	wh2_mixu_wef_cha_spellweaver_shadows_unicorn
athel_loren	wh2_mixu_wef_cha_spellweaver_beasts
athel_loren	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed
athel_loren	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle
athel_loren	wh2_mixu_wef_cha_spellweaver_beasts_unicorn
athel_loren	wh2_mixu_wef_cha_spellweaver_life
athel_loren	wh2_mixu_wef_cha_spellweaver_life_elven_steed
athel_loren	wh2_mixu_wef_cha_spellweaver_life_great_eagle
athel_loren	wh2_mixu_wef_cha_spellweaver_life_unicorn
athel_loren	wh2_mixu_wef_cha_spellweaver_shadows
athel_loren	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed
athel_loren	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle
athel_loren	wh2_mixu_wef_cha_spellweaver_shadows_unicorn
non_vampire_territory	wh2_mixu_wef_cha_shadowdancer
athel_loren	wh2_mixu_wef_cha_shadowdancer
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_beasts
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_beasts_warhorse
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_beasts_griffon
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_light
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_light_warhorse
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_light_pegasus
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_light_barded_warhorse
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_light_luminark
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_fire
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_fire_warhorse
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_fire_pegasus
non_vampire_territory	wh2_mixu_emp_cha_wizard_lord_fire_barded_warhorse
non_vampire_territory	wh2_mixu_grn_cha_savage_orc_warboss
non_vampire_territory	wh2_mixu_grn_cha_savage_orc_warboss_wyvern
non_vampire_territory	wh2_mixu_grn_cha_savage_orc_warboss_boar
desert	wh2_mixu_grn_cha_savage_orc_warboss
desert	wh2_mixu_grn_cha_savage_orc_warboss_wyvern
desert	wh2_mixu_grn_cha_savage_orc_warboss_boar
wasteland	wh2_mixu_grn_cha_savage_orc_warboss
wasteland	wh2_mixu_grn_cha_savage_orc_warboss_wyvern
wasteland	wh2_mixu_grn_cha_savage_orc_warboss_boar
chaos_territory	wh2_mixu_bst_cha_doombull
horde_infighting	wh2_mixu_bst_cha_doombull
non_vampire_territory	wh2_mixu_bst_cha_doombull
swamp	wh2_mixu_bst_cha_doombull
chaos_territory	wh2_mixu_bst_cha_doombull_shield
horde_infighting	wh2_mixu_bst_cha_doombull_shield
non_vampire_territory	wh2_mixu_bst_cha_doombull_shield
swamp	wh2_mixu_bst_cha_doombull_shield
chaos_territory	wh2_mixu_bst_cha_doombull_dual_wield
horde_infighting	wh2_mixu_bst_cha_doombull_dual_wield
non_vampire_territory	wh2_mixu_bst_cha_doombull_dual_wield
swamp	wh2_mixu_bst_cha_doombull_dual_wield
mountain	wh2_mixu_dwf_cha_giant_slayer
non_vampire_territory	wh2_mixu_dwf_cha_giant_slayer
snow	wh2_mixu_dwf_cha_giant_slayer
non_vampire_territory	wh2_mixu_wef_cha_darkweaver
athel_loren	wh2_mixu_wef_cha_darkweaver
non_vampire_territory	wh2_mixu_wef_cha_darkweaver_elven_steed
athel_loren	wh2_mixu_wef_cha_darkweaver_elven_steed
non_vampire_territory	wh2_mixu_wef_cha_darkweaver_great_eagle
athel_loren	wh2_mixu_wef_cha_darkweaver_great_eagle
non_vampire_territory	wh2_mixu_wef_cha_darkweaver_unicorn
athel_loren	wh2_mixu_wef_cha_darkweaver_unicorn
non_vampire_territory	wh2_mixu_wef_cha_highweaver
athel_loren	wh2_mixu_wef_cha_highweaver
non_vampire_territory	wh2_mixu_wef_cha_highweaver_elven_steed
athel_loren	wh2_mixu_wef_cha_highweaver_elven_steed
non_vampire_territory	wh2_mixu_wef_cha_highweaver_great_eagle
athel_loren	wh2_mixu_wef_cha_highweaver_great_eagle
non_vampire_territory	wh2_mixu_wef_cha_highweaver_unicorn
athel_loren	wh2_mixu_wef_cha_highweaver_unicorn
chaos_territory	wh2_mixu_chs_cha_shaggoth_champion
horde_infighting	wh2_mixu_chs_cha_shaggoth_champion
mountain	wh2_mixu_chs_cha_shaggoth_champion
non_vampire_territory	wh2_mixu_chs_cha_shaggoth_champion
snow	wh2_mixu_chs_cha_shaggoth_champion
non_vampire_territory	wh2_mixu_grn_cha_savage_orc_shaman
non_vampire_territory	wh2_mixu_grn_cha_savage_orc_shaman_boar
non_vampire_territory	wh2_mixu_grn_cha_savage_orc_shaman_wyvern
non_vampire_territory	wh2_mixu_grn_cha_orc_great_shaman
non_vampire_territory	wh2_mixu_grn_cha_orc_great_shaman_boar
non_vampire_territory	wh2_mixu_grn_cha_orc_great_shaman_wyvern
desert	wh2_mixu_grn_cha_savage_orc_shaman
desert	wh2_mixu_grn_cha_savage_orc_shaman_boar
desert	wh2_mixu_grn_cha_savage_orc_shaman_wyvern
desert	wh2_mixu_grn_cha_orc_great_shaman
desert	wh2_mixu_grn_cha_orc_great_shaman_boar
desert	wh2_mixu_grn_cha_orc_great_shaman_wyvern
wasteland	wh2_mixu_grn_cha_savage_orc_shaman
wasteland	wh2_mixu_grn_cha_savage_orc_shaman_boar
wasteland	wh2_mixu_grn_cha_savage_orc_shaman_wyvern
wasteland	wh2_mixu_grn_cha_orc_great_shaman
wasteland	wh2_mixu_grn_cha_orc_great_shaman_boar
wasteland	wh2_mixu_grn_cha_orc_great_shaman_wyvern
chaos_territory	wh2_mixu_nor_cha_fimir_warlord
disease	wh2_mixu_nor_cha_fimir_warlord
mountain	wh2_mixu_nor_cha_fimir_warlord
non_vampire_territory	wh2_mixu_nor_cha_fimir_warlord
nurgle_plague	wh2_mixu_nor_cha_fimir_warlord
snow	wh2_mixu_nor_cha_fimir_warlord
swamp	wh2_mixu_nor_cha_fimir_warlord
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_death
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warhorse
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warhorse
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_chariot
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warhorse
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_chariot
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
snow	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_death
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warhorse
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warhorse
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_chariot
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warhorse
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_chariot
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
nurgle_plague	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_death
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warhorse
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warhorse
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_chariot
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warhorse
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_chariot
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
non_vampire_territory	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_death
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warhorse
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warhorse
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_chariot
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_manticore
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warshrine
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warhorse
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_chariot
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_manticore
mountain	wh2_mixu_nor_cha_shaman_sorcerer_lord_metal_warshrine
disease	wh2_mixu_nor_cha_shaman_sorcerer_lord_death
disease	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warhorse
disease	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_chariot
disease	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_manticore
disease	wh2_mixu_nor_cha_shaman_sorcerer_lord_death_warshrine
disease	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire
disease	wh2_mixu_nor_cha_shaman_sorcerer_lord_fire_warhorse
