character_skill_level_to_effects_junctions_tables	1
character_skill_key	effect_key	effect_scope	level	value
wh2_skill_vmp_necrarch_the_awakening	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_skill_vmp_necrarch_the_awakening	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_skill_vmp_necrarch_the_awakening	wh2_main_effect_magic_mod_amount_of_uses_raise_dead_helman	character_to_character_own	1	1
wh2_skill_vmp_necrarch_dark_acolyte	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_skill_vmp_necrarch_dark_acolyte	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_skill_vmp_necrarch_dark_acolyte	wh_main_effect_character_stat_mod_personal_aura_size	character_to_character_own	1	30
wh2_skill_vmp_necrarch_dark_acolyte	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	character_to_force_own_unseen	1	15
wh2_skill_vmp_necrarch_unholy_cynosure	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_skill_vmp_necrarch_unholy_cynosure	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_skill_vmp_necrarch_unholy_cynosure	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	1	-30
wh2_skill_vmp_necrarch_unholy_cynosure	wh_main_effect_military_force_winds_of_magic_depletion_mod_character_enemy	general_to_force_enemy_regionwide	1	-5
wh2_skill_vmp_necrarch_master_of_the_black_arts	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_skill_vmp_necrarch_master_of_the_black_arts	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_skill_vmp_necrarch_master_of_the_black_arts	wh2_main_effect_ability_enable_regeneration	character_to_character_own	1	1
wh2_skill_vmp_necrarch_master_of_the_black_arts	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	1	30
wh2_skill_vmp_necrarch_forbidden_lore	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_skill_vmp_necrarch_forbidden_lore	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_skill_vmp_necrarch_forbidden_lore	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	1	10
wh2_skill_vmp_necrarch_forbidden_lore	wh_effect_cooldown_spell_lore_of_necrarch	character_to_character_own	1	-25
wh2_skill_vmp_necrarch_lord_of_the_scourge	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_skill_vmp_necrarch_lord_of_the_scourge	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_skill_vmp_necrarch_lord_of_the_scourge	wh_main_effect_force_army_campaign_attrition_all_resistance	general_to_force_own	1	-25
wh2_skill_vmp_necrarch_lord_of_the_scourge	wh_main_effect_force_unit_stat_morale	general_to_force_own	1	5
wh2_skill_vmp_necrarch_thrall_master	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_skill_vmp_necrarch_thrall_master	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_skill_vmp_necrarch_thrall_master	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	1	-15
wh2_skill_vmp_necrarch_thrall_master	wh_main_effect_raise_dead_recruitment_cost_mod	character_to_character_own	1	-25
wh2_skill_vmp_necrarch_nehekharas_noble_blood	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_skill_vmp_necrarch_nehekharas_noble_blood	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_skill_vmp_necrarch_nehekharas_noble_blood	wh_main_effect_force_all_campaign_experience_base_all	character_to_character_own	1	4
wh2_skill_vmp_necrarch_lord_of_the_scourge	wh_main_effect_religion_conversion_undeath	character_to_character_own_provincetext	1	2
wh2_skill_vmp_necrarch_battle_evocation_of_death	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_skill_vmp_necrarch_battle_evocation_of_death	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_skill_vmp_necrarch_battle_evocation_of_death	wh2_main_effect_vmp_chariots_rank7_melee_defence	general_to_force_own	1	5
wh2_skill_vmp_necrarch_battle_evocation_of_death	wh2_main_effect_vmp_chariots_rank7_charge_bonus	general_to_force_own	1	10
wh2_skill_vmp_necrarch_battle_evocation_of_death	wh2_main_effect_vmp_chariots_rank7_speed	general_to_force_own	1	10
wh2_skill_vmp_necrarch_battle_evocation_of_death	wh2_main_effect_vmp_chariots_rank7_magic_resistance	general_to_force_own	1	15
wh2_skill_vmp_necrarch_battle_slavering_charge	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_skill_vmp_necrarch_battle_slavering_charge	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_skill_vmp_necrarch_battle_slavering_charge	wh2_main_effect_vmp_cavalry_dogs_rank7_missile_resistance	general_to_force_own	1	15
wh2_skill_vmp_necrarch_battle_slavering_charge	wh2_main_effect_vmp_cavalry_dogs_rank7_armour	general_to_force_own	1	10
