character_skill_node_links_tables	3
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
wh_main_skill_node_chs_shaggoth_champion_campaign_02	0	wh_main_skill_node_chs_shaggoth_champion_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_03	0	wh_main_skill_node_chs_shaggoth_champion_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_04	0	wh_main_skill_node_chs_shaggoth_champion_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_05	0	wh_main_skill_node_chs_shaggoth_champion_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_06	0	wh_main_skill_node_chs_shaggoth_champion_campaign_02	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_06	0	wh_main_skill_node_chs_shaggoth_champion_campaign_03	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_06	0	wh_main_skill_node_chs_shaggoth_champion_campaign_04	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_06	0	wh_main_skill_node_chs_shaggoth_champion_campaign_05	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_07	0	wh_main_skill_node_chs_shaggoth_champion_campaign_06	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_08	0	wh_main_skill_node_chs_shaggoth_champion_campaign_06	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_09	0	wh_main_skill_node_chs_shaggoth_champion_campaign_06	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_10	0	wh_main_skill_node_chs_shaggoth_champion_campaign_06	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_11	0	wh_main_skill_node_chs_shaggoth_champion_campaign_07	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_11	0	wh_main_skill_node_chs_shaggoth_champion_campaign_08	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_11	0	wh_main_skill_node_chs_shaggoth_champion_campaign_09	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_campaign_11	0	wh_main_skill_node_chs_shaggoth_champion_campaign_10	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_02	0	wh_main_skill_node_chs_shaggoth_champion_self_01	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_03	0	wh_main_skill_node_chs_shaggoth_champion_self_01	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_04	0	wh_main_skill_node_chs_shaggoth_champion_self_01	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_05	0	wh_main_skill_node_chs_shaggoth_champion_self_01	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_06	0	wh_main_skill_node_chs_shaggoth_champion_self_02	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_06	0	wh_main_skill_node_chs_shaggoth_champion_self_03	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_06	0	wh_main_skill_node_chs_shaggoth_champion_self_04	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_06	0	wh_main_skill_node_chs_shaggoth_champion_self_05	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_07	0	wh_main_skill_node_chs_shaggoth_champion_self_06	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_08	0	wh_main_skill_node_chs_shaggoth_champion_self_06	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_09	0	wh_main_skill_node_chs_shaggoth_champion_self_06	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_10	0	wh_main_skill_node_chs_shaggoth_champion_self_06	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_11	0	wh_main_skill_node_chs_shaggoth_champion_self_07	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_11	0	wh_main_skill_node_chs_shaggoth_champion_self_08	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_11	0	wh_main_skill_node_chs_shaggoth_champion_self_09	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_self_11	0	wh_main_skill_node_chs_shaggoth_champion_self_10	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_army_1_1	0	wh_main_skill_node_chs_shaggoth_champion_army_0	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_army_1_2	0	wh_main_skill_node_chs_shaggoth_champion_army_0	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_army_1_3	0	wh_main_skill_node_chs_shaggoth_champion_army_0	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_army_1_4	0	wh_main_skill_node_chs_shaggoth_champion_army_0	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_army_1_5	0	wh_main_skill_node_chs_shaggoth_champion_army_0	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_army_1_6	0	wh_main_skill_node_chs_shaggoth_champion_army_0	1	1	0	0	REQUIRED
wh_main_skill_node_chs_shaggoth_champion_army_2	0	wh_main_skill_node_chs_shaggoth_champion_army_1_1	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_army_2	0	wh_main_skill_node_chs_shaggoth_champion_army_1_2	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_army_2	0	wh_main_skill_node_chs_shaggoth_champion_army_1_3	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_chs_shaggoth_champion_army_2	0	wh_main_skill_node_chs_shaggoth_champion_army_1_4	1	1	0	0	SUBSET_REQUIRED
