character_skill_node_links_tables	3
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
wh_main_skill_node_emp_wizard_lord_beasts_magic_02	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_01	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_03	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_01	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_04	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_01	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_05	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_01	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_06	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_02	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_06	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_03	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_06	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_04	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_06	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_05	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_07	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_06	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_08	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_06	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_09	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_06	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_10	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_06	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_11	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_07	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_11	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_08	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_11	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_09	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_magic_11	0	wh_main_skill_node_emp_wizard_lord_beasts_magic_10	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_campaign_02	0	wh_main_skill_node_emp_wizard_lord_beasts_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_campaign_03	0	wh_main_skill_node_emp_wizard_lord_beasts_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_campaign_04	0	wh_main_skill_node_emp_wizard_lord_beasts_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_campaign_05	0	wh_main_skill_node_emp_wizard_lord_beasts_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_emp_wizard_lord_beasts_campaign_06	0	wh_main_skill_node_emp_wizard_lord_beasts_campaign_02	1	1	0	0	SUBSET_REQUIRED
