character_skill_node_links_tables	3
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
wh_main_skill_node_wef_shadowdancer_melee_battle_02	0	wh_main_skill_node_wef_shadowdancer_melee_battle_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_02	0	wh_main_skill_node_wef_shadowdancer_self_melee_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_03	0	wh_main_skill_node_wef_shadowdancer_self_melee_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_04	0	wh_main_skill_node_wef_shadowdancer_self_melee_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_05	0	wh_main_skill_node_wef_shadowdancer_self_melee_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_06	0	wh_main_skill_node_wef_shadowdancer_self_melee_02	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_06	0	wh_main_skill_node_wef_shadowdancer_self_melee_03	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_06	0	wh_main_skill_node_wef_shadowdancer_self_melee_04	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_06	0	wh_main_skill_node_wef_shadowdancer_self_melee_05	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_02	0	wh_main_skill_node_wef_shadowdancer_magic_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_03	0	wh_main_skill_node_wef_shadowdancer_magic_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_04	0	wh_main_skill_node_wef_shadowdancer_magic_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_05	0	wh_main_skill_node_wef_shadowdancer_magic_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_07	0	wh_main_skill_node_wef_shadowdancer_magic_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_08	0	wh_main_skill_node_wef_shadowdancer_magic_06	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_08	0	wh_main_skill_node_wef_shadowdancer_magic_07	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_08	0	wh_main_skill_node_wef_shadowdancer_magic_02	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_08	0	wh_main_skill_node_wef_shadowdancer_magic_03	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_08	0	wh_main_skill_node_wef_shadowdancer_magic_04	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_08	0	wh_main_skill_node_wef_shadowdancer_magic_05	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_magic_06	0	wh_main_skill_node_wef_shadowdancer_magic_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_07	0	wh_main_skill_node_wef_shadowdancer_self_melee_06	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_08	0	wh_main_skill_node_wef_shadowdancer_self_melee_06	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_09	0	wh_main_skill_node_wef_shadowdancer_self_melee_06	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_10	0	wh_main_skill_node_wef_shadowdancer_self_melee_06	1	1	0	0	REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_11	0	wh_main_skill_node_wef_shadowdancer_self_melee_07	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_11	0	wh_main_skill_node_wef_shadowdancer_self_melee_08	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_11	0	wh_main_skill_node_wef_shadowdancer_self_melee_09	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_shadowdancer_self_melee_11	0	wh_main_skill_node_wef_shadowdancer_self_melee_10	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_darkweaver_campaign_02	0	wh_main_skill_node_wef_darkweaver_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_darkweaver_campaign_03	0	wh_main_skill_node_wef_darkweaver_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_darkweaver_campaign_04	0	wh_main_skill_node_wef_darkweaver_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_darkweaver_campaign_05	0	wh_main_skill_node_wef_darkweaver_campaign_01	1	1	0	0	REQUIRED
wh_main_skill_node_wef_darkweaver_campaign_06	0	wh_main_skill_node_wef_darkweaver_campaign_02	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_darkweaver_campaign_06	0	wh_main_skill_node_wef_darkweaver_campaign_03	1	1	0	0	SUBSET_REQUIRED
wh_main_skill_node_wef_darkweaver_campaign_06	0	wh_main_skill_node_wef_darkweaver_campaign_04	1	1	0	0	SUBSET_REQUIRED
