character_skill_node_sets_tables	2
agent_key	campaign_key	faction_key	key	subculture	for_army	for_navy	agent_subtype_key
wizard			wh_main_skill_node_set_emp_wizard_death		false	false	emp_wizard_death
wizard			wh_main_skill_node_set_emp_wizard_metal		false	false	emp_wizard_metal
champion			wh_main_skill_node_set_wef_shadowdancer		false	false	wef_shadowdancer
general			wh_main_skill_node_set_emp_wizard_lord_beasts		false	false	emp_wizard_lord_beasts
general			wh_main_skill_node_set_emp_wizard_lord_light		false	false	emp_wizard_lord_light
general			wh_main_skill_node_set_emp_wizard_lord_fire		false	false	emp_wizard_lord_fire
general			wh_main_skill_node_set_grn_savage_orc_warboss		false	false	grn_savage_orc_warboss
general			wh_main_skill_node_set_grn_savage_orc_shaman		false	false	grn_savage_orc_shaman
general			wh_main_skill_node_set_grn_orc_great_shaman		false	false	grn_orc_great_shaman
champion			wh_main_skill_node_set_dwf_giant_slayer		false	false	dwf_giant_slayer
general			wh_main_skill_node_set_bst_doombull		false	false	bst_doombull
general			wh_main_skill_node_set_wef_darkweaver		false	false	wef_darkweaver
general			wh_main_skill_node_set_wef_highweaver		false	false	wef_highweaver
general			wh_main_skill_node_set_wef_spellweaver		false	false	wef_spellweaver
general			wh_main_skill_node_set_chs_shaggoth_champion		false	false	chs_shaggoth_champion
general			wh_main_skill_node_set_nor_fimir_warlord		false	false	nor_fimir_warlord
general			wh_main_skill_node_set_nor_shaman_sorcerer_lord_death		false	false	nor_shaman_sorcerer_lord_death
general			wh_main_skill_node_set_nor_shaman_sorcerer_lord_fire		false	false	nor_shaman_sorcerer_lord_fire
general			wh_main_skill_node_set_nor_shaman_sorcerer_lord_metal		false	false	nor_shaman_sorcerer_lord_metal
general			wh_main_skill_node_set_emp_wizard_lord_shadow		false	false	emp_wizard_lord_shadow
general			wh_main_skill_node_set_emp_wizard_lord_heavens		false	false	emp_wizard_lord_heavens
