character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh2_main_skill_all_immortality_lord	wh_main_skill_node_set_emp_wizard_lord_beasts		0	wh_main_skill_node_emp_wizard_lord_beasts_immortality	3		0	0	true
	wh_main_skill_mount_emp_cha_wizard_lord_beasts_warhorse	wh_main_skill_node_set_emp_wizard_lord_beasts		0	wh_main_skill_node_emp_wizard_lord_beasts_unique_01	0		0	0	true
	wh_main_skill_mount_emp_cha_wizard_lord_beasts_pegasus	wh_main_skill_node_set_emp_wizard_lord_beasts		0	wh_main_skill_node_emp_wizard_lord_beasts_unique_02	1		0	0	true
	wh_main_skill_mount_emp_cha_wizard_lord_beasts_griffon	wh_main_skill_node_set_emp_wizard_lord_beasts		0	wh_main_skill_node_emp_wizard_lord_beasts_unique_03	2		0	0	true
	wh_main_skill_emp_all_unique_sigmars_ward	wh_main_skill_node_set_emp_wizard_lord_beasts		0	wh_main_skill_node_emp_wizard_lord_beasts_unique_04	3		0	0	true
	wh_dlc03_skill_magic_beasts_wyssans_wildform	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_01	0		0	0	true
	wh_dlc03_skill_magic_beasts_wild_heart_lord	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_02	1		0	0	true
	wh2_main_skill_magic_beasts_flock_of_doom_lord	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_03	2		0	0	true
	wh2_main_skill_magic_beasts_panns_impenetrable_pelt_lord	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_04	3		0	0	true
	wh2_main_skill_magic_beasts_the_amber_spear_lord	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_05	4		0	0	true
	wh_main_skill_all_magic_all_06_evasion	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_06	5		0	4	true
	wh_main_skill_all_magic_all_07_earthing	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_07	8		0	0	true
	wh_main_skill_all_magic_all_08_power_drain	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_08	9		0	0	true
	wh2_main_skill_magic_beasts_the_curse_of_anraheir_lord	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_09	6		0	0	true
	wh2_main_skill_magic_beasts_transformation_of_kadon_lord	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_10	7		0	0	true
	wh_main_skill_all_magic_all_11_arcane_conduit	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_11	10		0	4	true
	wh2_main_skill_magic_beasts_dummy_wyssans_wildform_flock_of_doom	wh_main_skill_node_set_emp_wizard_lord_beasts		1	wh_main_skill_node_emp_wizard_lord_beasts_magic_dummy	11		1	0	false
	wh_main_skill_all_lord_campaign_route_marcher	wh_main_skill_node_set_emp_wizard_lord_beasts		5	wh_main_skill_node_emp_wizard_lord_beasts_campaign_01	0		0	0	true
	wh_main_skill_emp_lord_campaign_iron_disciplinarian	wh_main_skill_node_set_emp_wizard_lord_beasts		5	wh_main_skill_node_emp_wizard_lord_beasts_campaign_02	1		0	0	true
	wh_main_skill_emp_lord_campaign_leader_of_renown	wh_main_skill_node_set_emp_wizard_lord_beasts		5	wh_main_skill_node_emp_wizard_lord_beasts_campaign_03	2		0	0	true
	wh2_main_skill_def_campaign_wary	wh_main_skill_node_set_emp_wizard_lord_beasts		5	wh_main_skill_node_emp_wizard_lord_beasts_campaign_04	3		0	0	true
	wh_main_skill_emp_lord_campaign_fervent	wh_main_skill_node_set_emp_wizard_lord_beasts		5	wh_main_skill_node_emp_wizard_lord_beasts_campaign_05	4		0	0	true
	wh_main_skill_emp_lord_battle_hold_the_line	wh_main_skill_node_set_emp_wizard_lord_beasts		5	wh_main_skill_node_emp_wizard_lord_beasts_campaign_06	5		0	4	true
	wh_main_skill_all_lord_campaign_lightning_strike	wh_main_skill_node_set_emp_wizard_lord_beasts		5	wh_main_skill_node_emp_wizard_lord_beasts_campaign_07	6		0	0	true
	wh_main_skill_emp_lord_campaign_quartermaster	wh_main_skill_node_set_emp_wizard_lord_beasts		5	wh_main_skill_node_emp_wizard_lord_beasts_campaign_08	7		0	0	true
	wh_main_skill_emp_lord_campaign_logistician	wh_main_skill_node_set_emp_wizard_lord_beasts		5	wh_main_skill_node_emp_wizard_lord_beasts_campaign_09	8		0	0	true
	wh_main_skill_all_emp_campaign_scholar	wh_main_skill_node_set_emp_wizard_lord_beasts		5	wh_main_skill_node_emp_wizard_lord_beasts_campaign_10	9		0	0	true
	wh2_main_skill_LL_self_defense	wh_main_skill_node_set_emp_wizard_lord_beasts		5	wh_main_skill_node_emp_wizard_lord_beasts_campaign_11	10		0	4	true
	wh2_main_skill_innate_emp_regal	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_01	0		0	0	false
	wh2_main_skill_innate_emp_noble	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_02	1		0	0	false
	wh2_main_skill_innate_emp_imperious	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_03	2		0	0	false
	wh2_main_skill_innate_emp_monster_tracker	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_04	3		0	0	false
	wh2_main_skill_innate_emp_monster_hunter	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_05	4		0	0	false
	wh2_main_skill_innate_all_fleet_footed	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_06	5		0	0	false
	wh2_main_skill_innate_all_cunning	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_07	6		0	0	false
	wh2_main_skill_innate_all_determined	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_08	7		0	0	false
	wh2_main_skill_innate_all_confident	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_09	8		0	0	false
	wh2_main_skill_innate_all_disciplined	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_10	9		0	0	false
	wh2_main_skill_innate_all_perceptive	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_11	10		0	0	false
	wh2_main_skill_innate_all_aggressive	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_12	11		0	0	false
	wh2_main_skill_innate_all_tough	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_13	12		0	0	false
	wh2_main_skill_innate_all_knowledgeable	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_14	13		0	0	false
	wh2_main_skill_innate_all_intelligent	wh_main_skill_node_set_emp_wizard_lord_beasts		6	wh_main_skill_node_emp_wizard_lord_beasts_innate_15	14		0	0	false
