effect_bonus_value_unit_ability_junctions_tables	0
effect	bonus_value_id	unit_ability
wh_effect_enable_ability_spellweaver_passive_ancients_protection	enable	wh2_main_spellweaver_passive_ancients_protection
wh_effect_enable_ability_light_wizard_passive_light_of_purity	enable	wh2_main_light_wizard_passive_light_of_purity
wh_effect_enable_ability_amber_wizard_passive_the_beast_unleashed	enable	wh2_main_amber_wizard_passive_the_beast_unleashed
wh_effect_disable_ability_lord_passive_determined_deathblow	disable	wh_dlc08_lord_passive_determined_deathblow
wh_effect_enable_ability_doombull_slaughterers_call	enable	wh2_main_doombull_slaughterers_call
wh_effect_enable_ability_doombull_passive_the_unrelenting_warherd	enable	wh2_main_doombull_passive_the_unrelenting_warherd
wh_effect_enable_ability_doombull_passive_strength_of_the_land	enable	wh2_main_doombull_passive_strength_of_the_land
wh_effect_enable_ability_doombull_blood_lust	enable	wh2_main_doombull_blood_lust
wh_effect_enable_ability_darkweaver_rampage_hidden	enable	wh2_main_darkweaver_passive_creeping_madness
wh_effect_enable_ability_darkweaver_wrath_of_the_woods	enable	wh2_main_darkweaver_passive_wrath_of_the_woods
wh_effect_enable_ability_darkweaver_creeping_madness	enable	wh2_main_darkweaver_passive_creeping_madness
wh_effect_enable_ability_highweaver_blessing_of_lileath	enable	wh2_main_highweaver_ability_blessing_of_lileath
wh_effect_enable_ability_highweaver_lileaths_protection	enable	wh2_main_highweaver_ability_lileaths_protection
wh_effect_disable_ability_highweaver_blessing_of_lileath	disable	wh2_main_highweaver_ability_blessing_of_lileath
wh_effect_cooldown_spell_lore_of_necrarch	recharge_mod	wh_main_spell_death_soulblight
wh_effect_cooldown_spell_lore_of_necrarch	recharge_mod	wh_main_spell_vampires_gaze_of_nagash
wh_effect_cooldown_spell_lore_of_necrarch	recharge_mod	wh_main_spell_vampires_invocation_of_nehek
wh_effect_cooldown_spell_lore_of_necrarch	recharge_mod	wh_dlc04_spell_vampires_raise_dead_helman
wh_effect_cooldown_spell_lore_of_necrarch	recharge_mod	wh_main_spell_death_the_fate_of_bjuna
wh_effect_cooldown_spell_lore_of_necrarch	recharge_mod	wh_main_spell_death_the_purple_sun_of_xereus
wh_effect_enable_ability_vampire_countess_passive_seduction	enable	wh2_main_vampire_countess_passive_seduction
wh_effect_enable_ability_vampire_countess_domination	enable	wh2_main_vampire_countess_ability_domination
wh_effect_enable_ability_vampire_countess_beguile	enable	wh2_main_vampire_countess_ability_beguile
wh_effect_disable_ability_vampire_countess_beguile	disable	wh2_main_vampire_countess_ability_beguile
wh_effect_enable_ability_blood_knight_ability_honour_or_death	enable	wh2_main_blood_knight_ability_honour_or_death
wh_effect_enable_ability_blood_knight_ability_honour_or_death	disable	wh_main_character_abilities_red_fury
wh_effect_cooldown_spell_lore_of_blood_knight	recharge_mod	wh_main_spell_vampires_curse_of_years
wh_effect_cooldown_spell_lore_of_blood_knight	recharge_mod	wh_main_spell_vampires_gaze_of_nagash
wh_effect_cooldown_spell_lore_of_blood_knight	recharge_mod	wh_main_spell_vampires_gaze_of_nagash_upgraded
wh_effect_cooldown_spell_lore_of_blood_knight	recharge_mod	wh_main_spell_vampires_invocation_of_nehek
wh_effect_cooldown_spell_lore_of_blood_knight	recharge_mod	wh_main_spell_vampires_invocation_of_nehek_upgraded
wh_effect_cooldown_spell_lore_of_blood_knight	recharge_mod	wh_main_spell_vampires_raise_dead
wh_effect_cooldown_spell_lore_of_blood_knight	recharge_mod	wh_main_spell_vampires_raise_dead_upgraded
wh_effect_cooldown_spell_lore_of_blood_knight	recharge_mod	wh_main_spell_vampires_vanhels_danse_macabre
wh_effect_cooldown_spell_lore_of_blood_knight	recharge_mod	wh_main_spell_vampires_vanhels_danse_macabre_upgraded
wh_effect_cooldown_spell_lore_of_blood_knight	recharge_mod	wh_main_spell_vampires_wind_of_death
wh_effect_cooldown_spell_lore_of_blood_knight	recharge_mod	wh_main_spell_vampires_wind_of_death_upgraded
wh_effect_enable_ability_shaggoth_champion_raging_storm	enable	wh2_main_shaggoth_champion_raging_storm
wh_effect_enable_ability_slayer_hero_cb_giantslayer	enable	wh2_main_slayer_hero_cb_giantslayer
wh_effect_enable_ability_slayer_hero_cb_dragonslayer	enable	wh2_main_slayer_hero_cb_dragonslayer
wh_effect_enable_ability_slayer_hero_cb_daemonslayer	enable	wh2_main_slayer_hero_cb_daemonslayer
wh_effect_enable_ability_passive_chilling_aura	enable	wh_dlc04_unit_passive_chilling_aura
wh_effect_enable_bound_spell_rancid_visitation	enable	wh2_main_lord_bound_rancid_visitation
wh_effect_enable_bound_spell_flame_storm	enable	wh2_main_lord_bound_flame_storm
wh_effect_enable_ability_passive_swarm_of_flies	enable	wh_main_hero_passive_swarm_of_flies
wh_effect_enable_ability_call_of_the_shadow_dancer	enable	wh2_main_shadowdancer_ability_call_of_the_shadow_dancer
wh_effect_enable_ability_illusion_of_darkness	enable	wh2_main_shadow_wizard_ability_illusion_of_darkness
wh_effect_enable_ability_illusion_of_darkness_upgrade	enable	wh2_main_shadow_wizard_ability_illusion_of_darkness_upgrade
wh_effect_disable_ability_illusion_of_darkness	disable	wh2_main_shadow_wizard_ability_illusion_of_darkness
