effects_tables	3
effect	icon	priority	icon_negative	category	is_positive_value_good
wh_effect_enable_ability_spellweaver_passive_ancients_protection	item_ability.png	10	item_ability.png	battle	true
wh_main_effect_agent_enable_recruitment_shadowdancer	branchwraith.png	3	branchwraith.png	campaign	true
wh2_main_effect_agent_action_champion_passive_spread_corruption		55		campaign	true
wh_main_effect_agent_cap_increase_shadowdancer	branchwraith.png	3	branchwraith.png	campaign	true
wh_main_effect_enable_mount_luminark_of_hysh	mount.png	3	mount.png	campaign	true
wh2_main_effect_emp_luminark_ror_reload	ranged_damage.png	33	ranged_damage.png	battle	true
wh2_main_effect_emp_flagellants_rank7_melee_attack	melee.png	108	melee.png	battle	true
wh2_main_effect_emp_flagellants_rank7_missile_resistance	resistance_missile.png	111	resistance_missile.png	battle	true
wh2_main_effect_emp_flagellants_rank7_melee_damage	weapon_damage.png	109	weapon_damage.png	battle	true
wh2_main_effect_emp_flagellants_rank7_speed	battle_movement.png	110	battle_movement.png	battle	true
wh2_main_effect_emp_artillery_rank7_missile_damage	ranged_damage.png	110	ranged_damage.png	battle	true
wh2_main_effect_emp_artillery_rank7_ammo	ammo.png	110	ammo.png	battle	true
wh2_main_effect_emp_artillery_rank7_magic_resistance	resistance_magic.png	110	resistance_magic.png	battle	true
wh2_main_effect_emp_luminark_ror_magic_resistance	resistance_magic.png	110	resistance_magic.png	battle	true
wh2_main_effect_emp_state_troops_rank7_melee_defence	defence.png	110	defence.png	battle	true
wh2_main_effect_emp_state_troops_rank7_charge_bonus	charge.png	109	charge.png	battle	true
wh2_main_effect_emp_state_troops_rank7_melee_damage	weapon_damage.png	109	weapon_damage.png	battle	true
wh2_main_effect_emp_missile_rank7_reload	ranged_damage.png	33	ranged_damage.png	battle	true
wh2_main_effect_emp_missile_rank7_ammo	ammo.png	110	ammo.png	battle	true
wh2_main_effect_emp_missile_rank7_speed	battle_movement.png	110	battle_movement.png	battle	true
wh2_main_effect_emp_knights_rank7_charge_bonus	charge.png	109	charge.png	battle	true
wh2_main_effect_emp_knights_rank7_melee_damage	weapon_damage.png	109	weapon_damage.png	battle	true
wh2_main_effect_emp_knights_rank7_melee_attack	melee.png	108	melee.png	battle	true
wh_effect_enable_ability_light_wizard_passive_light_of_purity	item_ability.png	101	item_ability.png	battle	true
wh_effect_enable_ability_amber_wizard_passive_the_beast_unleashed	item_ability.png	101	item_ability.png	battle	true
wh_main_name_dummy_magister	diplomacy.png	3	diplomacy.png	campaign	true
wh2_main_effect_grn_melee_savage_rank7_melee_damage	weapon_damage.png	109	weapon_damage.png	battle	true
wh2_main_effect_grn_melee_savage_rank7_magic_resistance	resistance_magic.png	112	resistance_magic.png	battle	true
wh2_main_effect_grn_melee_savage_rank7_bonus_vs_infantry	bonus_vs_small.png	111	bonus_vs_small.png	battle	true
wh2_main_effect_grn_melee_savage_rank7_speed	battle_movement.png	110	battle_movement.png	battle	true
wh2_main_effect_grn_missile_savage_rank7_reload	ranged_damage.png	110	ranged_damage.png	battle	true
wh2_main_effect_grn_missile_savage_rank7_ammo	ammo.png	110	ammo.png	battle	true
wh2_main_effect_grn_missile_savage_rank7_speed	battle_movement.png	110	battle_movement.png	battle	true
wh2_main_effect_grn_missile_savage_rank7_melee_attack	melee.png	110	melee.png	battle	true
wh2_main_effect_grn_beasts_rank7_physical_resistance	resistance_physical.png	110	resistance_physical.png	battle	true
wh2_main_effect_grn_beasts_rank7_morale	morale.png	107	morale.png	battle	true
wh2_main_effect_grn_beasts_rank7_charge_bonus	charge.png	109	charge.png	battle	true
wh2_main_effect_grn_cavalry_savage_rank7_weapon_damage	weapon_damage.png	108	weapon_damage.png	battle	true
wh2_main_effect_grn_cavalry_savage_rank7_speed	battle_movement.png	110	battle_movement.png	battle	true
wh2_main_effect_grn_cavalry_savage_rank7_magic_resistance	resistance_magic.png	106	resistance_magic.png	battle	true
wh2_main_effect_grn_cavalry_savage_rank7_fatigue_resistance	vigour.png	108	vigour.png	battle	false
wh2_main_effect_grn_melee_orcs_rank7_melee_damage	weapon_damage.png	109	weapon_damage.png	battle	true
wh2_main_effect_grn_melee_orcs_rank7_melee_defence	defence.png	110	defence.png	battle	true
wh2_main_effect_grn_melee_orcs_rank7_morale	morale.png	112	morale.png	battle	true
wh2_main_effect_grn_missile_orcs_rank7_missile_damage	ranged_damage.png	110	ranged_damage.png	battle	true
wh2_main_effect_grn_missile_orcs_rank7_ammo	ammo.png	111	ammo.png	battle	true
wh2_main_effect_grn_missile_orcs_rank7_missile_resistance	resistance_missile.png	111	resistance_missile.png	battle	true
wh2_main_effect_grn_boar_boyz_orcs_rank7_charge_bonus	charge.png	109	charge.png	battle	true
wh2_main_effect_grn_boar_boyz_orcs_rank7_bonus_vs_infantry	bonus_vs_small.png	111	bonus_vs_small.png	battle	true
wh2_main_effect_grn_boar_boyz_orcs_rank7_melee_attack	melee.png	110	melee.png	battle	true
wh2_main_effect_dwf_slayer_hero_replenishment	replenishment.png	110	replenishment.png	campaign	true
wh2_main_effect_fighting_versus_all_elves_melee_damage	weapon_damage_character.png	109	weapon_damage_character.png	battle	true
wh2_main_effect_fighting_versus_chaos_melee_attack	melee_character.png	110	melee_character.png	battle	true
wh2_main_effect_fighting_versus_greenskins_melee_attack	melee_character.png	110	melee_character.png	battle	true
wh2_main_effect_fighting_versus_skaven_melee_attack	melee_character.png	110	melee_character.png	battle	true
wh2_main_effect_fighting_versus_vampires_melee_attack	melee_character.png	110	melee_character.png	battle	true
wh2_main_effect_fighting_versus_greenskins_melee_damage	weapon_damage_character.png	109	weapon_damage_character.png	battle	true
wh2_main_effect_fighting_versus_all_elves_melee_attack	melee_character.png	110	melee_character.png	battle	true
wh_effect_disable_ability_lord_passive_determined_deathblow		0		battle	true
wh2_main_effect_unit_enable_attribute_charge_reflector_vs_large	charge_reflector_vs_large.png	110	charge_reflector_vs_large.png	battle	true
wh2_main_effect_unit_enable_attribute_charge_reflector	charge_reflector.png	110	charge_reflector.png	battle	true
wh_main_effect_agent_enable_recruitment_giantslayer	thane.png	3	thane.png	campaign	true
wh_main_effect_agent_cap_increase_giantslayer	thane.png	3	thane.png	campaign	true
wh_main_effect_agent_recruitment_xp_giantslayer	agent.png	3	agent.png	campaign	true
wh_main_effect_agent_cap_increase_bst_doombull	agent.png	3	agent.png	campaign	true
wh_main_effect_agent_cap_increase_bst_doombull_dummy	gorebull.png	33	gorebull.png	campaign	true
wh_effect_enable_ability_doombull_slaughterers_call	item_ability.png	33	item_ability.png	battle	true
wh_effect_enable_ability_doombull_passive_the_unrelenting_warherd	item_ability.png	33	item_ability.png	battle	true
wh_effect_enable_ability_doombull_passive_strength_of_the_land	item_ability.png	33	item_ability.png	battle	true
wh2_main_effect_bst_ungors_gors_rank7_leadership	morale.png	112	morale.png	battle	true
wh2_main_effect_bst_ungors_gors_rank7_melee_attack	melee.png	110	melee.png	battle	true
wh2_main_effect_bst_ungors_gors_rank7_missile_resistance	resistance_missile.png	111	resistance_missile.png	battle	true
wh2_main_effect_bst_minotaur_rank7_physical_resistance	resistance_physical.png	110	resistance_physical.png	battle	true
wh2_main_effect_bst_minotaur_rank7_weapon_damage	weapon_damage.png	109	weapon_damage.png	battle	true
wh2_main_effect_bst_minotaur_rank7_charge_bonus	charge.png	109	charge.png	battle	true
wh2_main_effect_bst_centigor_chariots_rank7_melee_defence	defence.png	110	defence.png	battle	true
wh2_main_effect_bst_centigor_chariots_rank7_charge_bonus	charge.png	109	charge.png	battle	true
wh2_main_effect_bst_centigor_chariots_rank7_weapon_damage	weapon_damage.png	109	weapon_damage.png	battle	true
wh2_main_effect_bst_beasts_of_chaos_rank7_speed	battle_movement.png	110	battle_movement.png	battle	true
wh2_main_effect_bst_beasts_of_chaos_missile_resistance	resistance_missile.png	111	resistance_missile.png	battle	true
wh2_main_effect_bst_beasts_of_chaos_melee_attack	melee.png	110	melee.png	battle	true
wh2_main_effect_bst_minotaurs_replenishment	replenishment.png	110	replenishment.png	campaign	true
wh_effect_enable_ability_doombull_blood_lust	item_ability.png	33	item_ability.png	battle	true
wh2_main_effect_bst_minotaurs_morale	morale.png	112	morale.png	battle	true
wh_main_effect_agent_cap_increase_wef_dark_and_high	agent.png	3	agent.png	campaign	true
wh_main_effect_agent_cap_increase_wef_dark_and_high_dummy	wizard.png	33	wizard.png	campaign	true
wh2_main_effect_unit_enable_attribute_encourage	encourages.png	33	encourages.png	battle	true
wh2_main_effect_wef_forest_spirits_rank7_armour	armour.png	33	armour.png	battle	true
wh2_main_effect_wef_forest_spirits_rank7_charge_bonus	charge.png	109	charge.png	battle	true
wh2_main_effect_wef_forest_spirits_rank7_physical_resistance	resistance_physical.png	110	resistance_physical.png	battle	true
wh2_main_effect_wef_archers_rank7_missile_damage	ranged_damage.png	33	ranged_damage.png	battle	true
wh2_main_effect_wef_archers_rank7_melee_defence	defence.png	110	defence.png	battle	true
wh2_main_effect_wef_archers_rank7_missile_resistance	resistance_missile.png	111	resistance_missile.png	battle	true
wh2_main_effect_wef_elven_warriors_rank7_leadership	morale.png	33	morale.png	battle	true
wh2_main_effect_wef_elven_warriors_rank7_melee_attack	melee.png	110	melee.png	battle	true
wh2_main_effect_wef_elven_warriors_rank7_melee_damage	weapon_damage.png	33	weapon_damage.png	battle	true
wh2_main_effect_wef_cavalry_rank7_magic_resistance	resistance_magic.png	33	resistance_magic.png	battle	true
wh2_main_effect_wef_cavalry_rank7_reload	ranged_damage.png	33	ranged_damage.png	battle	true
