land_units_additional_personalities_groups_junctions_tables	0
battle_personality	group
wh_main_emp_wizard_lord_light_rider_0	wh_main_emp_wizard_lord_light_riders
wh_main_emp_wizard_lord_light_rider_1	wh_main_emp_wizard_lord_light_riders
wh2_mixu_vmp_cha_vampire_countess_banshee1	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_banshee2	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_banshee3	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_cairn_wraith1	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_cairn_wraith2	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_horse1	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_horse2	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_horse3	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_knight01	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_knight02	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_knight03	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_rider1	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_skeleton1	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_skeleton2	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_skeleton3	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_skeleton4	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_skeleton5	wh2_mixu_vmp_cha_vampire_countess_riders
wh2_mixu_vmp_cha_vampire_countess_skeleton6	wh2_mixu_vmp_cha_vampire_countess_riders
