special_ability_groups_to_units_junctions_tables	0
ability_group	unit
wh_main_lore_death	wh2_mixu_emp_cha_wizard_death
wh_main_lore_death	wh2_mixu_emp_cha_wizard_death_warhorse
wh_main_lore_death	wh2_mixu_emp_cha_wizard_death_pegasus
wh_main_lore_death	wh2_mixu_emp_cha_wizard_death_barded_warhorse
wh_main_lore_metal	wh2_mixu_emp_cha_wizard_metal
wh_main_lore_metal	wh2_mixu_emp_cha_wizard_metal_warhorse
wh_main_lore_metal	wh2_mixu_emp_cha_wizard_metal_pegasus
wh_main_lore_metal	wh2_mixu_emp_cha_wizard_metal_barded_warhorse
wh_dlc03_lore_beasts	wh2_mixu_wef_cha_spellweaver_beasts
wh_dlc03_lore_beasts	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed
wh_dlc03_lore_beasts	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle
wh_dlc03_lore_beasts	wh2_mixu_wef_cha_spellweaver_beasts_unicorn
wh_dlc05_lore_life	wh2_mixu_wef_cha_spellweaver_life
wh_dlc05_lore_life	wh2_mixu_wef_cha_spellweaver_life_elven_steed
wh_dlc05_lore_life	wh2_mixu_wef_cha_spellweaver_life_great_eagle
wh_dlc05_lore_life	wh2_mixu_wef_cha_spellweaver_life_unicorn
wh_dlc05_lore_shadows	wh2_mixu_wef_cha_spellweaver_shadows
wh_dlc05_lore_shadows	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed
wh_dlc05_lore_shadows	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle
wh_dlc05_lore_shadows	wh2_mixu_wef_cha_spellweaver_shadows_unicorn
wh_dlc05_lore_shadows	wh2_mixu_wef_cha_shadowdancer
wh_dlc03_lore_beasts	wh2_mixu_emp_cha_wizard_lord_beasts
wh_dlc03_lore_beasts	wh2_mixu_emp_cha_wizard_lord_beasts_warhorse
wh_dlc03_lore_beasts	wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse
wh_dlc03_lore_beasts	wh2_mixu_emp_cha_wizard_lord_beasts_griffon
wh_dlc03_lore_beasts	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus
wh_main_lore_light	wh2_mixu_emp_cha_wizard_lord_light
wh_main_lore_light	wh2_mixu_emp_cha_wizard_lord_light_warhorse
wh_main_lore_light	wh2_mixu_emp_cha_wizard_lord_light_pegasus
wh_main_lore_light	wh2_mixu_emp_cha_wizard_lord_light_barded_warhorse
wh_main_lore_light	wh2_mixu_emp_cha_wizard_lord_light_luminark
wh_main_lore_fire	wh2_mixu_emp_cha_wizard_lord_fire
wh_main_lore_fire	wh2_mixu_emp_cha_wizard_lord_fire_warhorse
wh_main_lore_fire	wh2_mixu_emp_cha_wizard_lord_fire_pegasus
wh_main_lore_fire	wh2_mixu_emp_cha_wizard_lord_fire_barded_warhorse
wh_main_lore_big_waaagh	wh2_mixu_grn_cha_savage_orc_shaman
wh_main_lore_big_waaagh	wh2_mixu_grn_cha_savage_orc_shaman_boar
wh_main_lore_big_waaagh	wh2_mixu_grn_cha_savage_orc_shaman_wyvern
wh_main_lore_big_waaagh	wh2_mixu_grn_cha_orc_great_shaman
