special_ability_phase_attribute_effects_tables	1
attribute	phase	attribute_type
rampage	wh2_main_darkweaver_passive_rampage	positive
causes_fear	wh2_main_darkweaver_passive_creeping_madness	positive
immune_to_psychology	wh2_main_highweaver_ability_lileaths_protection	positive
charge_reflector_vs_large	wh2_main_slayer_hero_cb_dragonslayer	positive
charge_reflector	wh2_main_slayer_hero_cb_daemonslayer	positive
encourages	wh2_main_slayer_hero_cb_dragonslayer	positive
encourages	wh2_main_slayer_hero_cb_daemonslayer	positive
stalk	wh2_main_shadow_wizard_ability_mist_of_shadows	positive
unspottable	wh2_main_shadow_wizard_ability_mist_of_shadows	positive
