special_ability_phases_tables	31
duration	effect_type	id	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	heal_amount_duplicate	damage_chance	damage_amount	max_damaged_entities	heal_amount	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	recharge_time	is_hidden_in_ui	affects_allies	affects_enemies
-1	positive	wh2_main_spellweaver_passive_ancients_protection		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0		wh2_main_generic_buff_wom_banner	wh2_main_ability_channeling_spire	-1	false	true	false
10	positive	wh2_main_light_wizard_passive_light_of_purity		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0				-1	false	true	false
18	positive	wh2_main_amber_wizard_passive_the_beast_unleashed		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0				-1	false	true	false
34	positive	wh2_main_doombull_slaughterers_call		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0		wh_main_generic_buff_attack	wh_ability_positive	-1	false	true	false
33	positive	wh2_main_doombull_blood_lust		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0		wh_main_generic_buff_attack	wh_ability_positive	-1	false	true	false
-1	positive	wh2_main_darkweaver_passive_creeping_madness		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0				-1	false	true	false
-1	negative	wh2_main_darkweaver_passive_wrath_of_the_woods		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0				-1	false	false	true
17	positive	wh2_main_highweaver_ability_blessing_of_lileath		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0		wh_main_generic_buff_attack	wh_ability_positive	-1	false	true	false
17	positive	wh2_main_highweaver_ability_lileaths_protection		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0		wh_main_generic_buff_defence	wh2_main_ability_shield_of_the_old_ones	-1	false	true	false
18	positive	wh2_main_darkweaver_passive_rampage		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0				-1	false	true	false
-1	negative	wh2_main_vampire_countess_passive_seduction		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0		wh_main_generic_debuff_attack_passive		-1	false	false	true
28	negative	wh2_main_vampire_countess_ability_domination		false	true	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0		wh_main_generic_debuff_attack_passive		-1	false	false	true
28	negative	wh2_main_vampire_countess_ability_beguile		false	true	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0		wh_main_generic_debuff_attack_passive		-1	false	false	true
12	positive	wh2_main_coven_throne_passive_scrying_pool		false	false	false	0	0	0	0.5	4	0	0	-1	4	false	0	0	false	0				-1	false	true	false
-1	negative	wh2_main_coven_throne_passive_battle_of_wills		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0		wh_main_generic_debuff_attack_passive		-1	false	false	true
-1	positive	wh2_main_slayer_hero_cb_giantslayer		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0				-1	false	true	false
-1	positive	wh2_main_slayer_hero_cb_dragonslayer		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0				-1	false	true	false
-1	positive	wh2_main_slayer_hero_cb_daemonslayer		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0				-1	false	true	false
53	positive	wh2_main_shadow_wizard_ability_mist_of_shadows		false	false	false	0	0	0	0	0	0	0	-1	0	false	0	0	false	0			wh_ability_positive	-1	false	true	false
