ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
spellcaster	wh2_mixu_emp_cha_wizard_death
spellcaster	wh2_mixu_emp_cha_wizard_death_warhorse
spellcaster	wh2_mixu_emp_cha_wizard_death_pegasus
spellcaster	wh2_mixu_emp_cha_wizard_death_barded_warhorse
spellcaster	wh2_mixu_emp_cha_wizard_metal
spellcaster	wh2_mixu_emp_cha_wizard_metal_warhorse
spellcaster	wh2_mixu_emp_cha_wizard_metal_pegasus
spellcaster	wh2_mixu_emp_cha_wizard_metal_barded_warhorse
very_fast	wh2_mixu_emp_cha_wizard_death_pegasus
very_fast	wh2_mixu_emp_cha_wizard_metal_pegasus
spellcaster	wh2_mixu_wef_cha_spellweaver_beasts
spellcaster	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed
spellcaster	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle
spellcaster	wh2_mixu_wef_cha_spellweaver_beasts_unicorn
spellcaster	wh2_mixu_wef_cha_spellweaver_life
spellcaster	wh2_mixu_wef_cha_spellweaver_life_elven_steed
spellcaster	wh2_mixu_wef_cha_spellweaver_life_great_eagle
spellcaster	wh2_mixu_wef_cha_spellweaver_life_unicorn
spellcaster	wh2_mixu_wef_cha_spellweaver_shadows
spellcaster	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed
spellcaster	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle
spellcaster	wh2_mixu_wef_cha_spellweaver_shadows_unicorn
forest_stalker	wh2_mixu_wef_cha_spellweaver_beasts
forest_stalker	wh2_mixu_wef_cha_spellweaver_life
forest_stalker	wh2_mixu_wef_cha_spellweaver_shadows
very_fast	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle
very_fast	wh2_mixu_wef_cha_spellweaver_life_great_eagle
very_fast	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle
spellcaster	wh2_mixu_wef_cha_shadowdancer
forest_stalker	wh2_mixu_wef_cha_shadowdancer
wardance	wh2_mixu_wef_cha_shadowdancer
dodge	wh2_mixu_wef_cha_shadowdancer
spellcaster	wh2_mixu_emp_cha_wizard_lord_beasts
spellcaster	wh2_mixu_emp_cha_wizard_lord_beasts_warhorse
spellcaster	wh2_mixu_emp_cha_wizard_lord_beasts_barded_warhorse
spellcaster	wh2_mixu_emp_cha_wizard_lord_beasts_griffon
spellcaster	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus
spellcaster	wh2_mixu_emp_cha_wizard_lord_light
spellcaster	wh2_mixu_emp_cha_wizard_lord_light_warhorse
spellcaster	wh2_mixu_emp_cha_wizard_lord_light_pegasus
spellcaster	wh2_mixu_emp_cha_wizard_lord_light_barded_warhorse
spellcaster	wh2_mixu_emp_cha_wizard_lord_light_luminark
terror	wh2_mixu_emp_cha_wizard_lord_beasts_griffon
very_fast	wh2_mixu_emp_cha_wizard_lord_beasts_pegasus
very_fast	wh2_mixu_emp_cha_wizard_lord_light_pegasus
armour_piercing_ranged	wh2_mixu_emp_cha_wizard_lord_light_luminark
low_rate_of_fire	wh2_mixu_emp_cha_wizard_lord_light_luminark
magical_aura	wh2_mixu_emp_cha_wizard_lord_light_luminark
solheims_bolt	wh2_mixu_emp_cha_wizard_lord_light_luminark
spellcaster	wh2_mixu_emp_cha_wizard_lord_fire
spellcaster	wh2_mixu_emp_cha_wizard_lord_fire_warhorse
spellcaster	wh2_mixu_emp_cha_wizard_lord_fire_pegasus
spellcaster	wh2_mixu_emp_cha_wizard_lord_fire_barded_warhorse
very_fast	wh2_mixu_emp_cha_wizard_lord_fire_pegasus
