unit_abilities_tables	14
key	supersedes_ability	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type
wh2_main_spellweaver_passive_ancients_protection		true	wh_dlc05_unit_passive_guardians_of_the_wildwood		wh_type_augment		wh_main_anc_group_uncommon	false	false	lord
wh2_main_light_wizard_passive_light_of_purity		true	wh_dlc04_hero_passive_divine_power		wh_type_augment		wh_main_anc_group_uncommon	true	false	lore
wh2_main_amber_wizard_passive_the_beast_unleashed		true	wh_dlc03_unit_passive_primal_fury		wh_type_augment		wh_main_anc_group_uncommon	true	false	lore
wh2_main_doombull_slaughterers_call		true	wh_dlc03_unit_abilities_slaughterers_call		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	lord
wh2_main_doombull_passive_the_unrelenting_warherd		true	wh_dlc03_hero_passive_offensive_aura		wh_type_area_of_augments		wh_main_anc_group_unique	true	false	lord
wh2_main_doombull_passive_strength_of_the_land		true	wh_dlc03_hero_passive_defensive_aura		wh_type_area_of_augments		wh_main_anc_group_unique	true	false	lord
wh2_main_doombull_blood_lust		true	wh_main_character_abilities_blood_lust		wh_type_augment		wh_main_anc_group_uncommon	true	false	lord
wh2_main_darkweaver_passive_wrath_of_the_woods		true	darkweaver_wrath_of_the_woods		wh_type_area_of_hexes		wh_main_anc_group_uncommon	true	false	lord
wh2_main_darkweaver_passive_creeping_madness		true	darkweaver_creeping_madness		wh_type_augment		wh_main_anc_group_uncommon	true	false	lord
wh2_main_highweaver_ability_blessing_of_lileath		true	wh2_main_highweaver_ability_blessing_of_lileath		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	lord
wh2_main_highweaver_ability_lileaths_protection		true	wh2_main_highweaver_ability_lileaths_protection		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	lord
wh2_main_darkweaver_passive_rampage		true	wh2_main_lord_passive_enchanting_beauty		wh_type_augment		wh_main_anc_group_uncommon	false	false	lord
wh2_main_vampire_countess_passive_seduction		true	wh2_main_lord_passive_enchanting_beauty		wh_type_area_of_hexes		wh_main_anc_group_rare	true	false	lord
wh2_main_vampire_countess_ability_domination		true	vampire_countess_ability_domination		wh_type_hex		wh_main_anc_group_rare	true	false	lord
wh2_main_vampire_countess_ability_beguile		true	vampire_countess_ability_beguile		wh_type_hex		wh_main_anc_group_uncommon	true	false	lord
wh2_main_coven_throne_passive_scrying_pool		false	vampire_countess_mount_scrying_pool		wh_type_regeneration		wh_main_anc_group_uncommon	false	false	bound
wh2_main_coven_throne_passive_battle_of_wills		false	wh_dlc08_lord_abilities_seduction_of_the_serpent		wh_type_area_of_hexes		wh_main_anc_group_uncommon	false	false	bound
wh2_main_shaggoth_champion_raging_storm		true	wh_main_lord_abilities_lord_of_the_storm		wh_type_bombardment		wh_main_anc_group_uncommon	true	false	lord
wh2_main_slayer_hero_cb_giantslayer		true	dwf_slayer_cb1		wh_type_augment		wh_main_anc_group_uncommon	true	false	lord
wh2_main_slayer_hero_cb_dragonslayer		true	dwf_slayer_cb2		wh_type_augment		wh_main_anc_group_rare	true	false	lord
wh2_main_slayer_hero_cb_daemonslayer		true	dwf_slayer_cb3		wh_type_augment		wh_main_anc_group_unique	true	false	lord
wh2_main_fimir_warlord_ability_cold_blooded		false	wh2_main_fimir_warlord_ability_cold_blooded		wh_type_regeneration		wh_main_anc_group_common	true	false	lord
wh2_main_lord_passive_favour_of_the_ruinous_powers		false	wh_dlc08_unit_abilities_favour_of_the_ruinous_powers		wh_type_area_of_augments		wh_main_anc_group_rare	false	false	lord
wh2_main_lord_ability_giver_of_glory		false	wh_dlc08_unit_abilities_giver_of_glory		wh_type_area_of_augments		wh_main_anc_group_rare	false	false	lord
wh2_main_lord_bound_rancid_visitation		true	wh2_main_lord_bound_rancid_visitation		wh_type_bombardment		wh_main_anc_group_rare	true	false	bound
wh2_main_lord_bound_flame_storm		true	wh_main_spell_fire_flame_storm		wh_type_vortex		wh_main_anc_group_rare	true	false	bound
wh2_main_shadow_wizard_ability_illusion_of_darkness		true	wh2_main_shadow_wizard_ability_illusion_of_darkness		wh_type_hiding		wh_main_anc_group_uncommon	true	false	lord
wh2_main_shadowdancer_ability_call_of_the_shadow_dancer		true	wh2_dlc10_lord_abilities_mislead		wh_type_hiding		wh_main_anc_group_uncommon	true	false	lord
wh2_main_shadow_wizard_ability_illusion_of_darkness_upgrade		true	wh2_main_shadow_wizard_ability_illusion_of_darkness		wh_type_hiding		wh_main_anc_group_uncommon	true	false	lord
wh2_main_shadow_wizard_ability_mist_of_shadows		true	wh2_dlc10_lord_abilities_mislead		wh_type_hiding		wh_main_anc_group_uncommon	true	false	lord
