unit_abilities_to_additional_ui_effects_juncs_tables	0
ability	effect
wh2_main_coven_throne_passive_scrying_pool	wh_main_all_replenish
wh2_main_shaggoth_champion_raging_storm	wh_main_all_magical
wh2_main_shaggoth_champion_raging_storm	wh_main_all_strong_against_multiple
wh2_main_shaggoth_champion_raging_storm	wh_main_all_weak_against_single
wh2_main_shaggoth_champion_raging_storm	wh_main_bombardment_small_strike_aoe
wh2_main_fimir_warlord_ability_cold_blooded	wh_main_all_replenish
wh2_main_lord_bound_rancid_visitation	wh2_main_all_magical_damage_major
wh2_main_lord_bound_rancid_visitation	wh2_main_bombardment_medium_strike_aoe
wh2_main_lord_bound_rancid_visitation	wh_main_all_strong_against_unit
wh2_main_lord_bound_rancid_visitation	wh_main_all_weak_against_single
wh2_main_lord_bound_flame_storm	wh2_main_all_magical_and_flaming_major
wh2_main_lord_bound_flame_storm	wh2_main_spell_medium_vortex
wh2_main_lord_bound_flame_storm	wh_main_all_strong_against_units
wh2_main_lord_bound_flame_storm	wh_main_all_weak_against_single
wh2_main_shadow_wizard_ability_illusion_of_darkness	mixu_shadow_wizard_illusions_of_darkness_1
wh2_main_shadow_wizard_ability_illusion_of_darkness	mixu_shadow_wizard_illusions_of_darkness_2
wh2_main_shadow_wizard_ability_illusion_of_darkness	wh2_dlc10_all_summon_no_damage
wh2_main_shadowdancer_ability_call_of_the_shadow_dancer	mixu_shadow_wizard_call_of_the_shadow_dancer_1
wh2_main_shadowdancer_ability_call_of_the_shadow_dancer	mixu_shadow_wizard_call_of_the_shadow_dancer_2
wh2_main_shadowdancer_ability_call_of_the_shadow_dancer	wh2_dlc10_all_summon_no_damage
wh2_main_shadow_wizard_ability_illusion_of_darkness_upgrade	mixu_shadow_wizard_illusions_of_darkness_1
wh2_main_shadow_wizard_ability_illusion_of_darkness_upgrade	mixu_shadow_wizard_illusions_of_darkness_2_upgrade
wh2_main_shadow_wizard_ability_illusion_of_darkness_upgrade	wh2_dlc10_all_summon_no_damage
