unit_sets_tables	1
key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive
emp_state_troops_rank7	true	7	9
emp_artillery_rank7	true	7	9
emp_knights_rank7	true	7	9
emp_demigryph_rank7	true	7	9
emp_missile_rank7	true	7	9
emp_sigmar_rank7	true	7	9
emp_sigmar_characters	false	-1	-1
emp_luminark_rank7	true	7	9
emp_luminark	false	-1	-1
grn_melee_savage_rank7	true	7	9
grn_missile_savage_rank7	true	7	9
grn_beasts_rank7	true	7	9
grn_cavalry_savage_rank7	true	7	9
grn_melee_orcs_rank7	true	7	9
grn_missile_orcs_rank7	true	7	9
grn_boar_boyz_orcs_rank7	true	7	9
dwf_slayer_hero	false	-1	-1
bst_ungors_gors_rank7	true	7	9
bst_minotaur_rank7	true	7	9
bst_centigor_chariots_rank7	true	7	9
bst_beasts_of_chaos_rank7	true	7	9
bst_gore_doombull	false	-1	-1
wef_darkweaver	false	-1	-1
wef_highweaver	false	-1	-1
wef_forest_spirits_rank7	true	7	9
wef_archers_rank7	true	7	9
wef_elven_warriors_rank7	true	7	9
wef_cavalry_rank7	true	7	9
vmp_skellingtons_rank7	true	7	9
vmp_wraiths_rank7	true	7	9
vmp_chariots_rank7	true	7	9
vmp_cavalry_dogs_rank7	true	7	9
vmp_wraiths_ror_and_heroes	false	-1	-1
vmp_skellingtons_ror_and_heroes	false	-1	-1
vmp_chariots_ror	false	-1	-1
vmp_cavalry_dogs_ror	false	-1	-1
vmp_all_raised	false	-1	-1
low_tier_all_vanguard	false	-1	-1
vmp_flying_rank7	true	7	9
vmp_ground_monsters_rank7	true	7	9
vmp_blood_knight_lord	false	-1	-1
vmp_blood_knight_lord_barded_nightmare	false	-1	-1
vmp_knights_rank7	true	7	9
chs_fuelled_by_war	false	0	0
chs_fuelled_by_war_rank7	true	7	9
chs_hulks_of_death	false	0	0
chs_freakish_mutations	false	0	0
chs_dragon_ogres_shaggoths	false	0	0
chs_dragon_ogres_shaggoths_rank7	true	7	9
chs_beasts_of_chaos	false	0	0
chs_beasts_of_chaos_rank7	true	7	9
chs_malformed_monsters_rank7	true	7	9
chs_humans	false	0	0
nor_vanguard_monsters	false	0	0
nor_fimir_trolls_rank7	true	7	9
nor_wolves_manticore_rank7	true	7	9
nor_mammoths_giants_dragon_rank7	true	7	9
