unit_variants_tables	5
faction	name	unit	variant	unit_card
	wh2_mixu_emp_cha_wizard_death	wh2_mixu_emp_cha_wizard_death	emp_wizard_death_1	emp_wizard_death_1
	wh2_mixu_emp_cha_wizard_death	wh2_mixu_emp_cha_wizard_death_warhorse	emp_wizard_death_1	emp_wizard_death_1
	wh2_mixu_emp_cha_wizard_death	wh2_mixu_emp_cha_wizard_death_pegasus	emp_wizard_death_1	emp_wizard_death_1
	wh2_mixu_emp_cha_wizard_death	wh2_mixu_emp_cha_wizard_death_barded_warhorse	emp_wizard_death_1	emp_wizard_death_1
	wh2_mixu_emp_cha_wizard_metal	wh2_mixu_emp_cha_wizard_metal	emp_wizard_metal_1	emp_wizard_metal_1
	wh2_mixu_emp_cha_wizard_metal	wh2_mixu_emp_cha_wizard_metal_warhorse	emp_wizard_metal_1	emp_wizard_metal_1
	wh2_mixu_emp_cha_wizard_metal	wh2_mixu_emp_cha_wizard_metal_pegasus	emp_wizard_metal_1	emp_wizard_metal_1
	wh2_mixu_emp_cha_wizard_metal	wh2_mixu_emp_cha_wizard_metal_barded_warhorse	emp_wizard_metal_1	emp_wizard_metal_1
	wh2_mixu_wef_cha_spellweaver_beasts	wh2_mixu_wef_cha_spellweaver_beasts	wef_spellweaver_1	wef_spellweaver_1
	wh2_mixu_wef_cha_spellweaver_beasts	wh2_mixu_wef_cha_spellweaver_beasts_elven_steed	wef_spellweaver_1	wef_spellweaver_1
	wh2_mixu_wef_cha_spellweaver_beasts	wh2_mixu_wef_cha_spellweaver_beasts_great_eagle	wef_spellweaver_1	wef_spellweaver_1
	wh2_mixu_wef_cha_spellweaver_beasts	wh2_mixu_wef_cha_spellweaver_beasts_unicorn	wef_spellweaver_1	wef_spellweaver_1
	wh2_mixu_wef_cha_spellweaver_life	wh2_mixu_wef_cha_spellweaver_life	wef_spellweaver_2	wef_spellweaver_2
	wh2_mixu_wef_cha_spellweaver_life	wh2_mixu_wef_cha_spellweaver_life_elven_steed	wef_spellweaver_2	wef_spellweaver_2
	wh2_mixu_wef_cha_spellweaver_life	wh2_mixu_wef_cha_spellweaver_life_great_eagle	wef_spellweaver_2	wef_spellweaver_2
	wh2_mixu_wef_cha_spellweaver_life	wh2_mixu_wef_cha_spellweaver_life_unicorn	wef_spellweaver_2	wef_spellweaver_2
	wh2_mixu_wef_cha_spellweaver_shadows	wh2_mixu_wef_cha_spellweaver_shadows	wef_spellweaver_3	wef_spellweaver_3
	wh2_mixu_wef_cha_spellweaver_shadows	wh2_mixu_wef_cha_spellweaver_shadows_elven_steed	wef_spellweaver_3	wef_spellweaver_3
	wh2_mixu_wef_cha_spellweaver_shadows	wh2_mixu_wef_cha_spellweaver_shadows_great_eagle	wef_spellweaver_3	wef_spellweaver_3
	wh2_mixu_wef_cha_spellweaver_shadows	wh2_mixu_wef_cha_spellweaver_shadows_unicorn	wef_spellweaver_3	wef_spellweaver_3
	wh2_mixu_wef_cha_shadowdancer	wh2_mixu_wef_cha_shadowdancer	wef_shadowdancer_1	wef_shadowdancer_1
