units_custom_battle_permissions_tables	7
faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character
wh_main_emp_empire	false	wh2_mixu_emp_cha_wizard_death	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_death_1.png	wh2_uniform_emp_wizard_death_1	wh_dlc05_emp_cha_wizard_life_0
wh_main_emp_empire	false	wh2_mixu_emp_cha_wizard_death_warhorse	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_death_1.png	wh2_uniform_emp_wizard_death_1	wh_dlc05_emp_cha_wizard_life_0
wh_main_emp_empire	false	wh2_mixu_emp_cha_wizard_death_pegasus	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_death_1.png	wh2_uniform_emp_wizard_death_1	wh_dlc05_emp_cha_wizard_life_0
wh_main_emp_empire	false	wh2_mixu_emp_cha_wizard_death_barded_warhorse	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_death_1.png	wh2_uniform_emp_wizard_death_1	wh_dlc05_emp_cha_wizard_life_0
wh_main_emp_empire	false	wh2_mixu_emp_cha_wizard_metal	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_metal_1.png	wh2_uniform_emp_wizard_metal_1	wh_dlc05_emp_cha_wizard_life_0
wh_main_emp_empire	false	wh2_mixu_emp_cha_wizard_metal_warhorse	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_metal_1.png	wh2_uniform_emp_wizard_metal_1	wh_dlc05_emp_cha_wizard_life_0
wh_main_emp_empire	false	wh2_mixu_emp_cha_wizard_metal_pegasus	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_metal_1.png	wh2_uniform_emp_wizard_metal_1	wh_dlc05_emp_cha_wizard_life_0
wh_main_emp_empire	false	wh2_mixu_emp_cha_wizard_metal_barded_warhorse	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_metal_1.png	wh2_uniform_emp_wizard_metal_1	wh_dlc05_emp_cha_wizard_life_0
wh_main_emp_middenland	false	wh2_mixu_emp_cha_wizard_death	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_death_1.png	wh2_uniform_emp_wizard_death_1	wh_dlc05_emp_cha_wizard_life_0
wh_main_emp_middenland	false	wh2_mixu_emp_cha_wizard_death_warhorse	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_death_1.png	wh2_uniform_emp_wizard_death_1	wh_dlc05_emp_cha_wizard_life_0
wh_main_emp_middenland	false	wh2_mixu_emp_cha_wizard_death_pegasus	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_death_1.png	wh2_uniform_emp_wizard_death_1	wh_dlc05_emp_cha_wizard_life_0
wh_main_emp_middenland	false	wh2_mixu_emp_cha_wizard_death_barded_warhorse	true	true	ui/portraits/portholes/mixus_lords/emp_wizard_death_1.png	wh2_uniform_emp_wizard_death_1	wh_dlc05_emp_cha_wizard_life_0
