variants_tables	5
variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation
emp_wizard_metal_1		emp_wizard_metal_1		1	1.05	0
emp_wizard_metal_2		emp_wizard_metal_2		1	1.05	0
emp_wizard_death_1		emp_wizard_death_1		1	1.05	0
emp_wizard_death_2		emp_wizard_death_2		1	1.05	0
emp_wizard_death_3		emp_wizard_death_3		1	1.05	0
wef_spellweaver_1		wef_spellweaver_1		1	1.05	0
wef_spellweaver_2		wef_spellweaver_2		1	1.05	0
wef_spellweaver_3		wef_spellweaver_3		1	1.05	0
wef_spellweaver_4		wef_spellweaver_4		1	1.05	0
wef_spellweaver_5		wef_spellweaver_5		1	1.05	0
wef_shadowdancer_1		wef_shadowdancer_1		1	1.05	0
wef_shadowdancer_2		wef_shadowdancer_2		1	1.05	0
wef_shadowdancer_3		wef_shadowdancer_3		1	1.05	0
wef_shadowdancer_4		wef_shadowdancer_4		1	1.05	0
wef_shadowdancer_5		wef_shadowdancer_5		1	1.05	0
emp_wizard_lord_beasts_1		emp_wizard_lord_beasts_1		1	1.05	0
emp_wizard_lord_beasts_2		emp_wizard_lord_beasts_2		1	1.05	0
emp_wizard_lord_light_1		emp_wizard_lord_light_1		1	1.05	0
emp_wizard_lord_light_2		emp_wizard_lord_light_2		1	1.05	0
emp_wizard_lord_light_3		emp_wizard_lord_light_3		1	1.05	0
emp_wizard_light_luminark_1		emp_wizard_light_luminark_1		1	1.05	0
emp_wizard_light_luminark_2		emp_wizard_light_luminark_2		1	1.05	0
emp_wizard_light_luminark_3		emp_wizard_light_luminark_3		1	1.05	0
grn_savage_warboar_hero	VariantMeshes\wh_variantmodels\bo1\grn\grn_warboar\tech	grn_savage_orc_warboar_no_saddle_big_uns		1	1.1	0
grn_savage_orc_warboss_1		grn_savage_orc_warboss_1		1	1.3	0
grn_savage_orc_warboss_2		grn_savage_orc_warboss_2		1	1.3	0
grn_savage_orc_warboss_3		grn_savage_orc_warboss_3		1	1.3	0
grn_wyvern_savage	VariantMeshes\wh_variantmodels\bi2\grn\grn_wyvern\tech	grn_wyvern_savage		1	1.1	0
grn_savage_orc_shaman_1		grn_savage_orc_shaman_1		1	1.3	0
grn_savage_orc_shaman_2		grn_savage_orc_shaman_2		1	1.3	0
grn_savage_orc_shaman_3		grn_savage_orc_shaman_3		1	1.3	0
grn_savage_orc_shaman_4		grn_savage_orc_shaman_4		1	1.3	0
grn_orc_great_shaman_1		grn_orc_great_shaman_1		1	1.3	0
grn_orc_great_shaman_2		grn_orc_great_shaman_2		1	1.3	0
grn_orc_great_shaman_3		grn_orc_great_shaman_3		1	1.3	0
grn_orc_great_shaman_4		grn_orc_great_shaman_4		1	1.3	0
dwf_giant_slayer_1		dwf_giant_slayer_1		1	1.1	0
