Loc PackedFile
Key	Text	Tooltip
campaign_battle_presets_onscreen_name_wh_main_land_battle_brt_hills_b	Bordeleaux	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_brt_hills_d	Brionne	true
campaign_battle_presets_description_wh_main_land_battle_nor_hills_a	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_emp_hills_a	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_emp_hills_d	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_vmp_marsh_c	Land Battle	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_vmp_marsh_c	Bechafen	true
campaign_battle_presets_description_wh_main_land_battle_brt_hills_d	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_brt_hills_b	Land Battle	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_emp_hills_d	Weismund	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_emp_hills_a	Altdorf	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_nor_hills_a	Winter Pyre	true
campaign_battle_presets_description_wh_main_land_battle_nor_forest_d	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_nor_forest_c	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_emp_forest_a	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_emp_wastes_a	Land Battle	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_grn_mtn_pass_outfield_city_05	Ekrund	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_dwf_mtn_pass_outfield_city_01	Pfeildorf	true
campaign_battle_presets_description_wh_main_land_battle_brt_forest_d	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_brt_forest_a	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_grn_plains_c	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_grn_plains_a	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_emp_plains_c	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_emp_plains_a	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_nor_plains_c	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_brt_plains_c	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_brt_plains_a	Land Battle	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_grn_plains_a	Bitterstone Mine	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_grn_plains_c	Stonemine Tower	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_brt_forest_d	Castle Carcasonne	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_brt_forest_a	Bilbali	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_dwf_mtn_pass_9	Wissenburg	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_emp_forest_a	Eilhart	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_emp_wastes_a	Talabheim	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_nor_forest_d	Doomkeep	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_nor_forest_c	Varg Camp	true
campaign_battle_presets_description_wh_main_land_battle_dwf_mtn_pass_outfield_city_01	Land Battle	true
campaign_battle_presets_description_wh_main_land_battle_grn_mtn_pass_outfield_city_05	Land Battle	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_brt_plains_a	Lyonesse	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_brt_plains_c	Quenelles	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_nor_plains_c	Aesling's Conclave	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_emp_plains_a	Castle von Rauken	true
campaign_battle_presets_onscreen_name_wh_main_land_battle_emp_plains_c	Averheim	true
campaign_battle_presets_description_wh_main_land_battle_dwf_mtn_pass_9	Land Battle	true
