Loc PackedFile
Key	Text	Tooltip
campaign_ground_types_onscreen_name_mountain	Mountains	true
campaign_ground_types_onscreen_name_sea_coast	Shallow Seas	true
campaign_ground_types_onscreen_name_tundra	Tundra	true
campaign_ground_types_onscreen_name_jungle	Jungle	true
campaign_ground_types_onscreen_name_sea_lake	Lake	true
campaign_ground_types_onscreen_name_plains	Plains	true
campaign_ground_types_onscreen_name_sea_river	River	true
campaign_ground_types_onscreen_name_sea_reef	Reef	true
campaign_ground_types_onscreen_name_sea_ocean	High Seas	true
campaign_ground_types_onscreen_name_desert	Desert	true
campaign_ground_types_onscreen_name_wasteland	Badlands	true
campaign_ground_types_onscreen_name_grassland	Grassland	true
campaign_ground_types_onscreen_name_river	River	true
campaign_ground_types_onscreen_name_hills	Hills	true
campaign_ground_types_onscreen_name_swamp	Swamp	true
campaign_ground_types_onscreen_name_marsh	Marsh	true
campaign_ground_types_onscreen_name_dense_forest	Dense Forest	true
campaign_ground_types_onscreen_name_light_forest	Light Forest	true
campaign_ground_types_onscreen_name_hilly_light_forest	Hilly Light Forest	true
campaign_ground_types_onscreen_name_sea_maelstrom	Maelstrom	true
