Loc PackedFile
Key	Text	Tooltip
campaign_interactable_marker_infos_tooltip_encounter_marker_1	The remains of a sea leviathan. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_2	The wooden carcass of a treasure ship. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_3	The wooden carcass of a treasure ship. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_4	The remains of a sea leviathan. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_5	A merchant shipwreck. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_6	A merchant shipwreck. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_7	A merchant shipwreck. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_8	A merchant shipwreck. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_9	An uncharted island. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_8	Fell Cargo	true
campaign_interactable_marker_infos_name_encounter_marker_9	Mysterious Island 	true
campaign_interactable_marker_infos_name_encounter_marker_4	Sea Corpse	true
campaign_interactable_marker_infos_name_encounter_marker_5	Fell Cargo	true
campaign_interactable_marker_infos_name_encounter_marker_6	Fell Cargo	true
campaign_interactable_marker_infos_name_encounter_marker_7	Fell Cargo	true
campaign_interactable_marker_infos_name_encounter_marker_1	Sea Corpse	true
campaign_interactable_marker_infos_name_encounter_marker_2	Shipwreck 	true
campaign_interactable_marker_infos_name_encounter_marker_3	Shipwreck 	true
campaign_interactable_marker_infos_tooltip_encounter_marker_15	A recent battle site. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_17	A recent battle site. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_16	A recent battle site. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_11	A fell reef. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_10	An uncharted island. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_13	A recent battle site. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_12	An uncharted island. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_19	A recent battle site. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_18	An uncharted island. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_25	The wooden carcass of a treasure ship. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_24	The remains of a sea leviathan. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_27	The remains of a sea leviathan. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_26	The wooden carcass of a treasure ship. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_21	A recent battle site. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_20	A recent battle site. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_23	An uncharted island. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_22	A recent battle site. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_29	A recent battle site. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_tooltip_encounter_marker_28	A merchant shipwreck. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
