Loc PackedFile
Key	Text	Tooltip
campaign_post_battle_captive_options_onscreen_name_killwh_captive_option_kill_humans	Execute Captives	true
campaign_post_battle_captive_options_onscreen_name_enslavewh2_main_captive_option_enslave_lizardmen	Kill & Eat	true
campaign_post_battle_captive_options_description_killwh_captive_option_kill_vampire_counts	Feed them to the Dire Wolves, their corpses will no doubt come in handy later! The victims' empire and their allies will loathe you, but their enemies will like it.	true
campaign_post_battle_captive_options_onscreen_name_killwh2_main_captive_option_kill_lizardmen	Exterminate	true
campaign_post_battle_captive_options_description_killwh2_main_captive_option_kill_high_elves	The murder of captives provides a pleasing and instructive entertainment.	true
campaign_post_battle_captive_options_onscreen_name_killwh_captive_option_kill_dwarfs	Execute Captives	true
campaign_post_battle_captive_options_onscreen_name_killwh_captive_option_kill_chaos	Kill Captives	true
campaign_post_battle_captive_options_description_enslavewh2_main_captive_option_enslave_high_elves_to_high_elves	Defeated warriors can be persuaded to follow a victorious Lord.	true
campaign_post_battle_captive_options_description_killwh_captive_option_kill_dwarfs	Leave no grudge unavenged, kill all captives! The enemy and their allies will despise you for such a dishonourable action, but their foes will rejoice!	true
campaign_post_battle_captive_options_description_enslavewh_captive_option_enslave_bretonnia	These men are our kin. If they are willing to repent their actions we should offer them a place among our ranks.	true
campaign_post_battle_captive_options_onscreen_name_enslavewh2_dlc09_captive_option_tomb_kings	Bind Souls	true
campaign_post_battle_captive_options_description_killwh2_main_captive_option_kill_dark_elves	Executing captives can further temper a force for war.	true
campaign_post_battle_captive_options_onscreen_name_killwh_captive_option_kill_vampire_counts	Murder Captives	true
campaign_post_battle_captive_options_description_killwh_captive_option_kill_humans	Leave no captives alive. The foe and their allies will not look upon you kindly, but their enemies will respect your decision.	true
campaign_post_battle_captive_options_onscreen_name_killwh2_captive_option_kill_vampire_coast	Share the Loot	true
campaign_post_battle_captive_options_onscreen_name_killwh2_dlc09_captive_option_tomb_kings	Harvest Organs	true
campaign_post_battle_captive_options_description_releasewh_captive_option_release_bretonnia	Although certainly not a chivalrous act, we can ransom these men back to their masters in return for some coin.	true
campaign_post_battle_captive_options_onscreen_name_releasewh2_main_captive_option_release_lizardmen	Release Captives	true
campaign_post_battle_captive_options_onscreen_name_releasewh2_dlc09_captive_option_tomb_kings	Endless March	true
campaign_post_battle_captive_options_description_killwh_dlc05_captive_option_kill_wood_elves	Leave no captives alive. The foe and their allies will not look upon you kindly, but their enemies will respect your decision.	true
campaign_post_battle_captive_options_description_killwh2_captive_option_kill_vampire_coast	Share the spoils with your Lord, improving their loyalty.	true
campaign_post_battle_captive_options_description_killwh_captive_option_kill_bretonnia	For standing against our righteous cause, these men must pay the ultimate price. Kill them all.	true
campaign_post_battle_captive_options_onscreen_name_enslavewh_captive_option_enslave_bretonnia	Offer Redemption	true
campaign_post_battle_captive_options_description_enslavewh_dlc05_captive_option_enslave_wood_elves	Force these troops to change allegiance and allow them to serve in your army.	true
campaign_post_battle_captive_options_description_releasewh2_main_captive_option_release_high_elves	Ransoming captives brings its own reward, but the troops do not like it.	true
campaign_post_battle_captive_options_onscreen_name_releasewh2_main_captive_option_release_dark_elves	Ransom Captives	true
campaign_post_battle_captive_options_description_enslavewh2_dlc09_captive_option_tomb_kings	Spirits lost in battle are retained within their skeletal bodies, lest they flee to the Realm of Souls.	true
campaign_post_battle_captive_options_onscreen_name_enslavewh_captive_option_enslave_vampire_counts	Dominate Captives	true
campaign_post_battle_captive_options_description_releasewh2_main_captive_option_release_dark_elves	Ransoming captives brings its own reward, but the troops do not like it.	true
campaign_post_battle_captive_options_onscreen_name_enslavewh_captive_option_enslave_humans	Take on Captives	true
campaign_post_battle_captive_options_onscreen_name_enslavewh_dlc05_captive_option_enslave_wood_elves	Take on Captives	true
campaign_post_battle_captive_options_onscreen_name_releasewh2_main_captive_option_release_high_elves	Ransom Captives	true
campaign_post_battle_captive_options_description_killwh2_main_captive_option_kill_lizardmen	Exterminating these captives will further the Old Ones' Great Plan.	true
campaign_post_battle_captive_options_description_enslavewh2_captive_option_enslave_vampire_coast	Bolster the strength of your army by introducing your captives to the Dark Arts.	true
campaign_post_battle_captive_options_description_releasewh2_captive_option_release_vampire_coast	Earn some extra loot by ransoming your captives for cold, hard loot!	true
campaign_post_battle_captive_options_description_releasewh_dlc03_captive_option_release_beastmen	Offer these captives to the Chaos Gods in return for their favour. Offering captives to the Chaos Gods ensures their favour, but your herd will be hungry and unhappy as a result.	true
campaign_post_battle_captive_options_onscreen_name_enslavewh_captive_option_enslave_dwarfs	Take on Captives	true
campaign_post_battle_captive_options_description_releasewh_captive_option_release_greenskins	Earn some extra loot by selling the captives off! The enemy will even thank ya for not eatin' 'em alive.	true
campaign_post_battle_captive_options_onscreen_name_releasewh_captive_option_release_humans	Pardon Captives	true
campaign_post_battle_captive_options_description_releasewh2_dlc09_captive_option_tomb_kings	Death abounds on the battlefield. The release of its energy is used to invigorate your warriors and send them forth to the fray.	true
campaign_post_battle_captive_options_onscreen_name_enslavewh2_main_captive_option_enslave_high_elves	Force Labour	true
campaign_post_battle_captive_options_onscreen_name_releasewh_captive_option_release_dwarfs	Release Captives	true
campaign_post_battle_captive_options_onscreen_name_releasewh_dlc05_captive_option_release_wood_elves	Release Captives	true
campaign_post_battle_captive_options_description_releasewh2_main_captive_option_release_skaven_to_skaven	The defeated are chattle, and can be sold to the highest bidder.	true
campaign_post_battle_captive_options_description_enslavewh_captive_option_enslave_greenskins	These scraggy gits look tasty - eat 'em up and replenish the boyz with full stomachs!	true
