Loc PackedFile
Key	Text	Tooltip
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_khalida	Khalida Skills	true
character_skill_node_sets_enc_title_wh_dlc03_skill_node_set_bst_bray_shaman_beast	Bray-Shaman (Beasts) Skills	true
character_skill_node_sets_enc_title_wh_dlc03_skill_node_set_bst_bray_shaman_shadows	Bray-Shaman (Shadows) Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_dwf_ungrim	Ungrim Ironfist Skills	true
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_tomb_king_wakhaf	Tomb King Skills	true
character_skill_node_sets_enc_title_wh_dlc06_skill_node_set_grn_skarsnik	Skarsnik Skills	true
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_supreme_sorceress_beasts	Supreme Sorceress (Beasts) Skills	true
character_skill_node_sets_enc_title_wh2_main_skill_node_set_lzd_saurus_scar_veteran	Saurus Scar-Veteran Skills	true
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_mourngul	Mourngul Haunter Skills	true
character_skill_node_sets_enc_title_wh_dlc03_skill_node_set_emp_boris_todbringer	Boris Todbringer Skills	true
character_skill_node_sets_enc_title_wh2_dlc_11_skill_node_set_cst_admiral_tech_04	Vampire Fleet Admiral Skills	true
character_skill_node_sets_enc_title_wh2_dlc_11_skill_node_set_cst_admiral_tech_01	Vampire Fleet Admiral Skills	true
character_skill_node_sets_enc_title_wh2_dlc_11_skill_node_set_cst_admiral_tech_02	Vampire Fleet Admiral Skills	true
character_skill_node_sets_enc_title_wh2_dlc_11_skill_node_set_cst_admiral_tech_03	Vampire Fleet Admiral Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_nor_chaos_sorcerer_metal	Chaos Sorcerer (Metal) Skills	true
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_necrotect_ritual	Necrotect Skills	true
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_tomb_king_thutep	Tomb King Skills	true
character_skill_node_sets_enc_title_wh_dlc03_skill_node_set_bst_bray_shaman_death	Bray-Shaman (Death) Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_grn_orc_warboss	Orc Warboss Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_chs_chaos_sorcerer_metal	Chaos Sorcerer (Metal) Skills	true
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_crone	Crone Hellebron Skills	true
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_supreme_sorceress_shadow	Supreme Sorceress (Shadows) Skills	true
character_skill_node_sets_enc_title_wh_dlc08_skill_node_set_chs_challenger_slaanesh	Chaos Challengers Skills	true
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_fleet_captain	Vampire Fleet Captain (Vampires) Skills	true
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_liche_priest_death	Liche Priest Skills	true
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_admiral_fem_deep	Vampire Fleet Admiral Skills	true
character_skill_node_sets_enc_title_wh_dlc03_skill_node_set_bst_gorebull	Gorebull Skills	true
character_skill_node_sets_enc_title_wh_dlc04_skill_node_set_emp_arch_lector	Arch Lector Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_grn_goblin_great_shaman	Goblin Great Shaman Skills	true
character_skill_node_sets_enc_title_wh2_dlc09_skill_node_set_tmb_liche_priest_light	Liche Priest Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_chs_chaos_sorcerer_death	Chaos Sorcerer (Death) Skills	true
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_noctilus	Count Noctilus Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_chs_kholek	Kholek Suneater Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_vmp_necromancer	Necromancer Skills	true
character_skill_node_sets_enc_title_wh2_main_skill_node_set_skv_lord_skrolk	Lord Skrolk Skills	true
character_skill_node_sets_enc_title_wh_dlc07_skill_node_set_brt_damsel_life	Damsel Skills	true
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_aranessa	Aranessa Saltspite Skills	true
character_skill_node_sets_enc_title_wh_pro01_skill_node_set_dwf_grombrindal	Grombrindal Skills	true
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_admiral	Vampire Fleet Admiral Skills	true
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_sorceress_beasts	Sorceress (Beasts) Skills	true
character_skill_node_sets_enc_title_wh2_main_skill_node_set_hef_mage_light	Mage (Light) Skills	true
character_skill_node_sets_enc_title_wh_dlc05_skill_node_set_wef_spellsinger_life	Spellsinger Life Skills	true
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_cylostra	Cylostra Direfin Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_brt_damsel	Damsel Skills	true
character_skill_node_sets_enc_title_wh_dlc03_skill_node_set_bst_bray_shaman_wild	Bray-Shaman (Wild) Skills	true
character_skill_node_sets_enc_title_wh_dlc05_skill_node_set_vmp_red_duke	Red Duke Skills	true
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_ghost_paladin	Damned Paladin Skills	true
character_skill_node_sets_enc_title_wh_dlc08_skill_node_set_chs_challenger_tzeentch	Chaos Challengers Skills	true
character_skill_node_sets_enc_title_wh_dlc06_skill_node_set_dwf_runelord	Runelord Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_brt_louen	King Louen Leoncoeur Skills	true
character_skill_node_sets_enc_title_wh_dlc04_skill_node_set_vmp_vlad_von_carstein	Vlad von Carstein Skills	true
character_skill_node_sets_enc_title_wh2_main_skill_node_set_skv_grey_seer_plague	Grey Seer (Plague) Skills	true
character_skill_node_sets_enc_title_wh_dlc08_skill_node_set_nor_marauder_chieftan	Marauder Chieftan Skills	true
character_skill_node_sets_enc_title_wh2_main_skill_node_set_hef_shadow_walker	Hand of the Shadow Crown Skills	true
character_skill_node_sets_enc_title_wh2_main_skill_node_set_def_dreadlord_fem	Dreadlord Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_emp_bright_wizard	Bright Wizard Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_teb_bright_wizard	Bright Wizard Skills	true
character_skill_node_sets_enc_title_wh2_main_skill_node_set_lzd_skink_chief	Skink Chief Skills	true
character_skill_node_sets_enc_title_wh2_dlc11_skill_node_set_cst_admiral_death	Vampire Fleet Admiral Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_grn_azhag	Azhag the Slaughterer Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_chs_sorcerer_lord_death	Chaos Sorcerer Lord (Death) Skills	true
character_skill_node_sets_enc_title_wh_dlc07_skill_node_set_brt_prophetess_beast	Prophetess (Beast) Skills 	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_chs_chaos_sorcerer_fire	Chaos Sorcerer (Fire) Skills	true
character_skill_node_sets_enc_title_wh_main_skill_node_set_dwf_lord	Dwarf Lord Skills	true
character_skill_node_sets_enc_title_wh2_dlc10_skill_node_set_def_supreme_sorceress_death	Supreme Sorceress (Death) Skills	true
character_skill_node_sets_enc_title_wh_dlc07_skill_node_set_brt_prophetess_heavens	Prophetess (Heaven) Skills 	true
character_skill_node_sets_enc_title_wh2_main_skill_node_set_hef_princess	Princess Skills	true
