Loc PackedFile
Key	Text	Tooltip
culture_settlement_occupation_options_tooltip_5586644	Occupy||{{tr:occupation_decision_occupy}}	true
culture_settlement_occupation_options_tooltip_3024063	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	true
culture_settlement_occupation_options_tooltip_1226602159	Colonise||Settle your troops.	true
culture_settlement_occupation_options_tooltip_1984548064	Resettle||With no regions currently under your control, you have the option to settle your army here.	true
culture_settlement_occupation_options_tooltip_1808714346	Resettle||With no regions currently under your control, you have the option to settle your army here.	true
culture_settlement_occupation_options_tooltip_1182397706	Do Nothing||Leave the settlement as it stands.	true
culture_settlement_occupation_options_tooltip_2053788775	Occupy||{{tr:occupation_decision_occupy}}	true
culture_settlement_occupation_options_tooltip_1842488273	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	true
culture_settlement_occupation_options_tooltip_1208400770	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	true
culture_settlement_occupation_options_tooltip_1381451274	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	true
culture_settlement_occupation_options_tooltip_2108916292	Resettle||With no regions currently under your control, you have the option to settle your army here.	true
culture_settlement_occupation_options_tooltip_1417668653	Do Nothing||Leave the settlement as it stands.	true
culture_settlement_occupation_options_tooltip_1508112825	Raze||All buildings are destroyed and the settlement is torched.	true
culture_settlement_occupation_options_tooltip_1044364106	Raze||All buildings are destroyed and the settlement is torched.	true
culture_settlement_occupation_options_tooltip_1554055236	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	true
culture_settlement_occupation_options_tooltip_1666688458	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	true
culture_settlement_occupation_options_tooltip_2137520555	Search Ruins||You will be presented with a puzzle to solve; you will be rewarded if you successfully decipher it.	true
culture_settlement_occupation_options_tooltip_1098319305	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	true
culture_settlement_occupation_options_tooltip_1662205812	Do Nothing||Leave the settlement as it stands.	true
culture_settlement_occupation_options_tooltip_438	Seeding||{{tr:occupation_decision_occupy}}	true
culture_settlement_occupation_options_tooltip_939	Raze||All buildings are destroyed and the settlement is torched.	true
culture_settlement_occupation_options_tooltip_533	Resettle||With no regions currently under your control, you have the option to settle your army here.	true
culture_settlement_occupation_options_tooltip_930	Occupy||{{tr:occupation_decision_occupy}}	true
culture_settlement_occupation_options_tooltip_631	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	true
culture_settlement_occupation_options_tooltip_731	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	true
culture_settlement_occupation_options_tooltip_1827423963	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	true
