Loc PackedFile
Key	Text	Tooltip
diplomacy_strings_string_SKV_Dip_Offer_Peace_Beastmen_02	Beast-things, why we fight? Silly-foolish really, time for peace.	true
diplomacy_strings_string_SKV_Dip_Offer_Peace_Beastmen_01	We sorry-sorry about herdstones, we can have peace?	true
diplomacy_strings_string_DLC11_CST_Dip_Generic_Offer_Highelves_Negative_01	Elves do love the sound of their own voices, don’t they? Now shut up and listen!	true
diplomacy_strings_string_DLC11_CST_Dip_Generic_Offer_Highelves_Negative_02	Although I’m here to negotiate, we both know I’d rather be burning Ulthuan’s cities to the ground!	true
diplomacy_strings_string_SKV_Dip_Rejection_HighElves_Neutral_01	When you offer-give us your island, then we talk-squeak!	true
diplomacy_strings_string_SKV_Dip_Rejection_HighElves_Neutral_02	What you offer is too pure for us, Elf-thing.	true
diplomacy_strings_string_DWF_Ungrim_Dip_Bretonnia_Acceptance_Neutral_01	A tacit agreement it is. Keep your side, umgi.	true
diplomacy_strings_string_DWF_Ungrim_Dip_Bretonnia_Acceptance_Neutral_02	Let us toast to an accord, but not with that donkey drek you consider drink.	true
diplomacy_strings_string_TEB_Dip_Generic_Offer_Chaos_Positive_02	Will you not parley, instead of such senseless slaughter?	true
diplomacy_strings_string_TEB_Dip_Generic_Offer_Chaos_Positive_01	Come, servant of Chaos, why not accept our offer? 	true
diplomacy_strings_string_LZD_Dip_Rejection_Greenskin_Neutral_01	Never, war-creature!	true
diplomacy_strings_string_ORC_Dip_Generic_Offer_Dwarf_Negative_01	Stinkin' stunty gits! Yoo will listen or we'll take another of your Holdz! 	true
diplomacy_strings_string_HE_Dip_Rejection_Greenskin_Positive_01	You have managed to string a sentence together, clever Greenskin! The answer is still no.	true
diplomacy_strings_string_HE_Dip_Rejection_Greenskin_Positive_02	You have done well, for a Greenskin, but I still reject your offer.	true
diplomacy_strings_string_LZD_Dip_Rejection_Greenskin_Neutral_02	Your lust for war is of no interest to us.	true
diplomacy_strings_string_ORC_Dip_Generic_Offer_Dwarf_Negative_02	Oi! Listen up stunties or we'll chop off yer beards! 	true
diplomacy_strings_string_DLC09_LZD_Dip_Generic_Offer_TombKings_Negative_02	Tomb-spawn! Clear the sand from your skulls!	true
diplomacy_strings_string_DLC09_LZD_Dip_Generic_Offer_TombKings_Negative_01	Abominations! You will hear my words!	true
diplomacy_strings_string_LZD_Dip_Rejection_WoodElves_Negative_01	Your race is an anomaly and must be removed!	true
diplomacy_strings_string_LZD_Dip_Rejection_WoodElves_Negative_02	Leave, while you still draw breath!	true
diplomacy_strings_string_diplomatic_option_cancel_defensive_alliance_warning	End Defensive Alliance||Do you want to end your [[img:icon_defensive_alliance]][[/img]]defensive alliance with this faction?	true
diplomacy_strings_string_wh_dlc03_BM_Dip_Rejection_Internecine_Negative_02	I make you in to war horn!	true
diplomacy_strings_string_wh_dlc03_BM_Dip_Rejection_Internecine_Negative_01	Never! I add your pelt to my totem! 	true
diplomacy_strings_string_LZD_Dip_Acceptance_WoodElves_Positive_01	Your offer is a fair one, agreed.	true
diplomacy_strings_string_wh_dlc05_WE_Dip_Acceptance_Chaos_Positive_01	Very well, I agree.	true
diplomacy_strings_string_LZD_Dip_Acceptance_WoodElves_Positive_02	What you offer is reasonable.	true
diplomacy_strings_string_wh_dlc05_WE_Dip_Acceptance_Chaos_Positive_02	You know not what you do. I agree, you strange creature of Chaos.	true
diplomacy_strings_string_DWF_Thor_Dip_Dwarf_Rejection_Negative_01	You are banished from my halls. Never show your beards again!!! 	true
diplomacy_strings_string_wh_dlc06_DWF_Belegar_Dip_Emp_Greet_Pos_02	Men of the Empire, what brings you here?	true
diplomacy_strings_string_wh_dlc05_WE_Dip_Acceptance_Inter_Negative_02	You have pulled us down this dark road, are you happy?!	true
