Loc PackedFile
Key	Text	Tooltip
event_feed_targeted_events_title_diplomacy_treaty_broken_defensive_alliance_manipulatedevent_feed_target_diplomacy_recipient	Defensive Alliance Broken	true
event_feed_targeted_events_title_military_army_raisedevent_feed_target_military_force_faction	Army Raised	true
event_feed_targeted_events_title_faction_horde_endsevent_feed_target_capital_faction	The Horde Settles	true
event_feed_targeted_events_title_faction_resource_lostevent_feed_target_settlement_faction	Resource Lost	true
event_feed_targeted_events_title_character_ancillary_lostevent_feed_target_character_faction	#(ancillary.subcategory) Lost	true
event_feed_targeted_events_title_ritual_started_oursevent_feed_target_human_faction	Ritual Started!	true
event_feed_targeted_events_title_conquest_province_securedevent_feed_target_province_faction	Province Secured	true
event_feed_targeted_events_title_character_ready_for_duty_starting_generalevent_feed_target_character_faction	Legendary Lord Available	true
event_feed_targeted_events_title_hidden_settlement_exposedevent_feed_target_faction	Skaven Revealed!	true
event_feed_targeted_events_title_scripted_transient_located_eventevent_feed_target_faction	#(title)	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_non_aggression_pactevent_feed_target_diplomacy_recipient	Non-Aggression Pact Negotiated	true
event_feed_targeted_events_title_conquest_settlement_capital_capturedevent_feed_target_conquest_captured_from	Capital Lost!	true
event_feed_targeted_events_title_faction_resource_gainedevent_feed_target_settlement_faction	Resource Gained	true
event_feed_targeted_events_title_military_companion_army_destroyedevent_feed_target_parent_faction	{{tr:military_companion_army_destroyed}}	true
event_feed_targeted_events_title_conquest_sea_region_contestedevent_feed_target_owner	Sea Region Contested	true
event_feed_targeted_events_title_conquest_settlement_surrender_warningevent_feed_target_settlement_faction	Surrender Imminent!	true
event_feed_targeted_events_title_character_ready_for_dutyevent_feed_target_character_faction	Ready for Duty	true
event_feed_targeted_events_title_military_companion_army_oursevent_feed_target_parent_faction	{{tr:military_companion_army_ours}}	true
event_feed_targeted_events_title_character_loyalty_not_low_anymoreevent_feed_target_character_faction	Loyal Again	true
event_feed_targeted_events_title_provinces_unrest_rebellionevent_feed_target_province_faction	{{tr:provinces_unrest_rebellion}}	true
event_feed_targeted_events_title_agent_action_vs_armyevent_feed_target_agent_faction	Hero Activity	true
event_feed_targeted_events_title_diplomacy_treaty_broken_tradeevent_feed_target_diplomacy_recipient	Trade Agreement Broken	true
event_feed_targeted_events_title_diplomacy_treaty_broken_defensive_allianceevent_feed_target_diplomacy_actor	Defensive Alliance Broken	true
event_feed_targeted_events_title_conquest_battleevent_feed_target_conquest_battle_attacker	#(battle_info)	true
event_feed_targeted_events_title_provinces_food_shortageevent_feed_target_province_faction	Food Shortage!	true
event_feed_targeted_events_title_agent_action_vs_settlementevent_feed_target_target_faction	Hostile Hero Activity!	true
event_feed_targeted_events_title_provinces_unseasonal_conditionsevent_feed_target_province_faction	Unseasonal Conditions	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_peaceevent_feed_target_diplomacy_actor	Peace Negotiated	true
event_feed_targeted_events_title_diplomacy_war_declaredevent_feed_target_diplomacy_recipient	War Declared	true
event_feed_targeted_events_title_character_loyalty_not_critical_anymoreevent_feed_target_character_faction	Loyalty Crisis Averted	true
event_feed_targeted_events_title_horde_food_shortageevent_feed_target_military_force_faction	Food Shortage!	true
event_feed_targeted_events_title_character_woundedevent_feed_target_character_faction	Wounded!	true
event_feed_targeted_events_title_horde_building_demolishedevent_feed_target_building_faction	Demolition Complete	true
event_feed_targeted_events_title_diplomacy_treaty_negotiated_tradeevent_feed_target_diplomacy_actor	Trade Agreement Negotiated	true
event_feed_targeted_events_title_diplomacy_treaty_broken_non_aggression_pact_manipulatedevent_feed_target_diplomacy_recipient	Non-Aggression Pact Broken	true
event_feed_targeted_events_title_agent_action_vs_characterevent_feed_target_target_faction	Hostile Hero Activity!	true
event_feed_targeted_events_title_provinces_settlement_remove_foreign_slotevent_feed_target_faction	Pirate Cove Removed	true
event_feed_targeted_events_title_provinces_settlement_abandonedevent_feed_target_settlement_faction	Settlement Abandoned!	true
event_feed_targeted_events_title_diplomacy_treaty_broken_non_aggression_pactevent_feed_target_diplomacy_actor	Non-Aggression Pact Broken	true
event_feed_targeted_events_title_military_ambusher_discovered_yoursevent_feed_target_ambusher_faction	{{tr:ambush_foiled_title}}	true
event_feed_targeted_events_title_conquest_settlement_capturedevent_feed_target_conquest_captured_from	Settlement Lost!	true
