Loc PackedFile
Key	Text	Tooltip
factions_screen_name_when_shogun_wh2_main_rogue_black_spider_tribe	 	true
factions_screen_adjective_wh_dlc08_nor_norsca	Norse	true
factions_screen_name_wh_main_grn_red_fangs	Red Fangs	true
factions_screen_name_when_shogun_wh_main_grn_teef_snatchaz	 	true
factions_screen_name_wh2_main_lzd_tlaxtlan	Tlaxtlan	true
factions_defend_desc_wh2_dlc11_cst_noctilus_separatists	You are defending against the Dreadfleet!	true
factions_screen_name_wh_main_grn_bloody_spearz_waaagh	Bloody Spearz Waaagh!	true
factions_attack_desc_wh_main_grn_bloody_spearz_waaagh	You are attacking Bloody Spearz!	true
factions_attack_desc_wh_dlc08_chs_chaos_challenger_tzeentch_qb	You are attacking the Challenger of the Eagle!	true
factions_clan_summary_name_wh2_dlc09_tmb_tomb_kings_rebels	 	true
factions_attack_desc_wh2_main_nor_hung_incursion_lzd	You are attacking the Warband of the Serpent!	true
factions_clan_summary_name_wh2_main_bst_shadowgor_brayherd	 	true
factions_clan_summary_name_when_shogun_wh2_main_def_clar_karond	 	true
factions_clan_summary_name_when_shogun_wh2_main_lzd_lizardmen	 	true
factions_clan_summary_name_wh2_main_def_har_ganeth	 	true
factions_clan_summary_name_wh2_dlc11_def_the_blessed_dread	 	true
factions_screen_name_wh2_dlc11_cst_rogue_bleak_coast_buccaneers	Bleak Coast Buccaneers	true
factions_attack_desc_wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	You are attacking the Terrors of the Dark Straits!	true
factions_clan_summary_name_wh2_dlc11_cst_the_drowned_separatists	 	true
factions_senator_text_n_out_of_n_wh_main_vmp_vampire_rebels		true
factions_screen_adjective_wh2_dlc11_def_dark_elves_dil	Dark Elf Slavers	true
factions_screen_name_wh2_dlc09_tmb_tombking_qb4	Tomb Kings	true
factions_screen_name_wh2_dlc09_tmb_tombking_qb1	Tomb Kings	true
factions_defend_desc_att_fact_blue	You are defending against Red Shield!	true
factions_screen_name_wh2_dlc09_tmb_tombking_qb3	Tomb Kings	true
factions_screen_name_when_rebels_wh2_main_dwf_spine_of_sotek_dwarfs	Spine of Sotek Dwarf Rebels	true
factions_screen_name_wh2_dlc09_tmb_tombking_qb2	Tomb Kings	true
factions_screen_name_when_shogun_wh_dlc05_wef_wood_elves_qb2	 	true
factions_screen_name_when_shogun_wh_dlc05_wef_wood_elves_qb3	 	true
factions_screen_name_when_shogun_wh_dlc05_wef_wood_elves_qb1	 	true
factions_screen_adjective_wh2_main_dwf_greybeards_prospectors	Greybeard's Prospector	true
factions_clan_summary_name_wh_main_grn_skullsmasherz	 	true
factions_defend_desc_wh_main_grn_black_venom	You are defending against Black Venom!	true
factions_defend_desc_wh2_main_rogue_teef_snatchaz	You are defending against the Teef Snatchaz!	true
factions_screen_name_when_rebels_wh_main_emp_empire	Empire Rebels	true
factions_screen_name_wh2_main_hef_ellyrion	Ellyrion	true
factions_defend_desc_wh2_main_skv_clan_eshin	You are defending against Clan Eshin!	true
factions_defend_desc_wh2_main_nor_hung_incursion_def	You are defending against the Warband of the Hound!	true
factions_defend_desc_wh2_main_nor_hung_incursion_hef	You are defending against the Warband of the Eagle!	true
factions_clan_summary_name_wh_main_brt_bretonnia_qb1	 	true
factions_senator_text_n_out_of_n_wh_main_emp_nordland		true
factions_clan_summary_name_wh_main_brt_bretonnia_qb3	 	true
factions_clan_summary_name_wh_main_brt_bretonnia_qb2	 	true
factions_screen_name_when_shogun_wh2_dlc09_tmb_tombking_qb_khemri	 	true
factions_attack_desc_wh_dlc05_wef_wood_elves	You are attacking Wood Elves!	true
factions_clan_summary_name_wh_main_dwf_karak_ziflin	 	true
factions_attack_desc_wh2_main_skv_unknown_clan_lzd	You are attacking an unknown Skaven clan!	true
factions_clan_summary_name_when_shogun_wh2_main_lzd_teotiqua	 	true
factions_screen_name_when_rebels_wh_main_teb_border_princes_rebels	Border Princes Rebels	true
factions_screen_adjective_wh2_dlc11_cst_shanty_shark_straight_seadogs	Shark Strait Seadogs	true
factions_clan_summary_name_when_shogun_wh2_dlc11_cst_shanty_middle_sea_brigands	 	true
factions_screen_adjective_wh_main_teb_border_princes_rebels	Border Princes	true
factions_screen_name_when_rebels_wh_dlc08_nor_wintertooth	Norsca Rebels	true
factions_defend_desc_wh2_main_skv_clan_pestilens_separatists	You are defending against Clan Pestilens Separatists!	true
factions_senator_text_n_out_of_n_wh_main_dwf_dwarfs_seperatists_qb3		true
factions_screen_name_wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	The Boyz of the Forbidden Coast	true
factions_senator_text_n_out_of_n_wh_main_dwf_dwarfs_seperatists_qb2		true
factions_senator_text_n_out_of_n_wh_main_dwf_dwarfs_seperatists_qb1		true
factions_screen_name_wh_dlc08_chs_chaos_challenger_nurgle_qb	Challenger of the Crow	true
factions_senator_text_n_out_of_n_wh_main_dwf_dwarfs_seperatists_qb4		true
factions_clan_summary_name_wh2_main_vmp_the_silver_host	 	true
factions_screen_name_wh2_main_rogue_doomseekers_qb1	Doomseekers	true
factions_screen_name_wh_dlc05_bst_morghur_herd	Warherd of the Shadowgave	true
factions_senator_text_n_out_of_n_wh2_main_def_the_forgebound		true
factions_attack_desc_wh2_dlc09_tmb_followers_of_nagash	You are attacking the Followers of Nagash!	true
factions_screen_name_when_shogun_wh_main_teb_tilea	 	true
factions_screen_name_when_rebels_wh_main_vmp_schwartzhafen	Von Carstein Rebels	true
factions_screen_adjective_wh2_main_lzd_lizardmen_intervention	Lizardmen	true
factions_screen_name_when_shogun_wh2_main_dwf_spine_of_sotek_dwarfs	 	true
factions_screen_name_when_shogun_wh2_main_hef_high_elves_qb4	 	true
factions_screen_name_when_shogun_wh2_main_bst_stone_horn_brayherd	 	true
factions_screen_name_when_shogun_wh2_main_hef_high_elves_qb1	 	true
factions_screen_name_when_shogun_wh2_main_hef_high_elves_qb2	 	true
factions_screen_name_when_shogun_wh2_main_hef_high_elves_qb3	 	true
factions_screen_name_when_shogun_wh2_main_def_dark_elves_qb4	 	true
factions_screen_name_when_shogun_wh2_main_def_dark_elves_qb1	 	true
factions_screen_name_when_rebels_wh_main_emp_empire_qb_intro	Altdorf Garrison	true
factions_screen_name_when_shogun_wh2_main_def_dark_elves_qb2	 	true
factions_screen_name_when_shogun_wh2_main_def_dark_elves_qb3	 	true
factions_senator_text_n_out_of_n_wh2_main_def_naggarond_separatists		true
factions_defend_desc_wh2_main_lzd_lizardmen_rebels	You are defending against Lizardmen rebels!	true
factions_screen_name_wh2_main_hef_cothique	Cothique	true
