Loc PackedFile
Key	Text	Tooltip
help_page_index_records_text_campaign_building_slots	[[sl:campaign_building_slots]]Building Slots[[/sl]]	true
help_page_index_records_text_campaign_non_aggression_pacts	[[sl:campaign_non_aggression_pacts]]Non-Aggression Pacts[[/sl]]	true
help_page_index_records_text_battle_artillery	[[sl:battle_artillery]]Artillery[[/sl]]	true
help_page_index_records_text_campaign_unit_info_panel	[[sl:campaign_unit_info_panel]]Unit Info panel[[/sl]]	true
help_page_index_records_text_campaign_drop_down_lists	[[sl:campaign_drop_down_lists]]Drop-Down Lists[[/sl]]	true
help_page_index_records_text_campaign_province_overview_panel	[[sl:campaign_province_overview_panel]]Province Overview panel[[/sl]]	true
help_page_index_records_text_battle_rampaging	[[sl:battle_rampaging]]Rampaging[[/sl]]	true
help_page_index_records_text_battle_murderous_prowess	[[sl:battle_murderous_prowess]]Murderous Prowess[[/sl]]	true
help_page_index_records_text_campaign_public_order	[[sl:campaign_public_order]]{{tr:hp_campaign_public_order_term_title}}[[/sl]]	true
help_page_index_records_text_battle_winds_of_magic	[[sl:battle_winds_of_magic]]Winds of Magic[[/sl]]	true
help_page_index_records_text_battle_battle_interface	[[sl:battle_battle_interface]]Battle Interface[[/sl]]	true
help_page_index_records_text_battle_army_abilities	[[sl:battle_army_abilities]]Army Abilities[[/sl]]	true
help_page_index_records_text_campaign_terrain_types	[[sl:campaign_terrain_types]]Terrain Types[[/sl]]	true
help_page_index_records_text_campaign_ritual_resource_sites	[[sl:campaign_ritual_resource_sites]]Ritual Resource Sites[[/sl]]	true
help_page_index_records_text_campaign_treasury_panel	[[sl:campaign_treasury_panel]]{{tr:hp_campaign_treasury_panel_term_title}}[[/sl]]	true
help_page_index_records_text_campaign_building_panel	[[sl:campaign_building_panel]]Building Panel[[/sl]]	true
help_page_index_records_text_campaign_building_types	[[sl:campaign_building_types]]Building Types[[/sl]]	true
help_page_index_records_text_battle_realm_of_souls	[[sl:battle_realm_of_souls]]Realm of Souls[[/sl]]	true
help_page_index_records_text_campaign_character_info_panel	[[sl:campaign_character_info_panel]]Character Info panel[[/sl]]	true
help_page_index_records_text_campaign_books_of_nagash	[[sl:campaign_books_of_nagash]]Books of Nagash[[/sl]]	true
help_page_index_records_text_campaign_sword_of_khaine	[[sl:campaign_sword_of_khaine]]Sword of Khaine[[/sl]]	true
help_page_index_records_text_campaign_pieces_of_eight	[[sl:campaign_pieces_of_eight]]Pieces of Eight[[/sl]]	true
help_page_index_records_text_campaign_power_of_nature	[[sl:campaign_power_of_nature]]Power of Nature[[/sl]]	true
help_page_index_records_text_battle_camera_controls	[[sl:battle_camera_controls]]Camera Controls[[/sl]]	true
help_page_index_records_text_battle_unit_selection	[[sl:battle_unit_selection]]Unit Selection[[/sl]]	true
help_page_index_records_text_battle_terrain	[[sl:battle_terrain]]Terrain[[/sl]]	true
help_page_index_records_text_battle_wizards	[[sl:battle_wizards]]Wizards[[/sl]]	true
help_page_index_records_text_campaign_pirate_coves	[[sl:campaign_pirate_coves]]Pirate Coves[[/sl]]	true
help_page_index_records_text_battle_unit_abilities	[[sl:battle_unit_abilities]]Unit Abilities[[/sl]]	true
help_page_index_records_text_campaign_vampire_coast	[[sl:campaign_vampire_coast]]Vampire Coast[[/sl]]	true
help_page_index_records_text_campaign_winds_of_magic	[[sl:campaign_winds_of_magic]]Winds of Magic[[/sl]]	true
help_page_index_records_text_campaign_tribal_confederation	[[sl:campaign_tribal_confederation]]Tribal Confederation[[/sl]]	true
help_page_index_records_text_battle_advisor	[[sl:battle_advisor]]Advisor[[/sl]]	true
help_page_index_records_text_campaign_chaos_artefacts	[[sl:campaign_chaos_artefacts]]Chaos Artefacts[[/sl]]	true
help_page_index_records_text_battle_advanced_controls	[[sl:battle_advanced_controls]]Advanced Controls[[/sl]]	true
help_page_index_records_text_battle_grouping	[[sl:battle_grouping]]Grouping[[/sl]]	true
help_page_index_records_text_campaign_skaven_loyalty	[[sl:campaign_skaven_loyalty]]Skaven Loyalty[[/sl]]	true
help_page_index_records_text_campaign_norsca	[[sl:campaign_norsca]]Norsca[[/sl]]	true
help_page_index_records_text_campaign_heroes	[[sl:campaign_heroes]]Heroes[[/sl]]	true
help_page_index_records_text_campaign_hordes	[[sl:campaign_hordes]]Hordes[[/sl]]	true
help_page_index_records_text_campaign_mortal_worlds_torment	[[sl:campaign_mortal_worlds_torment]]Mortal World's Torment[[/sl]]	true
help_page_index_records_text_campaign_intrigue_at_the_court	[[sl:campaign_intrigue_at_the_court]]Intrigue at the Court[[/sl]]	true
help_page_index_records_text_campaign_money	[[sl:campaign_money]]{{tr:hp_campaign_title_money}}[[/sl]]	true
help_page_index_records_text_campaign_amber	[[sl:campaign_amber]]Amber[[/sl]]	true
help_page_index_records_text_campaign_unit_recruitment_panel	[[sl:campaign_unit_recruitment_panel]]Unit Recruitment panel[[/sl]]	true
help_page_index_records_text_campaign_races	[[sl:campaign_races]]Races[[/sl]]	true
help_page_index_records_text_campaign_rites	[[sl:campaign_rites]]Rites[[/sl]]	true
help_page_index_records_text_campaign_loyalty	[[sl:campaign_loyalty]]Loyalty[[/sl]]	true
help_page_index_records_text_battle_rallying	[[sl:battle_rallying]]Rallying[[/sl]]	true
help_page_index_records_text_campaign_trade	[[sl:campaign_trade]]Trade[[/sl]]	true
help_page_index_records_text_campaign_lords	[[sl:campaign_lords]]Lords[[/sl]]	true
help_page_index_records_text_campaign_unit_experience	[[sl:campaign_unit_experience]]Unit Experience[[/sl]]	true
help_page_index_records_text_campaign_elven_council	[[sl:campaign_elven_council]]Elven Council[[/sl]]	true
help_page_index_records_text_campaign_great_vortex	[[sl:campaign_great_vortex]]The Great Vortex[[/sl]]	true
help_page_index_records_text_battle_victory_points	[[sl:battle_victory_points]]Victory Points[[/sl]]	true
help_page_index_records_text_campaign_mortuary_cult	[[sl:campaign_mortuary_cult]]Mortuary Cult[[/sl]]	true
help_page_index_records_text_campaign_army_movement	[[sl:campaign_army_movement]]Army Movement[[/sl]]	true
help_page_index_records_text_campaign_faction_summary_screen	[[sl:campaign_faction_summary_screen]]Faction Summary screen[[/sl]]	true
help_page_index_records_text_campaign_geomantic_web	[[sl:campaign_geomantic_web]]Geomantic Web[[/sl]]	true
help_page_index_records_text_battle_spells	[[sl:battle_spells]]Spells[[/sl]]	true
help_page_index_records_text_campaign_chaos	[[sl:campaign_chaos]]Chaos[[/sl]]	true
help_page_index_records_text_campaign_quests	[[sl:campaign_quests]]Quests[[/sl]]	true
help_page_index_records_text_campaign_reinforcements	[[sl:campaign_reinforcements]]Reinforcements[[/sl]]	true
help_page_index_records_text_campaign_revolts	[[sl:campaign_revolts]]{{tr:hp_campaign_title_revolts}}[[/sl]]	true
help_page_index_records_text_campaign_stances	[[sl:campaign_stances]]Stances[[/sl]]	true
help_page_index_records_text_campaign_armies	[[sl:campaign_armies]]Armies[[/sl]]	true
help_page_index_records_text_campaign_income	[[sl:campaign_income]]Income[[/sl]]	true
help_page_index_records_text_campaign_autoresolving	[[sl:campaign_autoresolving]]Autoresolving[[/sl]]	true
help_page_index_records_text_campaign_turns	[[sl:campaign_turns]]Turns[[/sl]]	true
help_page_index_records_text_campaign_infamy	[[sl:campaign_infamy]]Infamy[[/sl]]	true
help_page_index_records_text_battle_capture_points	[[sl:battle_capture_points]]Capture Points[[/sl]]	true
help_page_index_records_text_campaign_bestial_rage	[[sl:campaign_bestial_rage]]Bestial Rage[[/sl]]	true
help_page_index_records_text_campaign_armies_at_sea	[[sl:campaign_armies_at_sea]]Armies at Sea[[/sl]]	true
help_page_index_records_text_campaign_siege_weapons	[[sl:campaign_siege_weapons]]Siege Weapons[[/sl]]	true
help_page_index_records_text_campaign_blood_voyage	[[sl:campaign_blood_voyage]]Blood Voyage[[/sl]]	true
help_page_index_records_text_campaign_canopic_jars	[[sl:campaign_canopic_jars]]Canopic Jars[[/sl]]	true
help_page_index_records_text_campaign_fortifications	[[sl:campaign_fortifications]]Fortifications[[/sl]]	true
help_page_index_records_text_campaign_hero_actions	[[sl:campaign_hero_actions]]Hero Actions[[/sl]]	true
help_page_index_records_text_campaign_amanar	[[sl:campaign_amanar]]Amanar[[/sl]]	true
help_page_index_records_text_campaign_ritual_currency	[[sl:campaign_ritual_currency]]Ritual Currency[[/sl]]	true
help_page_index_records_text_battle_flanking	[[sl:battle_flanking]]Flanking[[/sl]]	true
help_page_index_records_text_battle_ambush_battles	[[sl:battle_ambush_battles]]Ambush Battles[[/sl]]	true
help_page_index_records_text_campaign_strategic_map	[[sl:campaign_strategic_map]]Strategic Overview[[/sl]]	true
help_page_index_records_text_campaign_grudges	[[sl:campaign_grudges]]Grudges[[/sl]]	true
help_page_index_records_text_campaign_dwarfs	[[sl:campaign_dwarfs]]Dwarfs[[/sl]]	true
help_page_index_records_text_campaign_commandments	[[sl:campaign_commandments]]Commandments[[/sl]]	true
help_page_index_records_text_campaign_garrison_armies	[[sl:campaign_garrison_armies]]Garrison Armies[[/sl]]	true
help_page_index_records_text_campaign_ship_building	[[sl:campaign_ship_building]]Shipbuilding[[/sl]]	true
help_page_index_records_text_campaign_plagues	[[sl:campaign_plagues]]Plagues[[/sl]]	true
help_page_index_records_text_campaign_razing	[[sl:campaign_razing]]Razing[[/sl]]	true
help_page_index_records_text_campaign_rogue_armies	[[sl:campaign_rogue_armies]]Rogue Armies[[/sl]]	true
help_page_index_records_text_campaign_advisor	[[sl:campaign_advisor]]Advisor[[/sl]]	true
help_page_index_records_text_campaign_treasure_maps	[[sl:campaign_treasure_maps]]Treasure Maps[[/sl]]	true
help_page_index_records_text_campaign_horde_growth	[[sl:campaign_horde_growth]]Horde Growth[[/sl]]	true
help_page_index_records_text_campaign_units	[[sl:campaign_units]]Units[[/sl]]	true
help_page_index_records_text_campaign_siege_warfare	[[sl:campaign_siege_warfare]]Siege Warfare[[/sl]]	true
help_page_index_records_text_campaign_ports	[[sl:campaign_ports]]Ports[[/sl]]	true
help_page_index_records_text_campaign_campaign_game	[[sl:campaign_campaign_game]]Campaign Game[[/sl]]	true
help_page_index_records_text_campaign_missions_list	[[sl:campaign_missions_list]]Missions List[[/sl]]	true
help_page_index_records_text_campaign_green_knight	[[sl:campaign_green_knight]]Green Knight[[/sl]]	true
help_page_index_records_text_battle_infantry	[[sl:battle_infantry]]Infantry[[/sl]]	true
help_page_index_records_text_campaign_raising_forces	[[sl:campaign_raising_forces]]Raising Armies[[/sl]]	true
help_page_index_records_text_campaign_gods	[[sl:campaign_gods]]Allegiance to the Gods[[/sl]]	true
help_page_index_records_text_campaign_raiding	[[sl:campaign_raiding]]Raiding[[/sl]]	true
help_page_index_records_text_campaign_character_details_panel	[[sl:campaign_character_details_panel]]Character Details panel[[/sl]]	true
help_page_index_records_text_campaign_blessing_lady	[[sl:campaign_blessing_lady]]Blessing of the Lady[[/sl]]	true
help_page_index_records_text_campaign_unit_exchange	[[sl:campaign_unit_exchange]]Unit Exchange[[/sl]]	true
help_page_index_records_text_campaign_sea_shanties	[[sl:campaign_sea_shanties]]The Lost Sea Shanty[[/sl]]	true
help_page_index_records_text_battle_fortifications	[[sl:battle_fortifications]]Fortifications[[/sl]]	true
help_page_index_records_text_campaign_campaign_map	[[sl:campaign_campaign_map]]Campaign Map[[/sl]]	true
help_page_index_records_text_campaign_empire	[[sl:campaign_empire]]Empire[[/sl]]	true
help_page_index_records_text_campaign_offices	[[sl:campaign_offices]]Offices[[/sl]]	true
help_page_index_records_text_battle_vigour	[[sl:battle_vigour]]Vigour[[/sl]]	true
help_page_index_records_text_campaign_skaven	[[sl:campaign_skaven]]Skaven[[/sl]]	true
help_page_index_records_text_campaign_fleet_office	[[sl:campaign_fleet_office]]Fleet Office[[/sl]]	true
help_page_index_records_text_campaign_slaves	[[sl:campaign_slaves]]Slaves[[/sl]]	true
help_page_index_records_text_battle_armies	[[sl:battle_armies]]Armies[[/sl]]	true
help_page_index_records_text_campaign_confederation	[[sl:campaign_confederation]]Confederation[[/sl]]	true
help_page_index_records_text_campaign_rituals	[[sl:campaign_rituals]]Rituals[[/sl]]	true
help_page_index_records_text_battle_monsters	[[sl:battle_monsters]]Monsters & Giants[[/sl]]	true
help_page_index_records_text_campaign_raising_dead	[[sl:campaign_raising_dead]]Raising Dead[[/sl]]	true
help_page_index_records_text_battle_reinforcements	[[sl:battle_reinforcements]]Reinforcements[[/sl]]	true
help_page_index_records_text_campaign_waaagh	[[sl:campaign_waaagh]]Waaagh![[/sl]]	true
help_page_index_records_text_campaign_food	[[sl:campaign_food]]Food[[/sl]]	true
help_page_index_records_text_campaign_battles	[[sl:campaign_battles]]Battles[[/sl]]	true
help_page_index_records_text_campaign_asrai_lookouts	[[sl:campaign_asrai_lookouts]]Asrai Lookouts[[/sl]]	true
help_page_index_records_text_campaign_rogue_pirates	[[sl:campaign_rogue_pirates]]Rogue Pirates[[/sl]]	true
help_page_index_records_text_campaign_growth	[[sl:campaign_growth]]Growth[[/sl]]	true
help_page_index_records_text_battle_missile_units	[[sl:battle_missile_units]]Missile Units[[/sl]]	true
help_page_index_records_text_campaign_astromancy	[[sl:campaign_astromancy]]Astromancy[[/sl]]	true
help_page_index_records_text_battle_extra_powder	[[sl:battle_extra_powder]]Extra Powder[[/sl]]	true
help_page_index_records_text_campaign_settlement_climates	[[sl:campaign_settlement_climates]]Settlement Climates[[/sl]]	true
help_page_index_records_text_campaign_province_management	[[sl:campaign_province_management]]Province Management[[/sl]]	true
help_page_index_records_text_campaign_banners_and_marks	[[sl:campaign_banners_and_marks]]Banners & Marks[[/sl]]	true
help_page_index_records_text_battle_tactical_map	[[sl:battle_tactical_map]]Tactical Map[[/sl]]	true
help_page_index_records_text_campaign_lizardmen	[[sl:campaign_lizardmen]]Lizardmen[[/sl]]	true
help_page_index_records_text_campaign_dynasties	[[sl:campaign_dynasties]]Dynasties[[/sl]]	true
