Loc PackedFile
Key	Text	Tooltip
ministerial_positions_strings_on_screen_wh2_dlc11_minister_cst_quartermaster_description	The secretary ensures quartermasters have everything they need to keep their vessels on course and on time.	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_faction_leader_durthu	The Eldest of Ancients	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_the_tricksters_masque	The Trickster's Masque	true
ministerial_positions_strings_on_screen_wh_main_minister_string_emp_reiksmarshal_description	The Reiksmarshal is captain of the Reiksguard and the Empire’s senior military commander.	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_faction_leader	The King in the Woods	true
ministerial_positions_strings_on_screen_wh2_dlc11_minister_cst_boatswain	Fleet Engineer	true
ministerial_positions_strings_on_screen_wh2_dlc11_minister_cst_beast_master	Fleet Beastmaster	true
ministerial_positions_strings_on_screen_wh2_dlc11_minister_cst_deck_sargent	Fleet Warrant Admiral	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_ancient_of_delliandra	Ancient of Delliandra	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_protector_of_the_oak	Protector of the Oak	true
ministerial_positions_strings_on_screen_wh_main_minister_string_emp_spymaster	Spymaster	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_ancient_of_druthandor	Ancient of Druthandor	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_warden_of_the_wildwood	Warden of the Wildwood	true
ministerial_positions_strings_on_screen_wh2_dlc11_minister_cst_fleet_admiral_description	This grand admiral commands the entire fleet of ships, making the death-and-death decisions that effect the entire enterprise.	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_starlight_craftsman	Starlight Craftsman	true
ministerial_positions_strings_on_screen_wh_main_minister_string_emp_treasurer	Treasurer	true
ministerial_positions_strings_on_screen_wh_main_minister_string_emp_faction_leader_empire_description	Elected sovereign, Protector of the Empire, Defiler of the Dark and wielder of Skull Splitter.	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_warden_of_the_wildwood_desc	Though their protectorate is vast, the Warden discharges his sacred duty with endless determination.	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_ancient_of_threllock	Ancient of Threllock	true
ministerial_positions_strings_on_screen_wh2_dlc11_minister_cst_sailing_master_description	The sailing admiral is responsible for all matters concerning navigation.	true
ministerial_positions_strings_on_screen_wh_main_minister_string_emp_supreme_patriarch	Patriarch	true
ministerial_positions_strings_on_screen_wh2_dlc11_minister_cst_gunnery_chieftain	Fleet Gunnery Master	true
ministerial_positions_strings_on_screen_wh_main_minister_string_emp_arch_lector_description	One of the two Arch Lectors will often be at the Emperor’s court, speaking with the Grand Theogonist’s voice on all religious matters.	true
ministerial_positions_strings_on_screen_wh2_dlc11_minister_cst_log_keeper	Fleet Treasurer	true
ministerial_positions_strings_on_screen_wh2_dlc11_minister_cst_first_mate	Fleet Enforcement Admiral	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_faction_leader_desc	Orion is the Master of the Hunt and Ariel’s chosen consort. In the forest, his word is law.	true
ministerial_positions_strings_on_screen_placeholder	[PH]	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_elder_speaker	Elder Speaker	true
ministerial_positions_strings_on_screen_wh_main_minister_string_emp_castellan-engineer_description	Amongst his other titles, the Castellan-Engineer is the Defender of the Walls, charged with ensuring the capital never succumbs to siege.	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_ancient_of_talrennic	Ancient of Talrennic	true
ministerial_positions_strings_on_screen_wh2_dlc11_minister_cst_sailing_master	Fleet Sailing Admiral	true
ministerial_positions_strings_on_screen_wh_main_minister_string_emp_faction_leader_empire	Emperor	true
ministerial_positions_strings_on_screen_wh2_dlc11_minister_cst_gunnery_chieftain_description	Dirty guns either don't fire or blow up their gun crews. The gunnery master makes sure no aspect of cannon maintenance is missed.	true
ministerial_positions_strings_on_screen_wh_main_minister_string_emp_supreme_patriarch_description	A master of the Colleges of Magic, the Emperor’s current advisor on all things magical when the Supreme Patriarch is unavailable.	true
ministerial_positions_strings_on_screen_wh_dlc05_minister_string_wef_protector_of_the_oak_desc	Charged with the most sacred of duties; to defend Yn Edri Eternos against all evils.	true
ministerial_positions_strings_on_screen_wh_main_minister_string_emp_arch_lector	Arch Lector	true
