Loc PackedFile
Key	Text	Tooltip
mortuary_cult_categories_localised_description_wh2_dlc09_talismans	Talisman Crafted!	true
mortuary_cult_categories_localised_description_wh2_dlc10_talismans	Talisman Forged!	true
mortuary_cult_categories_craft_button_text_wh2_dlc09_regiments_of_renown	Awaken	true
mortuary_cult_categories_localised_description_wh2_dlc10_enchanted_items	Enchanted Item Forged!	true
mortuary_cult_categories_localised_name_wh2_dlc09_weapons	Weapons	true
mortuary_cult_categories_localised_description_wh2_dlc09_enchanted_items	Enchanted Item Crafted!	true
mortuary_cult_categories_localised_name_wh2_dlc10_weapons	Weapons	true
mortuary_cult_categories_localised_button_description_wh2_dlc10_armour	All items forged will be added to your magical items pool; a character can be equipped with items from their Character Details panel.	true
mortuary_cult_categories_localised_button_description_wh2_dlc09_armour	All items crafted will be added to your magical items pool; a character can be equipped with items from their Character Details panel.	true
mortuary_cult_categories_localised_button_description_wh2_dlc09_weapons	All items crafted will be added to your magical items pool; a character can be equipped with items from their Character Details panel.	true
mortuary_cult_categories_localised_button_description_wh2_dlc10_weapons	All items forged will be added to your magical items pool; a character can be equipped with items from their Character Details panel.	true
mortuary_cult_categories_localised_description_wh2_dlc10_armour	Armour Forged!	true
mortuary_cult_categories_localised_description_wh2_dlc09_armour	Armour Crafted!	true
mortuary_cult_categories_localised_name_wh2_dlc09_arcane_items	Arcane Items	true
mortuary_cult_categories_localised_description_wh2_dlc09_weapons	Weapon Crafted!	true
mortuary_cult_categories_localised_name_wh2_dlc10_enchanted_items	Enchanted Items	true
mortuary_cult_categories_localised_description_wh2_dlc10_weapons	Weapon Forged!	true
mortuary_cult_categories_localised_name_wh2_dlc09_enchanted_items	Enchanted Items	true
mortuary_cult_categories_localised_button_description_wh2_dlc10_enchanted_items	All items forged will be added to your magical items pool; a character can be equipped with items from their Character Details panel.	true
mortuary_cult_categories_localised_button_description_wh2_dlc09_enchanted_items	All items crafted will be added to your magical items pool; a character can be equipped with items from their Character Details panel.	true
mortuary_cult_categories_localised_name_wh2_dlc09_talismans	Talismans	true
mortuary_cult_categories_localised_name_wh2_dlc10_talismans	Talismans	true
mortuary_cult_categories_localised_name_wh2_dlc10_armour	Armour	true
mortuary_cult_categories_localised_name_wh2_dlc09_armour	Armour	true
mortuary_cult_categories_craft_button_text_wh2_dlc09_arcane_items	Craft	true
mortuary_cult_categories_craft_button_text_wh2_dlc10_weapons	Forge	true
mortuary_cult_categories_craft_button_text_wh2_dlc09_weapons	Craft	true
mortuary_cult_categories_localised_name_wh2_dlc09_regiments_of_renown	Legions of Legend	true
mortuary_cult_categories_localised_description_wh2_dlc09_arcane_items	Arcane Item Crafted!	true
mortuary_cult_categories_localised_button_description_wh2_dlc09_regiments_of_renown	Legions of Legend: Once awoken, these elite units will be available for recruitment from the Regiments of Renown panel. 

 A New Dynasty: Expands the number of armies you can field by making new Lords available for recruitment.	true
mortuary_cult_categories_localised_description_wh2_dlc09_regiments_of_renown	Awakened!	true
mortuary_cult_categories_craft_button_text_wh2_dlc09_talismans	Craft	true
mortuary_cult_categories_craft_button_text_wh2_dlc10_talismans	Forge	true
mortuary_cult_categories_craft_button_text_wh2_dlc09_armour	Craft	true
mortuary_cult_categories_craft_button_text_wh2_dlc10_armour	Forge	true
mortuary_cult_categories_craft_button_text_wh2_dlc09_enchanted_items	Craft	true
mortuary_cult_categories_craft_button_text_wh2_dlc10_enchanted_items	Forge	true
mortuary_cult_categories_localised_button_description_wh2_dlc09_arcane_items	All items crafted will be added to your magical items pool; a character can be equipped with items from their Character Details panel.	true
mortuary_cult_categories_localised_button_description_wh2_dlc09_talismans	All items crafted will be added to your magical items pool; a character can be equipped with items from their Character Details panel.	true
mortuary_cult_categories_localised_button_description_wh2_dlc10_talismans	All items forged will be added to your magical items pool; a character can be equipped with items from their Character Details panel.	true
