Loc PackedFile
Key	Text	Tooltip
names_name_72280389	Kalsarikannit	true
names_name_58209983	Fernhavest	true
names_name_58208089	Ya'rik	true
names_name_329979949	Slicin	true
names_name_695829459	Ronny	true
names_name_828447090	Dew	true
names_name_963466196	Fatedshield	true
names_name_208432899	Leviathanrage	true
names_name_268801659	Sekhetka	true
names_name_149838258	Arandes	true
names_name_195872653	Tak'sin	true
names_name_410971846	Perahta	true
names_name_569917641	Ashuk the Bloody	true
names_name_909942348	Krill'acha	true
names_name_157557480	Caydrille	true
names_name_462808050	Tefari	true
names_name_543927243	Rak'tazan	true
names_name_229403595	Sam'bal-bei	true
names_name_207870153	Charles	true
names_name_362936346	Isfoph	true
names_name_701845855	Barron von Heastie	true
names_name_288906143	Tressa	true
names_name_371836451	Chargelocke	true
names_name_763901346	Mansvelt	true
names_name_118554284	Setep	true
names_name_424876750	Yanhanza	true
names_name_430446293	the Tearer	true
names_name_788811554	Darkpath	true
names_name_38378183	Flinq-Meppen	true
names_name_36803633	Kooolyse	true
names_name_21269894	Ellsum	true
names_name_14381484	Felicia	true
names_name_59885231	Lustiq-Ni	true
names_name_36926428	Njal	true
names_name_342870749	Mellindirei	true
names_name_636483881	Zajar	true
names_name_919816647	Ivahrr	true
names_name_398956058	Carpuchine	true
names_name_722999650	Haupt-Anderssen	true
names_name_631989057	Pustin	true
names_name_635561999	Vashnaar the Hound	true
names_name_832962557	Khalin	true
names_name_898828143	Alarielle the Radiant	true
names_name_901835743	Enji-Benqi	true
names_name_965977957	Vomic	true
names_name_917825143	Mariam	true
names_name_397880040	To'kay	true
names_name_702497584	Trab	true
names_name_530516891	Garer	true
names_name_846892544	Gricelda	true
names_name_856585895	Milttton	true
names_name_447503290	Svanvir	true
names_name_500901051	Jacqueline	true
names_name_217825847	Kobalt	true
names_name_219435187	of Mordheim	true
names_name_845478089	Robin	true
names_name_880993557	Haraldrsson	true
names_name_258815742	Josefa	true
names_name_103970856	Poisonblade	true
names_name_350864146	Reik-Admiral Houghhoff	true
names_name_724873043	Ilnyshon	true
names_name_789473183	Odin	true
names_name_892894742	Oghren	true
names_name_738802945	Kjarl	true
names_name_49957317	Aiden	true
names_name_22992114	Bastiaan	true
names_name_68143399	Billie	true
names_name_12159699	Mantressa	true
names_name_86899705	von Zherden	true
