Loc PackedFile
Key	Text	Tooltip
pdlc_description_TW_WH2_TRETCH_FREE	Tretch Craventail	true
pdlc_description_TW_WH_BRETONNIA_FREE	Bretonnia	true
pdlc_description_TW_WH_NORSCA	Norsca	true
pdlc_description_TW_WH_ISABELLA_FREE	Isabella von Carstein	true
pdlc_description_TW_WH2_DLC10_QUEEN_CRONE_FREE	Alith Anar	true
pdlc_description_TW_WH_CHAOS	Chaos Warriors	true
pdlc_description_TW_WH2_DLC11_VAMPIRE_COAST	Vampire Coast	true
pdlc_description_TW_WH_GROMBRINDAL	Grombrindal	true
pdlc_description_TW_WH2_DLC10_QUEEN_CRONE	The Queen & The Crone	true
pdlc_description_TW_WH2_TOMB_KINGS	Tomb Kings	true
pdlc_description_TW_WH2_DLC11_VAMPIRE_COAST_LOKHIR_FREE	Lokhir Fellheart	true
pdlc_description_TW_WH_KRELL_FREE	Krell	true
pdlc_description_TW_WH_WOOD_ELVES	Realm of the Wood Elves	true
pdlc_description_TW_WH_LORDS_AND_UNITS_2	The King & The Warlord	true
pdlc_description_TW_WH_LORDS_AND_UNITS_1	The Grim & The Grave	true
pdlc_description_TW_WH2_BONE_GIANT_FREE	Bone Giant	true
pdlc_description_TW_WH_BEASTMEN	Call of the Beastmen	true
pdlc_description_TW_WH_JADE_WIZARD_FREE	Jade Wizard	true
pdlc_description_TW_WH_BLOODPACK	Blood for the Blood God II	true
pdlc_description_TW_WH_GREY_WIZARD_FREE	Grey Wizard	true
pdlc_description_TW_WH_REGIMENTS_OF_RENOWN_FREE	Regiments of Renown	true
pdlc_description_TW_WH_LORDS_AND_UNITS_2_FREE	Wurrzag	true
pdlc_description_TW_WH2_GRAND_CAMPAIGN	Mortal Empires	true
