Loc PackedFile
Key	Text	Tooltip
quotes_people_quote_person_onscreen_malagor	Malagor, the Dark Omen	true
quotes_people_quote_person_onscreen_volkmar	Volkmar, Theogonist of Sigmar	true
quotes_people_quote_person_onscreen_corbeau	Henri Corbeau, Bretonnian Soldier	true
quotes_people_quote_person_onscreen_martin_fortberg	Martin Fortberg, Chief Powderjack at the Imperial Gunnery School, Nuln	true
quotes_people_quote_person_onscreen_schwalz	"Mad" Schwalz, the Idiot of Sternburg	true
quotes_people_quote_person_onscreen_onceman	Heinrich Onceman	true
quotes_people_quote_person_onscreen_markus_wulfhart	Markus Wulfhart, the Huntsmarshal of the Empire	true
quotes_people_quote_person_onscreen_khalida	Khalida Neferher, High Queen of Lybaras	true
quotes_people_quote_person_onscreen_rekthor	Rekthor Redaxe, Dwarfen Giant Slayer (deceased)	true
quotes_people_quote_person_onscreen_skretch	Skretch Half-Dead	true
quotes_people_quote_person_onscreen_belegar_preparing	Belegar Ironhammer, King of Karak Eight Peaks, preparing his brave Dawi for the struggle to come	true
quotes_people_quote_person_onscreen_marius_leitdorf	Marius Leitdorf, Mad Count of Averland	true
quotes_people_quote_person_onscreen_lord_ztlocutec	Last words of Lord Ztlocutec, to his chief attendant, the Skink Priest Xhili'Zkuki	true
quotes_people_quote_person_onscreen_alexei_zucharov	Alexei Zucharov, Star of Erengrad	true
quotes_people_quote_person_onscreen_khargar	Khargar, of the Tribe of the Blooded Axe	true
quotes_people_quote_person_onscreen_sheglak	Sheglak, Orc Shaman	true
quotes_people_quote_person_onscreen_blucher	Grandmarshall Blucher von Vincke	true
quotes_people_quote_person_onscreen_skarsnik_squig	Skarsnik, talking to his beloved pet Squig	true
quotes_people_quote_person_onscreen_konrad_von_carstein_last_words	Konrad von Carstein (last words)	true
quotes_people_quote_person_onscreen_malekith_chaos	Malekith, Witch King of Naggaroth, on returning from the Realm of Chaos	true
quotes_people_quote_person_onscreen_tobias_gottmann	Tobias Gottmann, last survivor of the Altdorf Redshields	true
quotes_people_quote_person_onscreen_schumer	Ingrid Schumer, Priestess of Shallya	true
quotes_people_quote_person_onscreen_bhorgos	Bhorgos Gorehorn, Doombull	true
quotes_people_quote_person_onscreen_morathi	Morathi, the Hag Sorceress	true
quotes_people_quote_person_onscreen_dietrich_mirtis	Dietrich Mirtis, Vampire Count of Vlad's Coven	true
quotes_people_quote_person_onscreen_albrecht_heinz	Albrecht Heinz, Drakwald Militia	true
quotes_people_quote_person_onscreen_kleber_reinhard	Kleber Reinhard, Witch Hunter	true
quotes_people_quote_person_onscreen_gitilla	Gitilla da Hunter, Goblin Wolf Rider raider boss	true
quotes_people_quote_person_onscreen_virtue_of_purity	Virtue of Purity 	true
quotes_people_quote_person_onscreen_renkler	Marcus Renkler, squire and pistolier to the House of Middenheim	true
quotes_people_quote_person_onscreen_bagrian	Bagrian, an ancient scholar assassinated by the Skaven. All copies of this quote were destroyed, except this one… as of yet…	true
quotes_people_quote_person_onscreen_doom_of_kavzar	From a translation of the Tilean folk tale 'The Doom of Kavzar'	true
quotes_people_quote_person_onscreen_ivan_steinmann	Ivan Steinmann, Quartermaster, Middenland Garrison	true
quotes_people_quote_person_onscreen_unthwe_windrider	Unthwe Windrider	true
quotes_people_quote_person_onscreen_lokhir_fellheart	Lokhir Fellheart, Black Ark Captain	true
quotes_people_quote_person_onscreen_ulfred_wasmeier	Ulfred Wasmeier, Priest of Sigmar	true
quotes_people_quote_person_onscreen_malekith_karak_address	Malekith, addressing the Dwarfs at Karak Kadrin	true
quotes_people_quote_person_onscreen_prophecy_of_sotek	Extract from the Prophecy of Sotek	true
quotes_people_quote_person_onscreen_asteron	Asteron, long-dead monarch of the Dolgars	true
quotes_people_quote_person_onscreen_foolish	Hjeglac the Foolish, disgraced bondsman	true
quotes_people_quote_person_onscreen_reiklander_joke	Reiklander joke	true
quotes_people_quote_person_onscreen_druchii_corsair	Teilancarr, Druchii Corsair	true
quotes_people_quote_person_onscreen_grimgor	Grimgor Ironhide, Black Orc Warboss	true
quotes_people_quote_person_onscreen_archaon	Archaon, Lord of the End Times	true
quotes_people_quote_person_onscreen_ethalin	Lord Ethalin of the Pine Crags	true
quotes_people_quote_person_onscreen_morglum	Morglum Necksnapper, Orc Warboss	true
quotes_people_quote_person_onscreen_belegar_assault	Belegar Ironhammer, King of Karak Eight Peaks, shortly before the main assault	true
quotes_people_quote_person_onscreen_darthon_ironbeard	Darthon Ironbeard, Dwarflord of the Grey Mountains 	true
quotes_people_quote_person_onscreen_suleima	Suleima, Daughter of the Sands, accepting Alcadizaar into the Brotherhood of Assassins	true
quotes_people_quote_person_onscreen_ophiria	Ophiria, future Daughter of the Sands	true
quotes_people_quote_person_onscreen_drowned	Proverb meaning 'Drowned'	true
quotes_people_quote_person_onscreen_edwalst	Captain Edwalst von Hilde	true
quotes_people_quote_person_onscreen_eglixus	Eglixus, The Executioner of Trechagrad	true
quotes_people_quote_person_onscreen_phillipe_de_blois	Sir Phillipe de Blois, Knight of the Grail	true
quotes_people_quote_person_onscreen_gunther	Gunther van der Luip, Marienburger Fisherman	true
quotes_people_quote_person_onscreen_hexoatl	Inscription upon the eastern boundary stone of the temple-city of Hexoatl	true
quotes_people_quote_person_onscreen_matthias_von_pfeildorf	Matthias von Pfeildorf, former Imperial Envoy to Couronne	true
quotes_people_quote_person_onscreen_nekaph	A small fraction of Nekaph's speech demanding his foe's unconditional surrender	true
quotes_people_quote_person_onscreen_reinhold	Arthus Reinhold	true
quotes_people_quote_person_onscreen_reikwald	Sole survivor of the Reikwald Forest Patrol	true
quotes_people_quote_person_onscreen_theoderic_gausser	Theoderic Gausser, Elector Count of Nordland	true
quotes_people_quote_person_onscreen_dwarfen_saying	Dwarfen saying	true
quotes_people_quote_person_onscreen_captain_helmur_van_hal	Captain Helmur van Hal, Witch Hunter	true
quotes_people_quote_person_onscreen_yrellian	Prince Yrellian	true
quotes_people_quote_person_onscreen_rakranos	Rakranos the Ancient, Dragon Ogre Shaggoth	true
quotes_people_quote_person_onscreen_hellebron	Hellebron, Hag Queen of Har Ganeth	true
quotes_people_quote_person_onscreen_virtue_of_the_impetuous_knight	Virtue of the Impetuous Knight	true
quotes_people_quote_person_onscreen_caradryan	Caradryan, Captain of the Phoenix Guard	true
quotes_people_quote_person_onscreen_teclis	Loremaster Teclis, Tyrion's twin brother	true
quotes_people_quote_person_onscreen_thorgrim	Thorgrim Grudgebearer, Dwarfen High King	true
quotes_people_quote_person_onscreen_josef_schneidling	Josef Schneidling, Mercenary	true
quotes_people_quote_person_onscreen_vincenzo_corenzo	From the logbook of Vincenzo Corenzo, Mercenary Capitano out of Tilea	true
