Loc PackedFile
Key	Text	Tooltip
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	Brooch of the Great Desert	true
rituals_display_name_wh2_dlc09_ritual_tmb_ptra	Great Incantation of Ptra	true
rituals_description_wh2_dlc10_ritual_hef_lileath	{{tr:wh2_dlc10_ritual_hef_lileath_description}}	true
rituals_display_name_wh2_dlc10_dwf_ritual_armour_prospectors_mail	Prospector's Mail	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	 	true
rituals_description_wh2_dlc10_dwf_ritual_armour_gate_keepers_helm	 	true
rituals_display_name_wh2_dlc09_ritual_tmb_khsar	Great Incantation of Khsar	true
rituals_description_wh2_dlc09_ritual_tmb_khsar	{{tr:wh2_dlc09_ritual_tmb_khsar_description}}	true
rituals_description_wh2_dlc11_ritual_cst_queens_cannon	{{tr:wh2_dlc11_ritual_cst_queens_cannon_description}}	true
rituals_display_name_wh2_dlc11_ritual_cst_queens_cannon	Curse of the Queen’s Cannon	true
rituals_description_wh2_main_ritual_hef_hoeth	{{tr:wh2_main_ritual_hef_hoeth_description}}	true
rituals_description_wh2_main_ritual_skv_pestilence	{{tr:wh2_main_ritual_skv_pestilence_description}}	true
rituals_display_name_wh2_main_ritual_skv_pestilence	The Pestilent Scheme	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	Armour of Eternity	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_03	Lahmian	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_02	Lahmian	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_01	Lahmian	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	Golden Dagger	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	 	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	 	true
rituals_description_wh2_dlc09_ritual_tmb_geheb	{{tr:wh2_dlc09_ritual_tmb_geheb_description}}	true
rituals_display_name_wh2_dlc09_ritual_tmb_geheb	Great Incantation of Geheb	true
rituals_description_wh2_main_ritual_lzd_ferocity	{{tr:wh2_main_ritual_lzd_ferocity_description}}	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	Collar of Shakkara	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	 	true
rituals_display_name_wh2_dlc10_dwf_ritual_talisman_dragon_slayers_fang	Dragon Slayer's Fang	true
rituals_description_wh2_dlc10_dwf_ritual_armour_prospectors_mail	 	true
rituals_display_name_wh2_dlc10_ritual_hef_lileath	Invocation of Lileath	true
rituals_display_name_wh2_dlc10_dwf_ritual_armour_rangers_cloak	Ranger's Cloak	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	 	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	Skull Cap of the Moon	true
rituals_display_name_wh2_main_ritual_lzd_ferocity	Rite of Ferocity	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_03	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_description}}	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_02	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_description}}	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_01	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_description}}	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	Potion of Strength	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_01	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_description}}	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_02	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_description}}	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_03	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_description}}	true
rituals_display_name_wh2_dlc11_ritual_cst_bountiful_treasure	Curse of the Bountiful Treasure	true
rituals_description_wh2_dlc10_dwf_ritual_enchanted_item_gate_keepers_belt	 	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	Double Crescent of Neru	true
rituals_description_wh2_main_ritual_skv_ascendancy	{{tr:wh2_main_ritual_skv_ascendancy_description}}	true
rituals_display_name_wh2_main_ritual_skv_ascendancy	The Dominating Scheme	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	 	true
rituals_description_wh2_dlc10_dwf_ritual_talisman_the_ankor_chain	 	true
rituals_display_name_wh2_dlc09_ritual_skv_thirteen_rictus	The Thirteenth Scheme	true
rituals_display_name_wh2_main_ritual_def_mathlann	Sacrifice to Mathlann	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace	Enchanted Lapis Mace	true
rituals_description_wh2_main_ritual_lzd_sotek	{{tr:wh2_main_ritual_lzd_sotek_description}}	true
