Loc PackedFile
Key	Text	Tooltip
scripted_subtitles_localised_text_wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_pt_04	The offence must be sated - and only then shall I take up Sunfang to fight the true enemies of the Phoenix Throne! 	true
scripted_subtitles_localised_text_wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_pt_01	This is a sad day for Ulthuan, when Asur fights Asur within sight of the White Tower.	true
scripted_subtitles_localised_text_wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_pt_02	Bel-Korhadris would surely weep, as I will for the dead that I slay this day.	true
scripted_subtitles_localised_text_wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_pt_03	But make no mistake, I will reap a toll, for my honour has been called into question.	true
scripted_subtitles_localised_text_wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua_part_04	Slay them them all! Bring me Alcadizaar's remains! My Tomb Blade will burn with the light of Nagash!	true
scripted_subtitles_localised_text_wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua_part_03	Their pitiful knowledge of such matters will die with them, here before the statues of the gods!	true
scripted_subtitles_localised_text_wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua_part_02	This pathetic rabble of reptiles presume to master the arts of resurrection!	true
scripted_subtitles_localised_text_wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua_part_01	Come, loyal thralls! Today, we do Nagash's work. 	true
scripted_subtitles_localised_text_wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_2_extra	Hahaha! Very cleva! I like it! Surround us on yer nags… Immortulz ta me. I’m gonna kill dis Chaos Lord; smash iz ‘elmet off and pulp iz ‘ead with it - we’re gonna ‘ave right laff!	true
scripted_subtitles_localised_text_wh_main_prelude_grimgor_ironhide_pt_02	I'm 'da Greatest' not som stinking goblin-lovin' git called Rotgut! Immortulz ta me - let'z get ‘em!!!	true
scripted_subtitles_localised_text_wh_main_prelude_grimgor_ironhide_pt_01	Right, yoo gitz! Fink you can hide from me in dere! Dis fortress iz now mine!	true
scripted_subtitles_localised_text_wh2_dlc11_Aranessa_Saltspite_QB_Krakens_Bane_pt_03	Cutlasses out! Blood and salt!	true
scripted_subtitles_localised_text_wh2_dlc11_Aranessa_Saltspite_QB_Krakens_Bane_pt_02	No, my real sire… the Seafather! Let the forces of the false begetter crash uselessly against the cliffs, like waves against the Swordfysh's hull!	true
scripted_subtitles_localised_text_wh2_dlc11_Aranessa_Saltspite_QB_Krakens_Bane_pt_01	My father calls, not this Norse puppet who claims ownership simply because he spilt his seed… 	true
scripted_subtitles_localised_text_wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_pt_03	To the ‘champion’ in my armour… Yes, you may have heard of me. I am Sigvald the Magnificent, the Geld-Prince of Slaanesh. I do not blame you if hearing my name has caused you to void your bowels. Just make sure the Auric Armour is clean when I come to take it.	true
scripted_subtitles_localised_text_wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_pt_02	It is only right I take it from him, and if you, my serfs, die in agony during the attempt, then know that I'll feel your pain… why, I will relish it! 	true
scripted_subtitles_localised_text_wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_pt_01	Ah, my loyal minions. Over the way stands something I want… I need. Beatific mail, wasted on the clueless worm who wears it. 	true
scripted_subtitles_localised_text_wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_pt_05	No Matter! I could do with a workout - but do not over-vex me or your death-cry will be especially shrill and I do hate to taint my ears with such cacophonic nonsense if I can bear it. 	true
scripted_subtitles_localised_text_wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_pt_04	You could hand it straight over, of course, but I have seen your kind before. You will be irksome and make me fight for it. 	true
scripted_subtitles_localised_text_Nor_Throgg_QB_Wintertooth_Crown_pt_03	and he'll be the first royal meal for the new king of the world - me! Monsters and madmen all - let’s have their guts for lunch!	true
scripted_subtitles_localised_text_Nor_Throgg_QB_Wintertooth_Crown_pt_02	Doesn’t the stupid little man know he steals from royalty? When I catch him, I’m taking my crown back, 	true
scripted_subtitles_localised_text_Nor_Throgg_QB_Wintertooth_Crown_pt_01	Gaaaah! Beardy man over there has my crown! Stunty-runt dares steal from me!	true
scripted_subtitles_localised_text_Nor_Wulfrik_Final_Battle_vs_Eagle_pt_01	Look at that despicable cabal of Eagle-God worshippers across the way, with their craven Champion! I fear no Champion, I only destroy them!	true
scripted_subtitles_localised_text_Nor_Wulfrik_Final_Battle_vs_Eagle_pt_02	And you, the warriors and twisted beasts of my army, have slain many with me in the name of our Dark Master.	true
scripted_subtitles_localised_text_Nor_Wulfrik_Final_Battle_vs_Eagle_pt_03	Make no mistake - he still watches us!	true
scripted_subtitles_localised_text_Nor_Wulfrik_Final_Battle_vs_Eagle_pt_04	May the bodies continue to fall! May their limbs be torn from their torsos! May the battlefield be soaked red with their blood!!!	true
scripted_subtitles_localised_text_wh_dlc07_qb_brt_fay_enchantress_chalice_of_potions_pt_01	It is a great deed we must do today. The twisted things of Chaos have come to our shores in vast numbers.  Many were dashed upon the rocks, yet enough remain to pose a terrible threat. 	true
scripted_subtitles_localised_text_wh_dlc07_qb_brt_fay_enchantress_chalice_of_potions_pt_03	Should they win this day, Bretonnia will be nought but ruins. But hope endures; take solace in the Lady’s shining grace - for victory!	true
scripted_subtitles_localised_text_wh_dlc07_qb_brt_fay_enchantress_chalice_of_potions_pt_02	Malice seeps from their every pore and breath - they are the very essence of doom.	true
scripted_subtitles_localised_text_wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_3_pt_01	Vermin! Green-skinned filth with base blood pumping through their crude veins! They serve no purpose, they are poor minions, even in death!	true
scripted_subtitles_localised_text_wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_6_pt_01	I have always despised Bretonnia - a land ruled by some pitiful witch the smallfolk dare to call a god.	true
scripted_subtitles_localised_text_wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_3_pt_02	I would have this land for mine studies. And yet I am pestered by these filthy creatures.	true
scripted_subtitles_localised_text_wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_6_pt_02	Only I can bring the night - the flower of Bretonnia shall wither and the tomb that holds mine prize be broken open and those inside shall serve me!	true
scripted_subtitles_localised_text_wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_3_pt_03	I shall play the role of exterminator - wipe these Orcs out.	true
scripted_subtitles_localised_text_wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_6_pt_03	They shall know a true deity! I am a god, let thy grave-bound and thy living worship me - Mannfred the wise; Mannfred the Unliving, Mannfred the Merciless!	true
scripted_subtitles_localised_text_Nor_Throgg_Final_Battle_vs_Crow_pt_02	A strange smell in the air… poison?	true
scripted_subtitles_localised_text_Nor_Throgg_Final_Battle_vs_Crow_pt_03	The Crow uses cheap tricks, but they won’t work on me! Today I dine on his puppets!	true
