Loc PackedFile
Key	Text	Tooltip
settlement_climate_types_ui_description_climate_ocean	The oceans of the world harbour many great wrecks and treasures, as only the best seafaring races can truly master its currents and tides.	true
settlement_climate_types_ui_name_climate_wasteland	Wasteland	true
settlement_climate_types_ui_name_climate_temperate	Temperate	true
settlement_climate_types_ui_description_climate_magicforest	Steeped in magic, just who is allowed to remain in the forests' interior is the will of the trees themselves and their spirit allies.	true
settlement_climate_types_ui_name_climate_magicforest	Magical Forest	true
settlement_climate_types_ui_name_climate_island	Temperate Island	true
settlement_climate_types_ui_name_climate_jungle	Jungle	true
settlement_climate_types_ui_name_climate_frozen	Frozen	true
settlement_climate_types_ui_description_climate_mountain	The snow-capped peaks of this world scrape the sky. Mountainous regions are hazardous, although those races that inhabit them rarely live on the surface.	true
settlement_climate_types_ui_description_climate_chaotic	Nature’s rules do not apply in regions under the influence of the Ruinous Powers. Only the followers of the Dark Gods could hope to remain here, and even they do so at great personal risk.	true
settlement_climate_types_ui_name_climate_desert	Desert	true
settlement_climate_types_ui_name_climate_chaotic	Chaotic Wasteland	true
settlement_climate_types_ui_description_climate_savannah	Scattered tree growth is broken by course grasslands and watering holes. Here, the climate is hot and the bugs grow large.	true
settlement_climate_types_ui_description_climate_frozen	Eternal winter blights this region. Lakes of ice, fierce shard storms and snow-covered fjords scatter the environment. It takes a determined kind of people to eke out a life here.	true
settlement_climate_types_ui_name_climate_savannah	Savannah	true
settlement_climate_types_ui_description_climate_temperate	The terrain of this region consists of lush grasslands and sprawling forests, with food and resources in abundance.	true
settlement_climate_types_ui_description_climate_island	Climate on the isles in this region is changeable. However, the trees grow tall and strong, the hunting is good, and crops can be grown by competent farmers.	true
settlement_climate_types_ui_description_climate_jungle	Dense jungle is hot and humid, and often home to creatures and plants that consider potential empire-builders to be prey.	true
settlement_climate_types_ui_name_climate_mountain	Mountain	true
settlement_climate_types_ui_description_climate_desert	The sun burns and very little grows here, yet the shifting sands of this region hide more than mere dunes - certain races have proven tenacious in this climate.	true
settlement_climate_types_ui_description_climate_wasteland	Scorched or scoured - nothing grows here and only a few races could survive in this region, let alone thrive.	true
settlement_climate_types_ui_name_climate_ocean	Ocean	true
