Loc PackedFile
Key	Text	Tooltip
shortcut_localisation_onscreen_increase_camera_rot	+ camera rotate speed	true
shortcut_localisation_onscreen_deselect_all	Deselect all	true
shortcut_localisation_toolitp_show_book_of_grudges		true
shortcut_localisation_onscreen_attack_ping	Attack ping	true
shortcut_localisation_onscreen_shift	Shift	true
shortcut_localisation_onscreen_show_skaven_corruption	Show Skaven Corruption	true
shortcut_localisation_toolitp_camera_bookmark_view8		true
shortcut_localisation_toolitp_camera_bookmark_view9		true
shortcut_localisation_onscreen_show_diplomacy	Show diplomacy	true
shortcut_localisation_toolitp_camera_bookmark_view0		true
shortcut_localisation_toolitp_camera_bookmark_view1		true
shortcut_localisation_toolitp_camera_bookmark_view2		true
shortcut_localisation_toolitp_camera_bookmark_view3		true
shortcut_localisation_toolitp_camera_bookmark_view4		true
shortcut_localisation_toolitp_camera_bookmark_view5		true
shortcut_localisation_toolitp_camera_bookmark_view6		true
shortcut_localisation_toolitp_camera_bookmark_view7		true
shortcut_localisation_onscreen_show_building_browser	Show Building Browser	true
shortcut_localisation_onscreen_game_controls	Game/UI Controls	true
shortcut_localisation_onscreen_fps	FPS	true
shortcut_localisation_onscreen_toggle_labels	Toggle settlement labels	true
shortcut_localisation_onscreen_step_fwd_fast	Move forward fast	true
shortcut_localisation_onscreen_standard_ping	Standard ping	true
shortcut_localisation_onscreen_decel	Slow down camera	true
shortcut_localisation_onscreen_accel	Speed up camera	true
shortcut_localisation_onscreen_show_book_of_grudges	Show Book of Grudges	true
shortcut_localisation_toolitp_deselect_all		true
shortcut_localisation_onscreen_select_prev	Select previous	true
shortcut_localisation_onscreen_toggle_minimised_radar	Toggle	true
shortcut_localisation_toolitp_show_unit_info		true
shortcut_localisation_toolitp_adv_drag_ctrl		true
shortcut_localisation_onscreen_end_turn_skip_warnings	End turn skipping warnings	true
shortcut_localisation_onscreen_chat_with_all	Chat with everyone	true
shortcut_localisation_onscreen_show_radial	Show radial	true
shortcut_localisation_toolitp_intelli_zoom		true
shortcut_localisation_toolitp_ctrl		true
shortcut_localisation_toolitp_battle_land_special_ability_4		true
shortcut_localisation_toolitp_battle_land_special_ability_5		true
shortcut_localisation_toolitp_battle_land_special_ability_6		true
shortcut_localisation_toolitp_battle_land_special_ability_7		true
shortcut_localisation_toolitp_battle_land_special_ability_1		true
shortcut_localisation_toolitp_battle_land_special_ability_2		true
shortcut_localisation_toolitp_battle_land_special_ability_3		true
shortcut_localisation_onscreen_decrease_camera_rot	- camera rotate speed	true
shortcut_localisation_onscreen_select_all_artillery	Select all artillery units	true
shortcut_localisation_toolitp_misc		true
shortcut_localisation_toolitp_chat_with_team		true
shortcut_localisation_onscreen_show_garrison	Show garrison	true
shortcut_localisation_onscreen_toggle_cursor	Toggle Cursor Visibility	true
shortcut_localisation_onscreen_ctrl	Control	true
shortcut_localisation_onscreen_intelli_zoom	Camera zoom	true
shortcut_localisation_onscreen_misc	Miscellaneous	true
shortcut_localisation_toolitp_select_all_artillery		true
