Loc PackedFile
Key	Text	Tooltip
uied_component_texts_localised_string_casualties_inflicted_tx_NewState_Text_140064	Casualties inflicted	true
uied_component_texts_localised_string_tx_text_NewState_Text_6f003b	Low	true
uied_component_texts_localised_string_tx_text_NewState_Text_700025	Neutral	true
uied_component_texts_localised_string_sort_skill_selected_up_Tooltip_530064	Sort by rank	true
uied_component_texts_localised_string_button_decimate_Tooltip_770001	Instil integrity into your force the hard way, by destroying 10% of the current army.	true
uied_component_texts_localised_string_button_txt_twitch_Text_6b005e	Twitch	true
uied_component_texts_localised_string_recruitment_tx_subtitle_NewState_Text_530062	Local recruitment	true
uied_component_texts_localised_string_dy_cost_Tooltip_1d004c	Labour force cost	true
uied_component_texts_localised_string_tx_queue_NewState_Text_390009	Selected Defences	true
uied_component_texts_localised_string_label_txt_default_Text_750074	Enable introduction	true
uied_component_texts_localised_string_tx_descr_NewState_Text_360021	This enemy of your faction has become a vassal of another faction. You must either make peace with them, or declare war on their new master.	true
uied_component_texts_localised_string_button_txt_active_Text_380007	Continue Campaign	true
uied_component_texts_localised_string_tx_mercenariers_cost_Recruitment_Options_Tooltip_76004a	Cost to raise queued units	true
uied_component_texts_localised_string_button_txt_active_Text_550062	Cancel Move	true
uied_component_texts_localised_string_button_txt_active_Text_720045	Awaken	true
uied_component_texts_localised_string_button_txt_active_Text_110027	Test	true
uied_component_texts_localised_string_button_txt_active_Text_650054	Make peace with the vassal	true
uied_component_texts_localised_string_button_txt_active_Text_700040	dy_confirm	true
uied_component_texts_localised_string_tx_other_Tooltip_1a0063	Income gained from other sources such as payments from diplomatic negotiations and any satrap or client factions.	true
uied_component_texts_localised_string_pip_trade_naval_trading_Tooltip_78003b	Trading	true
uied_component_texts_localised_string_route_pip_sea_blockaded_Tooltip_1b0021	[[col:red]]Sea trade blockaded[[/col]]	true
uied_component_texts_localised_string_activate_ping_Tooltip_79006c	Activate ping||Ping is used to give instructions to your allies. This button will display the different ping modes.	true
uied_component_texts_localised_string_button_txt_active_Text_18002d	Graphics	true
uied_component_texts_localised_string_dy_time_Tooltip_2d0018	Turns remaining until ritual completes	true
uied_component_texts_localised_string_StatusIcon_Garrisoned_Tooltip_6a0056	Garrisoned	true
uied_component_texts_localised_string_dy_kills_Tooltip_260005	Kills||The number of kills this unit has made in this battle. Kills will count toward a unit's XP.	true
uied_component_texts_localised_string_button_txt_active_Text_33000d	Host Campaign	true
uied_component_texts_localised_string_war_target_none_Tooltip_78000a	War co-ordination target available||Select this faction and assign a war target using the button below.	true
uied_component_texts_localised_string_button_txt_active_Text_65005c	Delete	true
uied_component_texts_localised_string_tx_alert_NewState_Text_3d0017	The Laboratory is an experimental test environment outside of the main game and may result in unpredictable gameplay.	true
uied_component_texts_localised_string_button_txt_active_Text_3f0004	Campaign Settings	true
uied_component_texts_localised_string_button_txt_active_Text_56006d	Send to pool	true
uied_component_texts_localised_string_copy_of_tx_type_NewState_Text_79005a	Wealth	true
uied_component_texts_localised_string_button_surround_Tooltip_6d0052	Encircle||Surround the settlement and wait out the enemy rather than attacking head-on.	true
uied_component_texts_localised_string_panel_heading_Tooltip_210046	This shows you and your opponent's stats in battle.||Click on the unit statistic button to see if your units have gained experience. 	true
uied_component_texts_localised_string_tx_text_NewState_Text_200064	Level 2	true
uied_component_texts_localised_string_tx_text_NewState_Text_200065	Level 3	true
uied_component_texts_localised_string_tx_text_NewState_Text_200067	Level 1	true
uied_component_texts_localised_string_tx_text_NewState_Text_200062	Level 4	true
uied_component_texts_localised_string_PH_text_NewState_Text_3b007a	large gift	true
uied_component_texts_localised_string_tx_text_NewState_Text_200063	Level 5	true
uied_component_texts_localised_string_icon_status_politician_Tooltip_3c003c	[[img:icon_protagonist]][[/img]]Protagonist||This Lord is not currently commanding an army or overseeing a province, but is able to engage in machinations and skulduggery.	true
uied_component_texts_localised_string_tx_speed_NewState_Text_2d003c	Animation speed	true
uied_component_texts_localised_string_tx_queue_NewState_Text_4c006c	Siege Engines	true
uied_component_texts_localised_string_button_minimise_Tooltip_560070	Close this panel	true
uied_component_texts_localised_string_tx_title_NewState_Text_490032	[[url:script_link_campaign_provinces]]Provinces[[/url]]	true
uied_component_texts_localised_string_button_txt_active_Text_120039	Purchase	true
uied_component_texts_localised_string_button_txt_active_Text_360013	Save Keys	true
uied_component_texts_localised_string_button_txt_active_Text_5b007d	Voice Options	true
uied_component_texts_localised_string_button_txt_active_Text_100031	Continue	true
uied_component_texts_localised_string_button_txt_active_Text_170036	Spectate	true
uied_component_texts_localised_string_button_txt_active_Text_1b003a	Teleport	true
uied_component_texts_localised_string_standard_Tooltip_620056	Camera height is lower and the camera swoops down into the action.	true
uied_component_texts_localised_string_legacy_name_Tooltip_30054qp	The name of your military force.Left-click to rename.	true
uied_component_texts_localised_string_total_food_NewState_Text_250065	Total Food	true
uied_component_texts_localised_string_DY_text_NewState_Text_3c0079	Are you sure you want to end your turn? The following concerns remain unaddressed:	true
uied_component_texts_localised_string_abandon_subpanel_Tooltip_680060	Click to cancel abandonment	true
uied_component_texts_localised_string_tab_army_Tooltip_590008	Army Panel	true
uied_component_texts_localised_string_tx_hard_NewState_Text_5003a	Hard	true
uied_component_texts_localised_string_icon_status_army_Tooltip_400058	[[img:icon_general]][[/img]General||This Lord is commanding an active army.	true
uied_component_texts_localised_string_40_tx_NewState_Text_34006d	40 minutes	true
uied_component_texts_localised_string_60_tx_NewState_Text_14006d	40 Minutes	true
uied_component_texts_localised_string_tx_text_NewState_Text_47000d	Rival Characters	true
uied_component_texts_localised_string_button_txt_active_Text_6e0048	Cancel	true
uied_component_texts_localised_string_tx_title_NewState_Text_18006c	[[url:script_link_campaign_armies]]Forces[[/url]]	true
uied_component_texts_localised_string_tx_mercenariers_cost_Recruitment_Options_Tooltip_710051	Total cost of queued units	true
uied_component_texts_localised_string_button_txt_active_Text_39001b	Load Keys	true
uied_component_texts_localised_string_button_txt_active_Text_30001e	Challenge Campaigns	true
uied_component_texts_localised_string_button_txt_active_Text_4a0065	Improve Relations	true
uied_component_texts_localised_string_save_date_NewState_Text_25002e	12/02/2008	true
uied_component_texts_localised_string_uied_component_texts_localised_string_heading_tx_NewState_Text_67005b	Master	true
uied_component_texts_localised_string_button_txt_active_Text_41006b	Host Battle	true
uied_component_texts_localised_string_button_txt_active_Text_2d0006	Game Settings	true
uied_component_texts_localised_string_button_txt_active_Text_41006c	My Position	true
uied_component_texts_localised_string_merceneries_tx_subtitle_NewState_Text_4d0019	Available mercenaries	true
uied_component_texts_localised_string_header_character_NewState_Text_6f0045	Characters	true
uied_component_texts_localised_string_tx_total_attitude_NewState_Text_5c0047	Total attitude value:	true
uied_component_texts_localised_string_general_details_tx_title_NewState_Text_25001c	Province details	true
uied_component_texts_localised_string_offer_hostage_tx_NewState_Text_5f0064	Offer Hostage	true
uied_component_texts_localised_string_panel_heading_Tooltip_630036	Victory conditions change according to your game mode and settings.	true
uied_component_texts_localised_string_tx_loot_NewState_Text_4f003b	Influence Gained!	true
uied_component_texts_localised_string_tx_public_order_NewState_Text_610042	Wealth & Income	true
uied_component_texts_localised_string_icon_status_politician_Tooltip_640055	Protagonist||This Lord is not currently commanding an army or overseeing a province, but is able to engage in machinations and skulduggery.	true
uied_component_texts_localised_string_tx_trade_NewState_Text_520017	Trade	true
uied_component_texts_localised_string_tx_trade_NewState_Text_160050	Trade	true
uied_component_texts_localised_string_offer_regions_tx_NewState_Text_410072	Offer regions	true
uied_component_texts_localised_string_tx_regions_owned_NewState_Text_6d005e	Settlements owned:	true
uied_component_texts_localised_string_button_gift_unit_Tooltip_72001b	Gift units||Click this to give control of the selected units to the spectator. The spectator can return units by selecting them and clicking this again.	true
uied_component_texts_localised_string_ships_captured_tx_NewState_Text_3b006ac	Ships Captured	true
uied_component_texts_localised_string_button_txt_active_Text_420059	Clear history	true
uied_component_texts_localised_string_tx_title_NewState_Text_6f002d	History	true
uied_component_texts_localised_string_button_txt_active_Text_2c003d	Go to Steam store page	true
uied_component_texts_localised_string_button_txt_active_Text_720064	Sign up	true
uied_component_texts_localised_string_button_txt_active_Text_220032	Apply UI Scale	true
uied_component_texts_localised_string_friends_Tooltip_730032	Friends	true
uied_component_texts_localised_string_att_def_icon_def_Tooltip_160029	Defender	true
uied_component_texts_localised_string_option2_text_tx_decline(breaks_alliance)_Text_50045	Decline (breaks alliance)	true
uied_component_texts_localised_string_resource_Tooltip_420063	Required resource not available.	true
uied_component_texts_localised_string_string_Tooltip_5b000ahdb	Display the message attached to this event.	true
uied_component_texts_localised_string_disembark_timer_Tooltip_7d0040	The enemy's control of the land is disheartening your men! If you do not disembark and engage soon, your forces will begin to break and flee!	true
uied_component_texts_localised_string_stat_bar_Tooltip_5b006d	You will have to pay this sum every turn that you have this unit.||If you are not using this unit it may be cheaper to disband it and recruit another later rather than paying this upkeep.	true
uied_component_texts_localised_string_dy_event_NewState_Text_3c0077	Provinces lost	true
uied_component_texts_localised_string_dy_kills_Tooltip_320036	Enemy killed by this unit.||Enemy kills count toward a unit's XP.	true
uied_component_texts_localised_string_no_settlement_icon_NewState_Tooltip_70072	This faction has no settlements.	true
uied_component_texts_localised_string_icon_Tooltip_240031qvfjtoo	Total labour force||The size of your army determines the amount of labour available during a siege; the larger the army, the more labour is available. The labour force is used to construct siege engines for use in the upcoming assault. This number is the total labour force available for a single siege.	true
uied_component_texts_localised_string_tx_descr_NewState_Text_61005a	{{tr:intervention_rituals_description}}	true
uied_component_texts_localised_string_button_txt_active_Text_1b0006	Declare War!	true
uied_component_texts_localised_string_button_retreat_inactive_Tooltip_45006a	You cannot retreat from this battle.	true
uied_component_texts_localised_string_dy_cost_Tooltip_33004c	Labour force cost.	true
uied_component_texts_localised_string_remaining_tx_NewState_Text_40058	Remaining	true
uied_component_texts_localised_string_button_lock_chat_Tooltip_660034	Toggle minimal mode	true
uied_component_texts_localised_string_button_maintain_blockade_Tooltip_220012	Maintain Blockade	true
uied_component_texts_localised_string_tx_atwar_NewState_Text_51003a	At War:	true
uied_component_texts_localised_string_tx_end_treasury_NewState_Text_510011u	End Treasury	true
uied_component_texts_localised_string_pip_status_client_state_Tooltip_1a003a	Your tributary state	true
uied_component_texts_localised_string_dy_spectator_open_Text_1e006f	Open	true
uied_component_texts_localised_string_apply_allies_Tooltip_d0059	Apply allies	true
uied_component_texts_localised_string_icon_treasury_Tooltip_640057	{{tr:treasury}}	true
uied_component_texts_localised_string_Flags_Tooltip_40042	Your faction and its leader at the time of saving.	true
uied_component_texts_localised_string_value_Tooltip_390049	This is the total amount of {{tr:icon_income}}income generated by the trade agreement with this partner. It is the sum of the income from exports and the income from tariffs.	true
uied_component_texts_localised_string_button_txt_game_Text_4002a	Game	true
uied_component_texts_localised_string_button_lock_chat_Tooltip_11005e	Lock visibility||While chat is locked, it will stay on screen.	true
uied_component_texts_localised_string_button_missions_Tooltip_270042	{{tr:objectives_panel_button}}	true
uied_component_texts_localised_string_button_sea_raid_Tooltip_400009	Sea Raid	true
uied_component_texts_localised_string_tx_title_NewState_Text_410018	Replace Lord	true
uied_component_texts_localised_string_tx_title_NewState_Text_290074	Trade Forecast	true
uied_component_texts_localised_string_checkbox_passworded_selected_down_off_Tooltip_310013	Displaying passworded games.||Click this box to hide passworded games.||Passwords limit who can join a game.	true
uied_component_texts_localised_string_tx_descr_NewState_Text_680042	We have gathered intelligence on this settlement and its province.	true
uied_component_texts_localised_string_tx_title_NewState_Text_3a006e	Event Messages	true
uied_component_texts_localised_string_button_quit_Tooltip_b001cpa	Quit game	true
uied_component_texts_localised_string_dy_tax_level_high_Text_69002f	High	true
uied_component_texts_localised_string_panel_heading_Tooltip_1c0053	This shows any achievements unlocked during the battle and information on your personal best scores. 	true
uied_component_texts_localised_string_icon_men_artillery_Tooltip_40034	Number of artillery engines in this unit	true
uied_component_texts_localised_string_60_tx_NewState_Text_34006f	60 minutes	true
uied_component_texts_localised_string_button_txt_active_Text_39003c	Brightness & Gamma	true
uied_component_texts_localised_string_tx_title_NewState_Text_31006b	The Laboratory	true
uied_component_texts_localised_string_tx_title_NewState_Text_5b0003	Your Provinces	true
uied_component_texts_localised_string_button_txt_active_Text_2f0024	Resume as Host	true
uied_component_texts_localised_string_tx_protectorates_Tooltip_720040	Satrap and client factions are under your protection.||In return, you receive a regular payment from them and access to their lands.||Use the diplomacy panel to demand a faction becomes your satrap or client.	true
uied_component_texts_localised_string_button_decimate_Tooltip_36007d	{{tr:morale_button_decimate}}	true
uied_component_texts_localised_string_tx_classes_upper_NewState_Text_4f0075	Upper Classes	true
uied_component_texts_localised_string_label_txt_default_Text_5d0062	Enable campaign introduction	true
uied_component_texts_localised_string_route_pip_sea_blockaded_Tooltip_750036b	Sea route blockaded	true
uied_component_texts_localised_string_pip_status_client_state_Tooltip_790026	Your client state	true
uied_component_texts_localised_string_tx_reason_no_items_Text_3e001c	Any item not equipped to a character may be recycled for Oathgold. The rarer the item, the more Oathgold received when recycling.	true
uied_component_texts_localised_string_label_no_governor_NewState_Text_570010	No governor appointed	true
uied_component_texts_localised_string_tx_loot_NewState_Text_710068	Loot Gained!	true
uied_component_texts_localised_string_button_txt_ready_Text_10064	Ready...	true
uied_component_texts_localised_string_panel_heading_default_Text_69004cp	[[url:/manual/single-player/0036_enc_page_campaign_play_faction#enc_text_manual_hud_management_records]]Statistics[[/url]]	true
uied_component_texts_localised_string_details_Tooltip_710000	Zoom to mission target	true
uied_component_texts_localised_string_button_decrease_Tooltip_540063	{{tr:intrigue_button_decrease}}	true
uied_component_texts_localised_string_label_txt_default_Text_6e002a	Battle realism mode	true
uied_component_texts_localised_string_summarry_NewState_Text_650012	{{CcoCampaignResourcePool:Total}} out of {{CcoCampaignResourcePool:Max}} ({{CcoCampaignResourcePool:PercentageOfCapacityDisplay}}%)	true
uied_component_texts_localised_string_button_advanced_options_Tooltip_1d001d	Customise the game's graphics manually.||This allows you to create a more tailored setup, allowing you to maximise quality and performance.	true
uied_component_texts_localised_string_tx_public_order_NewState_Text_23006c	Public order	true
uied_component_texts_localised_string_button_txt_land_Text_50054	Kills	true
uied_component_texts_localised_string_icon_status_army_Tooltip_6f002a	[[img:icon_general]][[/img]]General||This Lord is commanding an active army.	true
uied_component_texts_localised_string_tx_slave_details_NewState_Text_52007d	Slave Details	true
uied_component_texts_localised_string_30_tx_NewState_Text_14006b	20 Minutes	true
uied_component_texts_localised_string_tx_text_NewState_Text_6d0074	Regions coloured by owning faction.	true
uied_component_texts_localised_string_tx_title_NewState_Text_72005b	{{tr:ritual_currency_term}} Transfer	true
uied_component_texts_localised_string_tx_title_NewState_Text_3e0013	Other Provinces	true
uied_component_texts_localised_string_dy_selected_txt_NewState_Text_7b0078	Load preset	true
uied_component_texts_localised_string_tx_title_NewState_Text_7f0051	[[url:/manual/single-player/0020_enc_page_campaign_play_military]]Forces[[/url]]	true
uied_component_texts_localised_string_tx_title_NewState_Text_3d0011	season, year	true
uied_component_texts_localised_string_experience_1_Tooltip_60027	Unit Rank 1	true
uied_component_texts_localised_string_icon_vassals_vassal_Tooltip_72004do	Your puppet states||Consider them strong military allies and also as a source of income as you receive tribute from them every turn.	true
uied_component_texts_localised_string_icon_status_army_Tooltip_2e0073	Lord||This character is commanding an active army.	true
uied_component_texts_localised_string_StatusIcon_Moving_Fast_Tooltip_740060	Moving fast	true
uied_component_texts_localised_string_army_value_label_NewState_Text_2b005b	Funds left:	true
uied_component_texts_localised_string_pay_once_Tooltip_2d0035r	One off payments don't have the risk of being cancelled through bankruptcy or war.||However, it may also be harder to offer a sufficient amount in one payment rather than a number of smaller, regular payments. 	true
uied_component_texts_localised_string_icon_status_politician_Tooltip_120054	Statesman	true
