Loc PackedFile
Key	Text	Tooltip
unit_abilities_tooltip_text_wh_main_spell_light_banishment	Creatures of the dark beware, for the Mage casts a ball of pure light to banish enemies of white wizardry.	true
unit_abilities_tooltip_text_wh_dlc05_spell_life_regrowth	By speaking Druthandor's name the Wizard is able to heal allies' injuries much faster than by natural means.	true
unit_abilities_tooltip_text_wh_dlc02_unit_passive_the_flag_of_blood_keep	The Flag of the Blood Keep flashes violently; the Blood Knights run their enemies down.	true
unit_abilities_tooltip_text_wh_main_spell_death_soulblight	Harnessing the sickly power of Shyish, the Wizard weakens the foe's will to survive the battle.	true
unit_abilities_onscreen_name_wh2_dlc10_weapon_passive_shadow_of_khaine	Shadow of Khaine	true
unit_abilities_tooltip_text_wh2_main_unit_passive_primal_instincts	When under pressure, the primal instincts of these natural predators take over - they may then go on a rampage against nearby enemy units, attacking the closest one and ignoring any orders given.	true
unit_abilities_tooltip_text_wh2_main_faction_abilities_murderous_prowess_indicator	Once enough blood has been shed, the Dark Elves’ murderous prowess increases, as if Khaine himself was guiding his disciples' blades!	true
unit_abilities_onscreen_name_wh2_main_spell_plague_wither_upgraded	Wither Upgraded	true
unit_abilities_onscreen_name_wh_main_unit_passive_unbinding_zombie	Unbinding	true
unit_abilities_tooltip_text_wh_dlc04_spell_vampires_vanhels_danse_macabre_helman	Friendly targets are filled with magical energy, making them even more aggressive!	true
unit_abilities_onscreen_name_wh2_dlc10_item_abilities_speed_of_lykos	Speed of Lykos	true
unit_abilities_onscreen_name_wh2_main_army_abilities_eagle_sanctuary	Eagle Sanctuary	true
unit_abilities_onscreen_name_wh_main_spell_heavens_comet_of_casandora	Comet of Casandora	true
unit_abilities_tooltip_text_wh2_main_banner_passive_storm_banner	This ancient banner has the power to wrack the sky with storms, tearing the heavens apart with its fury.	true
unit_abilities_onscreen_name_wh_dlc05_unit_passive_guardians_of_the_wildwood	Guardians of the Wildwood	true
unit_abilities_onscreen_name_wh_main_spell_heavens_wind_blast	Wind Blast	true
unit_abilities_tooltip_text_wh_dlc05_spell_life_earth_blood	The Wizard draws wholesome energies from the soil, imbuing companions with the natural resilience of the earth.	true
unit_abilities_onscreen_name_wh_main_hero_abilities_ballistics_calibration	Ballistics Calibration	true
unit_abilities_onscreen_name_wh_main_spell_big_waaagh_brain_bursta	Brain Bursta	true
unit_abilities_onscreen_name_wh_main_spell_lil_waaagh_curse_of_da_bad_moon	Curse of Da Bad Moon	true
unit_abilities_onscreen_name_wh_main_lord_passive_the_blessing_of_the_lady	The Blessing of the Lady	true
unit_abilities_tooltip_text_wh_dlc03_spell_beasts_transformation_of_kadon	Kadon was able to shift his shape to that of any monster, even a Manticore. One day he found he could not change back...	true
unit_abilities_onscreen_name_wh_main_banner_passive_scarecrow_banner	Scarecrow Banner	true
unit_abilities_onscreen_name_wh2_dlc11_army_abilities_sartosa_grapeshot	Sartosa Grapeshot	true
unit_abilities_onscreen_name_wh2_dlc11_character_abilities_sacrilege	Sacrilege	true
unit_abilities_tooltip_text_wh2_dlc11_weapon_passive_krakens_bane	Having deprived the biggest and the worst of its life, this blade hungers for other monstrous opponents worthy of its bite.	true
unit_abilities_onscreen_name_wh2_main_spell_ruin_skitterleap	Skitterleap	true
unit_abilities_onscreen_name_wh2_dlc10_quest_passive_mother_of_flame	Mother of Flame	true
unit_abilities_onscreen_name_wh2_main_item_passive_heart_of_averlorn	Heart of Avelorn	true
unit_abilities_onscreen_name_wh2_main_mount_abilities_unholy_clamour	Unholy Clamour	true
unit_abilities_onscreen_name_wh_dlc03_weapon_abilities_hunting_spear	Hunting Spear	true
unit_abilities_tooltip_text_wh_dlc04_spell_bound_soulfire_upgraded	A battle prayer that bathes the Warrior Priest in white, holy fire, sears Sigmar’s foes but leaves the supplicant unharmed. 	true
unit_abilities_onscreen_name_wh2_main_army_abilities_khaines_flail	Khaine's Flail	true
unit_abilities_tooltip_text_wh_main_character_abilities_blood_lust	Vampires have long had a savage and unstoppable bloodlust. They will continue to slaughter until the foe has either been turned to Undeath or lies dead at their feet.	true
unit_abilities_onscreen_name_wh_main_mount_passive_bloodroar	Bloodroar	true
unit_abilities_onscreen_name_wh2_main_army_abilities_lure_of_the_pale_queen	Lure of the Pale Queen	true
unit_abilities_onscreen_name_wh2_main_army_abilities_bolt_of_spite	Bolt of Spite	true
unit_abilities_tooltip_text_wh2_dlc09_item_abilities_enkhils_kanopi	The simple clay vessel may not look like much, but the High Priest's Undying essence within can thwart sorcery and strengthen incantations.	true
unit_abilities_tooltip_text_wh2_dlc10_quest_abilities_flame_storm	Conjured by a Bright Wizard or Chaos Sorcerer, a column of churning fire erupts from the battlefield, causing much destruction!    	true
unit_abilities_onscreen_name_wh2_dlc10_item_passive_dragon_slayers_fang	Dragon Slayer's Fang	true
unit_abilities_onscreen_name_wh_dlc08_spell_metal_plague_of_rust_kihar	Plague of Rust	true
unit_abilities_onscreen_name_wh2_main_character_passive_horn_of_isha	Horn of Isha	true
unit_abilities_onscreen_name_wh_dlc05_lord_abilities_spirit_essence_of_chaos	Spirit-Essence of Chaos	true
