Loc PackedFile
Key	Text	Tooltip
unit_castes_localised_name_chariot	Chariot	true
unit_castes_localised_name_missile_infantry	Missile Infantry	true
unit_castes_localised_name_generic	Generic	true
unit_castes_localised_name_monster	Monster	true
unit_castes_localised_name_missile_cavalry	Missile Cavalry	true
unit_castes_localised_name_monstrous_infantry	Monstrous Infantry	true
unit_castes_localised_name_warmachine	War Machine	true
unit_castes_localised_name_monstrous_cavalry	Monstrous Cavalry	true
unit_castes_localised_name_war_beast	War Beast	true
unit_castes_localised_name_melee_infantry	Melee Infantry	true
unit_castes_localised_name_lord	Lord	true
unit_castes_localised_name_hero	Hero	true
unit_castes_localised_name_melee_cavalry	Melee Cavalry	true
