Loc PackedFile	1
key	text	tooltip
achievements_description_WH2_ACHIEVEMENTS_RESEARCH_DARKELF_2	Playing as the Dark Elves, research 25 technologies.	true
achievements_description_WH2_ACHIEVEMENTS_RESEARCH_DARKELF_3	Playing as the Dark Elves, research 40 technologies.	true
achievements_description_WH2_ACHIEVEMENTS_RESEARCH_DARKELF_1	Playing as the Dark Elves, research 10 technologies.	true
achievements_title_WH2_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_1	Veteran	true
achievements_title_WH2_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_2	Champion	true
achievements_title_WH2_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_3	Paragon	true
achievements_title_WH2_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_3	Honour Guard	true
achievements_title_WH2_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_2	Councillor	true
achievements_title_WH2_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_1	Retainer	true
achievements_description_WH2_ACHIEVEMENTS_UNITS_STARDRAGON_1	Playing as the High Elves, recruit a Star Dragon.	true
achievements_title_WH2_ACHIEVEMENT_COAST_BUILDINGS_PERFORM_LOTHERN	Phantasm of the Opera	true
achievements_title_WH2_ACHIEVEMENTS_WINNING_SKAVEN_1	Warlord	true
achievements_title_WH2_ACHIEVEMENTS_WINNING_SKAVEN_2	Verminlord	true
achievements_description_WH2_ACHIEVEMENT_CONSTRUCTION_TOWER_OF_HOETH	Playing as the High Elves, construct the White Tower of Hoeth.	true
achievements_description_WH2_ACHIEVEMENT_TOMB_CONQUEST_OCCUPY_BLACK_PYRAMID	Playing as the Tomb Kings, gain control of the Black Pyramid.	true
achievements_title_WH2_ACHIEVEMENTS_UNITS_CARNOSAUR_1	A Taste for Blood	true
achievements_title_WH2_ACHIEVEMENT_CONSTRUCTION_TIRANOC	Tiranoc Charioteer	true
achievements_description_WH2_ACHIEVEMENTS_RESEARCH_HIGHELF_2	Playing as the High Elves, research 25 technologies.	true
achievements_description_WH2_ACHIEVEMENTS_RESEARCH_HIGHELF_3	Playing as the High Elves, research 50 technologies.	true
achievements_description_WH2_ACHIEVEMENTS_RESEARCH_HIGHELF_1	Playing as the High Elves, research 10 technologies.	true
achievements_title_WH2_ACHIEVEMENT_COAST_UNIT_SARTOSA_FREE_COMPANY	Motley Crew	true
achievements_title_WH2_ACHIEVEMENT_COAST_TREASURE_HUNT_COMPLETE	X Marks the Spot	true
achievements_title_WH2_ACHIEVEMENT_CONQUEST_OCCUPY_VOLCANOES	Magma Master	true
achievements_title_WH2_ACHIEVEMENT_TOMB_CONQUEST_OCCUPY_BLACK_PYRAMID	Dark Side of Morrslieb	true
achievements_title_WH2_ACHIEVEMENT_COAST_BUILDINGS_HELDENHAMMER	Bottom Dweller	true
achievements_description_WH2_ACHIEVEMENTS_UNITS_CARNOSAUR_1	Playing as the Lizardmen, recruit a Feral Carnosaur.	true
achievements_description_WH2_ACHIEVEMENTS_WH1_RACE_CAMPAIGN_COMPLETE	Win the Mortal Empires singleplayer campaign with a race from the Old World.	true
achievements_title_WH2_ACHIEVEMENT_COAST_PIECES_OF_EIGHT_ALL	Scourge of the Seven Seas	true
achievements_title_WH2_ACHIEVEMENTS_RESEARCH_SKAVEN_2	Warlock Engineer	true
achievements_title_WH2_ACHIEVEMENTS_RESEARCH_SKAVEN_3	Grey Seer	true
