agent_actions_tables	12
ability	agent	attribute	cannot_fail	critical_failure	critical_success	failure	opportune_failure	success	localised_action_name	localised_action_description	unique_id	target_attribute	critical_success_proportion_modifier	opportune_failure_proportion_modifier	critical_failure_proportion_modifier	chance_of_success	voiceover	icon_path	show_action_info_in_ui	subculture	succeed_always_override	order
hinder_settlement	engineer	authority	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	{{tr:agent_action_name_colonise_ruins}}	[[col:yellow]]Colonises the ruined settlement at level 3.[[/col]]\n[[col:red]]This action will kill the Necrotect![[/col]]	wh2_dlc09_agent_action_engineer_hinder_settlement_necrotect_ritual	authority	0	0	0	100	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/admin_good.png	true		true	0
assist_province	champion	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	wh2_dlc11_agent_action_champion_assist_province	authority	0	0	1	100	vo_campaign_action_own_region	UI/skins/warhammer2/icon_digging_for_treasure.png	false		true	0
hinder_province	champion	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	wh2_dlc11_agent_action_champion_hinder_province	authority	0	0	1	100	vo_campaign_action_enemy_region	UI/skins/warhammer2/icon_digging_for_treasure.png	false		true	0
hinder_settlement	champion	zeal	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_critical_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	{{tr:agent_action_name_treasure_hunt}}	[[col:yellow]]Searches the ruined settlement, leading to either a good or bad outcome.[[/col]]	wh2_dlc11_agent_action_champion_hinder_settlement_treasure_hunt	zeal	0	0	0	100	vo_campaign_action_passive	 	true		true	0
assist_province	dignitary	authority	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	wh2_dlc11_agent_action_dignitary_assist_province	authority	0	0	1	100	vo_campaign_action_own_region	UI/Campaign UI/stance_icons/warhammer2/wh2_dlc11_cst_vampire_coast/MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING.png	false		true	0
hinder_province	dignitary	authority	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	wh2_dlc11_agent_action_dignitary_hinder_province	authority	0	0	1	100	vo_campaign_action_enemy_region	UI/Campaign UI/stance_icons/warhammer2/wh2_dlc11_cst_vampire_coast/MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING.png	false		true	0
hinder_settlement	dignitary	authority	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	{{tr:agent_action_name_establish_pirate_cove}}	[[col:yellow]]Establishes a pirate cove in the target settlement.[[/col]]	wh2_dlc11_agent_action_dignitary_hinder_settlement_establish_pirate_cove	authority	0	0	0	100	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/pirate_cove.png	true		false	0
hinder_settlement	dignitary	authority	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_critical_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_treasure_hunt	{{tr:agent_action_name_treasure_hunt}}	[[col:yellow]]Searches the ruined settlement, leading to either a good or bad outcome.[[/col]]	wh2_dlc11_agent_action_dignitary_hinder_settlement_treasure_hunt	authority	0	0	0	100	vo_campaign_action_passive	 	false		true	0
assist_province	engineer	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	wh2_dlc11_agent_action_engineer_assist_province	authority	0	0	1	100	vo_campaign_action_own_region	UI/Campaign UI/stance_icons/warhammer2/wh2_dlc11_cst_vampire_coast/MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING.png	false		true	0
hinder_province	engineer	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_success	Dig for Treasure	[[col:yellow]]Solve Treasure Maps by digging for treasure at the locations hinted at in the riddles.[[/col]]	wh2_dlc11_agent_action_engineer_hinder_province	authority	0	0	1	100	vo_campaign_action_enemy_region	UI/Campaign UI/stance_icons/warhammer2/wh2_dlc11_cst_vampire_coast/MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING.png	false		true	0
